"Invitations","Покани"
"Add Invitations","Добави покани"
"New Invitations","Нови покани"
"Invitations Information","Информация за покани"
"Enter Each Email on New Line","Въведете всеки имейл в нов ред"
"Message","Съобщение"
"Send From","Изпращане от"
"Invitee Group","Поканени група"
"Reset","Изчисти"
"Save","Запиши"
"View Invitation for %1 (ID: %2)","Вижте покана за %1 (ID: %2)"
"Back","Обратно"
"Discard Invitation","Отхвърляне на покана"
"Are you sure you want to discard this invitation?","Наистина ли искате да отхвърлите тази покана?"
"Save Invitation","Запиши поканата"
"Send Invitation","Изпращане на покана"
"General","Главен"
"Default from System Configuration","По подразбиране от системната конфигурация"
"N/A","Не е достъпно"
"Status History","История на състоянието"
"Customers","Клиенти"
"Order Conversion Rate","Коефициент на възвращаемост на поръчката"
"We can't find this invitation.","Не можем да намерим тази покана."
"Please select invitations.","Моля изберете покани."
"We discarded %1 of %2 invitations.","Отхвърлихме %1 %2 покани."
"We skipped %1 of the selected invitations.","Пропускахме %1 от избраните покани."
"Something went wrong while sending invitations.","Нещо се обърка при изпращане на покани."
"No invitations have been resent.","Никои покани не са възстановени."
"You sent %1 of %2 invitation(s).","Изпратихте %1 от %2 покани."
"Something went wrong while sending %1 invitations.","Нещо се обърка при изпращане на поканите."
"We discarded %1 invitation(s) addressed to current customers.","Отхвърлихме %1 поканите, адресирани до настоящите клиенти."
"Please specify at least one email address.","Моля, посочете поне един имейл адрес."
"We sent %1 invitation(s).","Изпратихме %1 поканите."
"Something went wrong while sending %1 of %2 invitations.","Нещо се обърка при изпращане на %1 на %2 покани."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 поканите не са изпратени, защото вече съществуват клиентски акаунти за тези имейл адреси."
"The invitation has been saved.","Поканата е записана."
"Reports","Доклади"
"Invitation Report by Customers","Доклад покана от клиенти"
"Invited Customers Report","Доклад поканени клиенти"
"General Report","Общ доклад"
"Invitations Report","Покани доклад"
"Invitation Report by Order Conversion Rate","Покана справка по поръчка обменен курс"
"Conversion Rate Report","Обменен курс доклад"
"The wrong customer account is specified.","Грешно зададена сметка на клиента."
"Please enter a correct confirmation key.","Моля въведете правилния ключ за потвърждение."
"Bad request.","Неправилно поискване."
"Your invitation is not valid. Please create an account.","Вашата покана не е валидна. Моля, създайте сметка."
"Your invitation is not valid. Please contact us at %1.","Вашата покана не е валидна. Свържете се с нас на %1."
"We can't save this customer.","Не може да запише клиента."
"Page not found.","Страницата не е намерена."
"My Invitations","Моите покани"
"Invalid Form Key. Please refresh the page.","Невалиден ключ. Моля обновете страницата."
"You sent the invitation for %1.","Изпратихте покана за %1."
"Something went wrong while sending an email to %1.","Нещо се обърка при изпращането на имейл до %1."
"We did not send %1 invitation(s) addressed to current customers.","Не изпратихме %1 поканите, адресирани до настоящите клиенти."
"Send Invitations","Изпрати покани"
"Max Invitations Allowed to be Sent at One Time","Максимален брой покани, които могат да се изпращат по едно време"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Коригирайте стойността за \"%1\" параметър, в противен случай ние ще използваме записана стойност вместо това."
"Same as Inviter","Същия като подателя на поканата"
"Default Customer Group from System Configuration","По подразбиране клиентска група от системната конфигурация"
"By Invitation Only","Само чрез покана"
"Available to All","Достъпен за всички"
"Please correct the invitation code.","Моля, поправете кода на поканата,."
"You need to specify a customer ID group.","Трябва да определите ИД на група клиенти."
"The wrong store is specified.","Зададен грешен магазин."
"You can't update this message.","Не можете да актуализирате това съобщение."
"We can't generate encrypted code.","Не може да генерира криптиран код."
"We can't find an ID for this invitation.","Не можем да намерим ИД за тази покана."
"You can't send an invitation with status ""%1"".","Не можете да изпращате покана със статус ""%1""."
"Please enter a valid invitation email.","Моля, въведете валидна имейл покана."
"We can't identify the proper website.","Не може да идентифицира правилно уебсайт."
"Please specify an email.","Моля, посочете имейл."
"This invitation is addressed to a current customer: ""%1"".","Тази покана е адресирана до текущия клиент: ""%1""."
"This invitation is not valid.","Тази покана е невалидна."
"Please correct the invitation email.","Коригирайте имейл покана."
"Invitation for same email address","Покана за същия имейл адрес"
"Not Sent","Не е изпратен"
"Sent","Изпратен"
"Accepted","Прието"
"Discarded","Изхвърли"
"Invitation Information","Покана информация"
"Send At","Изпращане на"
