"Invitations","Davetiyeler"
"Add Invitations","Davetiyeleri Ekle"
"New Invitations","Yeni davetiye"
"Invitations Information","Davetiyelerin Bilgisi"
"Enter Each Email on New Line","Her Satırdaki E-postayı Gir"
"Message","Mesaj"
"Send From","Gönderme Adresi"
"Invitee Group","Davet grubu"
"Reset","Sıfırla"
"Save","Kaydet"
"View Invitation for %1 (ID: %2)","%1 için olan daveti gör (Kimlik numarası: %2)"
"Back","Geri"
"Discard Invitation","Daveti iptal edin"
"Are you sure you want to discard this invitation?","Bu davetiyeyi silmek istediğinizden emin misiniz?"
"Save Invitation","Davetiyeyi Kaydet"
"Send Invitation","Davetiye gönder"
"General","Genel"
"Default from System Configuration","Sistem Yapılandırmasından Varsayılan"
"N/A","Mevcut Değil"
"Status History","Durum tarihi"
"Customers","Müşteriler"
"Order Conversion Rate","Sipariş Dönüşüm Oranı"
"We can't find this invitation.","Bu daveti bulunamıyor."
"Please select invitations.","Lütfen davetiyeleri seçin."
"We discarded %1 of %2 invitations.","%2 davetiyenin %1' ini sildik."
"We skipped %1 of the selected invitations.","Seçilen davetiyelerin %1' ini atladık."
"Something went wrong while sending invitations.","Davetiyeler gönderilirken bir şeyler ters gitti."
"No invitations have been resent.","Hiçbir davetiye gönderilmedi."
"You sent %1 of %2 invitation(s).","%2 davetiyenin %1' ini gönderdiniz."
"Something went wrong while sending %1 invitations.","%1 davetiye gönderilirken bir sorun oluştu."
"We discarded %1 invitation(s) addressed to current customers.","Mevcut müşterilere gönderilen% 1 davetiyeyi sildik."
"Please specify at least one email address.","Lütfen en az bir e-posta adresi belirtin."
"We sent %1 invitation(s).","% 1 davetiye gönderdik."
"Something went wrong while sending %1 of %2 invitations.","% 2 davetiyeyi % 1 gönderirken bir sorun oluştu."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","% 1 davetiye gönderilmedi, çünkü bu e-posta adresleri için müşteri hesapları zaten mevcut."
"The invitation has been saved.","Davetiye kaydedildi."
"Reports","Raporlar"
"Invitation Report by Customers","Müşterilere Göre Davet Raporu"
