"Invitations","Lời mời"
"Add Invitations","Thêm lời mời"
"New Invitations","Thư mời mới"
"Invitations Information","Thông tin thư mời"
"Enter Each Email on New Line","Nhập từng địa chỉ Email trên dòng mới"
"Message","Tin nhắn"
"Send From","Gửi từ"
"Invitee Group","Nhóm Khách mời"
"Reset","Thiết lập lại"
"Save","Lưu lại"
"View Invitation for %1 (ID: %2)","Xem lời mời cho %1 (ID: %2)"
"Back","Trở lại"
"Discard Invitation","Loại bỏ các lời mời"
"Are you sure you want to discard this invitation?","Bạn có chắc bạn muốn loại bỏ các lời mời này?"
"Save Invitation","Lưu lời mời"
"Send Invitation","Gửi lời mời"
"General","Chung"
"Default from System Configuration","Mặc định từ cấu hình hệ thống"
"N/A","Không xác định"
"Status History","Trạng thái lịch sử"
"Customers","Khách hàng"
"Order Conversion Rate","Tỷ lệ chuyển đổi trật tự"
"We can't find this invitation.","Chúng tôi không thể tìm thấy lời mời này."
"Please select invitations.","Vui lòng chọn lời mời."
"We discarded %1 of %2 invitations.","Chúng tôi sẽ loại bỏ %1 của các lời mời %2."
"We skipped %1 of the selected invitations.","Chúng tôi bỏ qua %1 của các lời mời được lựa chọn."
"Something went wrong while sending invitations.","Một cái gì đó đã đi sai trong khi gửi lời mời."
"No invitations have been resent.","Không có lời mời đã được gửi."
"You sent %1 of %2 invitation(s).","Bạn gửi %1 của %2 lời mời."
"Something went wrong while sending %1 invitations.","Một cái gì đó đã đi sai trong khi gửi lời mời %1."
"We discarded %1 invitation(s) addressed to current customers.","Chúng tôi sẽ loại bỏ %1 địa chỉ lời mời để gửi cho khách hàng hiện tại."
"Please specify at least one email address.","Xin vui lòng chỉ rõ ít nhất một địa chỉ email."
"We sent %1 invitation(s).","Chúng tôi đã gửi %1 lời mời."
"Something went wrong while sending %1 of %2 invitations.","Một cái gì đó đã đi sai trong khi gửi %1 %2 lời mời."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 lời mời không được gửi vì tài khoản khách hàng đã tồn tại với địa chỉ email này."
"The invitation has been saved.","Lời mời đã được lưu."
"Reports","Báo cáo"
"Invitation Report by Customers","Lời mời báo cáo của khách hàng"
"Invited Customers Report","Mời khách hàng báo cáo"
"General Report","Báo cáo tổng hợp"
"Invitations Report","Báo cáo Lời mời"
"Invitation Report by Order Conversion Rate","Báo cáo Lời mời của tỷ lệ chuyển đổi đơn hàng"
"Conversion Rate Report","Báo cáo tỷ lệ chuyển đổi"
"The wrong customer account is specified.","Tài khoản khách hàng sai được chỉ định."
"Please enter a correct confirmation key.","Xin vui lòng nhập chính xác khóa xác nhận."
"Bad request.","Yêu cầu bị lỗi."
"Your invitation is not valid. Please create an account.","Lời mời của bạn là không hợp lệ. Hãy tạo một tài khoản."
"Your invitation is not valid. Please contact us at %1.","Lời mời của bạn là không hợp lệ. Xin vui lòng liên hệ với chúng tôi tại %1."
"We can't save this customer.","Không thể lưu thông tin khách hàng."
"Page not found.","Không tìm thấy trang."
"My Invitations","Lời mời của tôi"
"Invalid Form Key. Please refresh the page.","Form Key không hợp lệ. Xin vui lòng làm mới trang."
"You sent the invitation for %1.","Bạn gửi lời mời cho %1."
"Something went wrong while sending an email to %1.","Một cái gì đó đã đi sai trong khi gửi một email đến %1."
"We did not send %1 invitation(s) addressed to current customers.","Chúng tôi không gửi %1 lời mời cho khách hàng hiện tại."
"Send Invitations","Gửi lời mời"
"Max Invitations Allowed to be Sent at One Time","Tối đa lời mời cho phép để được gửi tại một thời gian"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Hãy sửa giá trị cho ""%1"" tham số, nếu không chúng tôi sẽ sử dụng giá trị đã lưu."
"Same as Inviter","Giống như người mời"
"Default Customer Group from System Configuration","Nhóm khách hàng Mặc định từ cấu hình hệ thống"
"By Invitation Only","Chỉ bằng lời mời"
"Available to All","Có sẵn cho tất cả"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Lời mời này là không hợp lệ."
