"Invitations","Convites"
"Add Invitations","Adicionar convites"
"New Invitations","Novos convites"
"Invitations Information","Informações de Convites"
"Enter Each Email on New Line","Digite cada E-mail numa nova linha"
"Message","Mensagem"
"Send From","Enviar a partir de"
"Invitee Group","Grupo Convidado"
"Reset","Repor"
"Save","Gravar"
"View Invitation for %1 (ID: %2)","Ver convite para %1 (ID: %2)"
"Back","Voltar"
"Discard Invitation","Rejeitar Convite"
"Are you sure you want to discard this invitation?","Tem a certeza que pretende descartar este convite?"
"Save Invitation","Guardar o Convite"
"Send Invitation","Enviar Convite"
"General","Geral"
"Default from System Configuration","Pré-definido da Configuração do Sistema"
"N/A","N/D"
"Status History","Histórico do Estado"
"Customers","Clientes"
"Order Conversion Rate","Taxa de Conversão da Encomenda"
"We can't find this invitation.","Não foi possível encontrar este convite."
"Please select invitations.","Por favor selecione convites."
"We discarded %1 of %2 invitations.","Descartámos %1 de %2 convites."
"We skipped %1 of the selected invitations.","Saltámos %1 dos convites selecionados."
"Something went wrong while sending invitations.","Algo correu mal ao enviar os convites."
"No invitations have been resent.","Nenhum convite foi reenviado."
"You sent %1 of %2 invitation(s).","Enviou %1 de %2 convite(s)."
"Something went wrong while sending %1 invitations.","Algo correu mal ao enviar %1 convites."
"We discarded %1 invitation(s) addressed to current customers.","Descartámos %1 convites dirigidos aos clientes atuais."
"Please specify at least one email address.","Por favor especifique pelo menos um endereço de email."
"We sent %1 invitation(s).","Enviámos %1 convite(s)."
"Something went wrong while sending %1 of %2 invitations.","Algo correu mal ao enviar %1 de %2 convites."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 convite(s) não foram enviados, porque já existem contas de cliente para esses endereços de email."
"The invitation has been saved.","O convite foi gravado."
"Reports","Relatórios"
"Invitation Report by Customers","Relatório de Convite pelos Clientes"
"Invited Customers Report","Relatório dos Clientes Convidados"
"General Report","Relatório Geral"
"Invitations Report","Relatório de Convites"
"Invitation Report by Order Conversion Rate","Relatório de Convites por Taxa de Conversão da Encomenda"
"Conversion Rate Report","Relatório da Taxa de Conversão"
"The wrong customer account is specified.","Foi especificada uma conta de cliente errada."
"Please enter a correct confirmation key.","Por favor insira uma chave de confirmação correcta."
"Bad request.","Pedido Inválido."
"Your invitation is not valid. Please create an account.","O seu convite não é válido. Por favor crie uma conta."
"Your invitation is not valid. Please contact us at %1.","O seu convite não é válido. Por favor contacte-nos em %1."
"We can't save this customer.","Não foi possível gravar este cliente."
"Page not found.","Página não encontrada."
"My Invitations","Os Meus Convites"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"You sent the invitation for %1.","Enviou o convite para %1."
