"Invitations","הזמנות"
"Add Invitations","הוספת הזמנות"
"New Invitations","הזמנות חדשות"
"Invitations Information","מידע הזמנות"
"Enter Each Email on New Line","הזן את הדואר אלקטרוני עבטר כל שורה חדשה"
"Message","הודעה"
"Send From","שלח טופס"
"Invitee Group","קבוצה מוזמנת"
"Reset","איפוס"
"Save","שמור"
"View Invitation for %1 (ID: %2)","הצג הזמנה עבור %1 (מזהה: %2)"
"Back","חזור"
"Discard Invitation","ביטול הזמנה"
"Are you sure you want to discard this invitation?","האם אתה בטוח שברצונך לבטל את ההזמנה הזו?"
"Save Invitation","שמור הזמנה"
"Send Invitation","שלח הזמנה"
"General","כללי"
"Default from System Configuration","Default from System Configuration"
"N/A","לא זמין"
"Status History","היסטוריית סטטוס"
"Customers","לקוחות"
"Order Conversion Rate","Order Conversion Rate"
"We can't find this invitation.","איננו מסוגלים למצוא הזמנה זו."
"Please select invitations.","נא לבחור הזמנות."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","דילגנו על %1 מההזמנות שנבחרו."
"Something went wrong while sending invitations.","משהו השתבש במהלך שליחת ההזמנות."
"No invitations have been resent.","No invitations have been resent."
"You sent %1 of %2 invitation(s).","שלחת %1 מתוך %2 הזמנות."
"Something went wrong while sending %1 invitations.","Something went wrong while sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong while sending %1 of %2 invitations.","Something went wrong while sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for these email addresses."
"The invitation has been saved.","The invitation has been saved."
"Reports","דו""חות"
"Invitation Report by Customers","Invitation Report by Customers"
"Invited Customers Report","Invited Customers Report"
"General Report","צור דו""ח"
"Invitations Report","Invitations Report"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Conversion Rate Report","Conversion Rate Report"
"The wrong customer account is specified.","The wrong customer account is specified."
"Please enter a correct confirmation key.","Please enter a correct confirmation key."
"Bad request.","בקשה שגויה."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"We can't save this customer.","איננו יכולים לשמור את הלקוח הזה."
"Page not found.","העמוד לא נמצא."
"My Invitations","My Invitations"
"Invalid Form Key. Please refresh the page.","מפתח לא חוקי. אנא רעננו את הדף."
"You sent the invitation for %1.","שלחת את ההזמנה עבור %1."
"Something went wrong while sending an email to %1.","Something went wrong while sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","שליחת הזמנות"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","נא תקן את הערך עבור \"%1\" פרמטר, אחרת אנחנו נשתמש בערך השמור במקום."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","By Invitation Only"
"Available to All","זמין לכולם"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","This invitation is not valid."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitation for same email address"
"Not Sent","לא נשלח"
"Sent","נשלח"
"Accepted","Accepted"
"Discarded","Discarded"
"Invitation Information","Invitation Information"
"Send At","Send At"
"Invitation Message","הודעת הזמנה"
"Email","דואר אלקטרוני"
"Status","סטטוס"
"Website","אתר"
"Store View","תצוגת חנות"
"Signed Up At","Signed Up At"
"Invitation URL","Invitation URL"
"Link","קישור"
"Invitee Information","Invitee Information"
"Customer ID","Customer ID"
"Customer Group","קבוצת לקוחות"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Sign Up At","Sign Up At"
"Inviter Information","Inviter Information"
"Admin","ממשק ניהול"
"* Required Fields","* שדות חובה"
"Invite your friends by entering their email addresses","הזמן את החברים שלך על-ידי הזנת כתובות הדואר האלקטרוני שלהם"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add","הוספה"
"Back to Invitations","Back to Invitations"
"Remove","הסר"
"Enter Email","Enter Email"
"You cannot send more invitations","You cannot send more invitations"
"There are no sent invitations.","There are no sent invitations."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Please accept this invitation to join %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offers limited time sales of products only to members."
"Please use the following link to create an account and view the deals:","אנא השתמש בקישור הבא כדי ליצור חשבון ולהציג את העסקאות:"
"Private Sales","מחירות פרטיות"
"Invited Customers","לקוחות מוזמנים"
"Conversion","המרה"
"Invitation Section","Invitation Section"
"Conversions","המרות"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Storefront","Enable Invitations on Storefront"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Customer Invitations"
"Discard Selected","Discard Selected"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Send Selected","Send Selected"
"ID","מזהה"
