"Invitations","Pozivnice"
"Add Invitations","Dodaj Pozivnice"
"New Invitations","Novo Pozivnice"
"Invitations Information","Pozivnice Informacije"
"Enter Each Email on New Line","Enter Each E-pošta on Novo Line"
"Message","Poruka"
"Send From","Pošalji Od"
"Invitee Group","Invitee Grupa"
"Reset","Resetovati"
"Save","Sačuvaj"
"View Invitation for %1 (ID: %2)","Pregled Pozivnica for %1 (ID: %2)"
"Back","Nazad"
"Discard Invitation","Discard Pozivnica"
"Are you sure you want to discard this invitation?","Da li ste sigurni želite da discard this invitation?"
"Save Invitation","Sačuvaj Pozivnica"
"Send Invitation","Pošalji Pozivnica"
"General","Opšte"
"Default from System Configuration","Podrazumevano from Sistem Konfiguracija"
"N/A","N/A - nije dostupno"
"Status History","Status History"
"Customers","Kupci"
"Order Conversion Rate","Porudžbina Conversion Rate"
"We can't find this invitation.","We can't find this invitation."
"Please select invitations.","Molimo izaberite invitations."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Something went wrong while sending invitations.","Nešto nije u redu while sending invitations."
"No invitations have been resent.","Ne invitations su resent."
"You sent %1 of %2 invitation(s).","You sent %1 of %2 invitation(s)."
"Something went wrong while sending %1 invitations.","Nešto nije u redu while sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","Molimo navedite at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong while sending %1 of %2 invitations.","Nešto nije u redu while sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) nisu sent, because customer accounts already exist for these email addresses."
"The invitation has been saved.","The invitation je saved."
"Reports","Izveštaji"
"Invitation Report by Customers","Pozivnica Report by Kupci"
"Invited Customers Report","Invited Kupci Report"
"General Report","Opšte Report"
"Invitations Report","Pozivnice Report"
"Invitation Report by Order Conversion Rate","Pozivnica Report by Porudžbina Conversion Rate"
"Conversion Rate Report","Conversion Rate Report"
"The wrong customer account is specified.","The wrong customer account is specified."
"Please enter a correct confirmation key.","Molimo unesite a correct confirmation key."
"Bad request.","Loš zahtev."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"We can't save this customer.","We can't save this customer."
"Page not found.","Stranica nije pronađena."
"My Invitations","My Pozivnice"
"Invalid Form Key. Please refresh the page.","Nevažeća šifra za formu. Molim osvežite stranicu."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong while sending an email to %1.","Nešto nije u redu while sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Pošalji Pozivnice"
"Max Invitations Allowed to be Sent at One Time","Max Pozivnice Allowed to be Sent at One Vreme"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Molimo ispravite vrednost za parametar ""%1"", inače ćemo umesto toga koristiti sačuvanu vrednost."
"Same as Inviter","Same as Inviter"
