"Invitations","دعوات"
"Add Invitations","إضافة الدعوات"
"New Invitations","دعوات جديدة"
"Invitations Information","معلومات الدعوات"
"Enter Each Email on New Line","أدخل كل بريد إلكتروني في سطر جديد"
"Message","رسالة"
"Send From","إرسال من"
"Invitee Group","محموعة المدعو"
"Reset","اعادة ضبط"
"Save","حفظ"
"View Invitation for %1 (ID: %2)","عرض دعوة ل %1 (معرف: %2)"
"Back","رجوع"
"Discard Invitation","تجاهل الدعوة"
"Are you sure you want to discard this invitation?","هل أنت متأكد من أنك تريد تجاهل هذه الدعوة؟"
"Save Invitation","حفظ الدعوة"
"Send Invitation","إرسال دعوة"
"General","عام"
"Default from System Configuration","افتراضي من ضبط النظام"
"N/A","غير متاح"
"Status History","تاريخ الحالة"
"Customers","العملاء"
"Order Conversion Rate","Order Conversion Rate"
"We can't find this invitation.","لا يمكننا أن نجد هذه الدعوة."
"Please select invitations.","الرجاء تحديد الدعوات."
"We discarded %1 of %2 invitations.","تجاهلنا %1 من %2 دعوات."
"We skipped %1 of the selected invitations.","تخطينا %1 من الدعوات المحددة."
"Something went wrong while sending invitations.","حدث خطأ أثناء إرسال الدعوات."
"No invitations have been resent.","No invitations have been resent."
"You sent %1 of %2 invitation(s).","You sent %1 of %2 invitation(s)."
"Something went wrong while sending %1 invitations.","حدث خطأ أثناء إرسال الدعوات."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","الرجاء تحديد عنوان بريد إلكتروني واحد على الأقل."
"We sent %1 invitation(s).","لقد أرسلنا %1 دعوة او دعوات."
"Something went wrong while sending %1 of %2 invitations.","حدث خطأ أثناء إرسال %1 من %2 الدعوات."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 لم ترسل، لأن حسابات العملاء موجودة بالفعل لعناوين البريد الإلكتروني المحددة."
"The invitation has been saved.","لقد تم حفظ الدعوة."
"Reports","تقارير"
"Invitation Report by Customers","تقرير دعوة من العملاء"
"Invited Customers Report","Invited Customers Report"
"General Report","التقرير العام"
"Invitations Report","تقرير الدعوات"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Conversion Rate Report","تقرير معدل التحويل"
"The wrong customer account is specified.","تم تحديد حساب عميل غير صحيح."
"Please enter a correct confirmation key.","الرجاء إدخال مفتاح تأكيد صحيح."
"Bad request.","طلب غير صحيح."
"Your invitation is not valid. Please create an account.","دعوة الخاص بك غير صالحة. الرجاء إنشاء حساب."
"Your invitation is not valid. Please contact us at %1.","الدعوة الخاص بك غير صالحة. يرجى الاتصال بنا على %1."
"We can't save this customer.","لا يمكننا حفظ العميل."
"Page not found.","لم يتم العثور على الصفحة."
"My Invitations","دعواتي"
"Invalid Form Key. Please refresh the page.","مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة."
"You sent the invitation for %1.","لقد ارسلت الدعوة ل %1."
"Something went wrong while sending an email to %1.","حدث خطأ أثناء إرسال رسالة بريد إلكتروني إلى %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","إرسال دعوة"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","الرجاء تصحيح قيمة المتغير \"%1\"، خلاف ذلك سوف نستخدم القيمة المحفوظة بدلاً من ذلك."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","بناء على دعوة فقط"
"Available to All","متاح للجميع"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","هذه الدعوة غير صالحة."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","دعوة لنفس عنوان البريد الإلكتروني"
"Not Sent","غير مرسلة"
"Sent","تم الإرسال"
"Accepted","مقبول"
"Discarded","تم التجاهل"
"Invitation Information","Invitation Information"
"Send At","Send At"
"Invitation Message","Invitation Message"
"Email","البريد الإلكتروني"
"Status","الحاله"
"Website","الموقع"
"Store View","عرض المتجر"
"Signed Up At","سجل في"
"Invitation URL","Invitation URL"
"Link","الرابط"
"Invitee Information","Invitee Information"
"Customer ID","Customer ID"
"Customer Group","مجموعات العملاء"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Sign Up At","سجل في"
"Inviter Information","Inviter Information"
"Admin","المدير"
"* Required Fields","* حقول مطلوبة"
"Invite your friends by entering their email addresses","ارسل دعوة لأصدقائك بإدخال عناوين البريد الإلكتروني الخاص بهم"
"Maximum %1 email addresses allowed.","الحد الاقصى %1 السماح لعنوان البريد الالكتروني."
"Add","إضافة"
"Back to Invitations","العودة إلى الدعوات"
"Remove","ازالة"
"Enter Email","Enter Email"
"You cannot send more invitations","You cannot send more invitations"
"There are no sent invitations.","There are no sent invitations."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Please accept this invitation to join %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offers limited time sales of products only to members."
"Please use the following link to create an account and view the deals:","Please use the following link to create an account and view the deals:"
"Private Sales","مبيعات خاصة"
"Invited Customers","Invited Customers"
"Conversion","Conversion"
"Invitation Section","Invitation Section"
"Conversions","Conversions"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Storefront","Enable Invitations on Storefront"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Customer Invitations"
"Discard Selected","Discard Selected"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Send Selected","Send Selected"
"ID","التعريف"
"Invitee","Invitee"
"Registered","Registered"
"Valid Website","Valid Website"
"Name","اسم"
"Group","مجموعة"
"Invitations Sent","Invitations Sent"
"Invitations Accepted","Invitations Accepted"
"Accept Rate","Accept Rate"
"Discard Rate","معدل التجاهل"
"Accepted and Purchased","المقبولة والتي تم شراؤها"
"Conversion Rate","معدل التحويل"
"Invitation","Invitation"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
