"Invitations","Convites"
"Add Invitations","Adicionar convites"
"New Invitations","Novos convites"
"Invitations Information","Informações de convites"
"Enter Each Email on New Line","Digite cada e-mail em uma nova linha"
"Message","Mensagem"
"Send From","Enviado por"
"Invitee Group","Grupo convidado"
"Reset","Reiniciar"
"Save","Salvar"
"View Invitation for %1 (ID: %2)","Ver convite para %1 (ID: %2)"
"Back","Voltar"
"Discard Invitation","Descartar o convite"
"Are you sure you want to discard this invitation?","Você tem certeza que deseja descartar este convite?"
"Save Invitation","Salvar convite"
"Send Invitation","Enviar convite"
"General","Geral"
"Default from System Configuration","Padrão da configuração do sistema"
"N/A","Não Disponível"
"Status History","Histórico de Status"
"Customers","Clientes"
"Order Conversion Rate","Taxa de Conversão da Encomenda"
"We can't find this invitation.","Não foi possível encontrar este convite."
"Please select invitations.","Por favor, selecione os convites."
"We discarded %1 of %2 invitations.","Descartamos %1 de %2 convites."
"We skipped %1 of the selected invitations.","Saltámos %1 dos convites selecionados."
"Something went wrong while sending invitations.","Ocorreu um erro durante o envio do(s) convite(s)."
"No invitations have been resent.","Nenhum convite foi reenviado."
"You sent %1 of %2 invitation(s).","Enviou %1 de %2 convite(s)."
"Something went wrong while sending %1 invitations.","Algo algum erro ao enviar %1 convites."
"We discarded %1 invitation(s) addressed to current customers.","Descartámos %1 convites dirigidos aos clientes atuais."
"Please specify at least one email address.","Por favor especifique pelo menos um endereço de e-mail."
"We sent %1 invitation(s).","Enviamos %1 convite(s)."
"Something went wrong while sending %1 of %2 invitations.","Algo deu errado durante o envio de %1 de %2 de convites."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 convite(s) não foram enviados, porque já existem contas de cliente para esses endereços de e-mail."
"The invitation has been saved.","O convite foi salvo."
"Reports","Relatórios"
"Invitation Report by Customers","Relatório de Convites feitos por Clientes"
"Invited Customers Report","Relatório dos Clientes Convidados"
"General Report","Relatório Geral"
"Invitations Report","Relatório de Convites"
"Invitation Report by Order Conversion Rate","Relatório de Convites por Taxa de Conversão do Pedido"
"Conversion Rate Report","Relatório da Taxa de Conversão"
"The wrong customer account is specified.","Foi especificada uma conta de cliente errada."
"Please enter a correct confirmation key.","Por favor digite uma chave de confirmação correta."
"Bad request.","Pedido ruim."
"Your invitation is not valid. Please create an account.","Seu convite não é válido. Por favor, crie uma conta."
"Your invitation is not valid. Please contact us at %1.","O seu convite não é válido. Por favor contacte-nos em %1."
"We can't save this customer.","Não podemos salvar este cliente."
"Page not found.","Página não encontrada."
"My Invitations","Meus convites"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"You sent the invitation for %1.","Você enviou o convite para %1."
