"Invitations","دعوتنامه ها"
"Add Invitations","افزودن دعوتنامه ها"
"New Invitations","دعوتنامه های جدید"
"Invitations Information","اطلاعات دعوتنامه ها"
"Enter Each Email on New Line","هر ایمیل را در خط جدید وارد کنید"
"Message","پیام"
"Send From","ارسال از"
"Invitee Group","گروه مدعو"
"Reset","بازنشانی"
"Save","ذخيره"
"View Invitation for %1 (ID: %2)","نمایش دعوتنامه برای %1 (شناسه: %2)"
"Back","بازگشت"
"Discard Invitation","حذف دعوتنامه"
"Are you sure you want to discard this invitation?","آیا مطمئن هستید که می خواهید این دعوتنامه را حذف کنید؟"
"Save Invitation","ذخیره دعوتنامه"
"Send Invitation","ارسال دعوتنامه"
"General","عمومی"
"Default from System Configuration","پیش فرض از پیکربندی سیستم"
"N/A","هیچ"
"Status History","تاریخچه وضعیت"
"Customers","مشتریان"
"Order Conversion Rate","نرخ تبدیل سفارش"
"We can't find this invitation.","ما نمی توانیم این دعوت را پیدا کنیم."
"Please select invitations.","لطفا دعوتنامه ها را انتخاب کنید."
"We discarded %1 of %2 invitations.","ما %1 تا از %2 دعوتنامه را حذف کردیم."
"We skipped %1 of the selected invitations.","ما %1 تا از دعوتنامه های انتخابی را رد کردیم."
"Something went wrong while sending invitations.","در هنگام ارسال دعوتنامه ها خظایی رخ داد."
"No invitations have been resent.","هیچ دعوتنامه ای دوباره ارسال نشد."
"You sent %1 of %2 invitation(s).","شما %1 تا از %2 دعوتنامه را ارسال کردید."
"Something went wrong while sending %1 invitations.","در هنگام ارسال %1 دعوتنامه خطایی رخ داد."
"We discarded %1 invitation(s) addressed to current customers.","ما %1 دعوتنامه ارسالی به مشتریان فعلی را حذف کردیم."
"Please specify at least one email address.","لطفا حداقل یک آدرس ایمیل مشخص کنید."
"We sent %1 invitation(s).","ما %1 دعوتنامه ارسال کردیم."
"Something went wrong while sending %1 of %2 invitations.","در هنگام ارسال %1 از %2 دعوتنامه، خطایی رخ داد."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 دعوتنامه ارسال نشده است، زیرا برای این آدرس های ایمیل هنوز حساب های کاربری مشتری وجود دارد."
"The invitation has been saved.","دعوتنامه ذخیره شده است."
"Reports","گزارش‌ ها"
"Invitation Report by Customers","گزارش دعوتنامه مشتریان"
"Invited Customers Report","گزارش مشتریان مدعو"
"General Report","گزارش عمومی"
"Invitations Report","گزارش دعوتنامه ها"
"Invitation Report by Order Conversion Rate","گزارش دعوتنامه توسط نرخ تبدیل"
"Conversion Rate Report","گزارش نرخ تبدیل"
"The wrong customer account is specified.","حساب کاربری اشتباه مشخص شده است."
"Please enter a correct confirmation key.","لطفا کلید تأیید صحیح را وارد کنید."
"Bad request.","درخواست بد."
"Your invitation is not valid. Please create an account.","دعوتنامه شما معتبر نیست. لطفا یک حساب کاربری ایجاد کنید."
"Your invitation is not valid. Please contact us at %1.","دعوتنامه شما معتبر نیست. لطفا با ما %1 تماس بگیرید."
"We can't save this customer.","ما نمی توانیم این مشتری را ذخیره کنیم."
"Page not found.","صفحه یافت نشد."
"My Invitations","دعوتنامه های من"
"Invalid Form Key. Please refresh the page.","کلید فرم نامعتبر است. لطفا صفحه را به روز رسانی کنید."
"You sent the invitation for %1.","شما دعوتنامه را برای %1 ارسال کردید."
"Something went wrong while sending an email to %1.","در هنگام ارسال یک ایمیل به %1 خطایی رخ داده است."
"We did not send %1 invitation(s) addressed to current customers.","ما %1 دعوتنامه خطاب به مشتریان فعلی را ارسال نکردیم."
"Send Invitations","ارسال دعوتنامه ها"
"Max Invitations Allowed to be Sent at One Time","حداکثر مجاز دعوتنامه های ارسالی در هر بار"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","لطفا مقدار برای پارامتر ""%1"" را اصلاح کنید، در غیر این صورت از مقدار ذخیره شده به جای آن استفاده خواهیم کرد."
"Same as Inviter","همانند دعوت کننده"
"Default Customer Group from System Configuration","گروه مشتری پیش فرض از تنظیمات سیستم"
"By Invitation Only","فقط توسط دعوتنامه"
"Available to All","موجود برای همه"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
