"Invitations","Inviti"
"Add Invitations","Aggiungi gli inviti"
"New Invitations","Nuovi inviti"
"Invitations Information","Informazioni Inviti"
"Enter Each Email on New Line","Inserisci ogni email in una nuova riga"
"Message","Messaggio"
"Send From","Invia da"
"Invitee Group","Gruppo invitato"
"Reset","Reimposta"
"Save","Salva"
"View Invitation for %1 (ID: %2)","Vedi invito per %1 (ID: %2)"
"Back","Indietro"
"Discard Invitation","Scarta invito"
"Are you sure you want to discard this invitation?","Sei sicuro di voler scartare questo invito?"
"Save Invitation","Salva Invito"
"Send Invitation","Invia invito"
"General","Generale"
"Default from System Configuration","Predefinito dalle Configurazioni di Sistema"
"N/A","N/D"
"Status History","Cronologia Status"
"Customers","Clienti"
"Order Conversion Rate","Tasso di conversione degli ordini"
"We can't find this invitation.","Non riusciamo a trovare questo invito."
"Please select invitations.","Selezionare gli inviti."
"We discarded %1 of %2 invitations.","Scartati %1 di %2 inviti."
"We skipped %1 of the selected invitations.","Abbiamo saltato %1 degli inviti selezionati."
"Something went wrong while sending invitations.","Qualcosa è andato storto durante l'invio degli inviti."
"No invitations have been resent.","Nessun invito è stato reinviato."
"You sent %1 of %2 invitation(s).","Hai mandato %1 di %2 inviti."
"Something went wrong while sending %1 invitations.","Qualcosa è andato storto durante l'invio degli inviti %1."
"We discarded %1 invitation(s) addressed to current customers.","Abbiamo scartato %1 invito(i) indirizzati agli attuali clienti."
"Please specify at least one email address.","Specificare almeno un indirizzo email."
"We sent %1 invitation(s).","Abbiamo inviato %1 invito(i)."
"Something went wrong while sending %1 of %2 invitations.","Qualcosa è andato storto durante l'invio di %1 di %2 inviti."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 inviti non sono stati inviati perché esistono già account cliente per questi indirizzi email."
"The invitation has been saved.","L'invito è stato salvato."
"Reports","Reports"
"Invitation Report by Customers","Report invito per clienti"
"Invited Customers Report","Report clienti invitati"
"General Report","Report Generale"
"Invitations Report","Report inviti"
"Invitation Report by Order Conversion Rate","Report inviti per ordine tasso di conversione"
"Conversion Rate Report","Report tasso di conversione"
"The wrong customer account is specified.","Viene specificato l'account cliente sbagliato."
"Please enter a correct confirmation key.","Inserisci una chiave di conferma corretta."
"Bad request.","Richiesta non valida."
"Your invitation is not valid. Please create an account.","L'invito non è valido. Crea un account."
"Your invitation is not valid. Please contact us at %1.","L'invito non è valido. Vi preghiamo di contattarci presso %1."
"We can't save this customer.","Non è possibile salvare il cliente."
