"Invitations","Tekst zaproszenia do skomentowania"
"Add Invitations","Dodać zaproszenie"
"New Invitations","Nowe zaproszenia"
"Invitations Information","Informacje o zaproszeniu"
"Enter Each Email on New Line","Wprowadź każdy e-mail w nowej linii"
"Message","Wiadomość"
"Send From","Wysłane od"
"Invitee Group","Grupa zaproszonych"
"Reset","Resetuj"
"Save","Zapisz"
"View Invitation for %1 (ID: %2)","Zobacz zaproszenie dla %1 (ID: %2)"
"Back","Powrót"
"Discard Invitation","Odrzucić zaproszenie"
"Are you sure you want to discard this invitation?","Czy na pewno chcesz odrzucić zaproszenie?"
"Save Invitation","Zapisz zaproszenie"
"Send Invitation","Wyślij Zaproszenie"
"General","Ogólne"
"Default from System Configuration","Domyślna z konfiguracji"
"N/A","N/D"
"Status History","Historia statusów"
"Customers","Klienci"
"Order Conversion Rate","Kurs przeliczeniowy zamówienia"
"We can't find this invitation.","Nie możemy znaleźć zaproszenia."
"Please select invitations.","Proszę wybrać zaproszenia."
"We discarded %1 of %2 invitations.","Odrzuciliśmy %1 z %2 zaproszeń."
"We skipped %1 of the selected invitations.","Pomineliśmy %1 z wybranych zaproszeń."
"Something went wrong while sending invitations.","Coś się zepsuło podczas wysyłania zaproszeń."
"No invitations have been resent.","Zaproszenia nie zostały ponownie wysłane."
"You sent %1 of %2 invitation(s).","Wysłano %1 z %2 zaproszeń."
"Something went wrong while sending %1 invitations.","Coś się zepsuło podczas wysyłania %1 zaproszeń."
"We discarded %1 invitation(s) addressed to current customers.","Odrzuciliśmy %1 zaproszenie skierowane do obecnych klientów."
"Please specify at least one email address.","Określ co najmniej jeden adres e-mail."
"We sent %1 invitation(s).","Wysłaliśmy zaproszenia. Ilość: %1."
"Something went wrong while sending %1 of %2 invitations.","Coś się zepsuło podczas wysyłania %1 z %2 zaproszeń."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 zaproszenia nie zostały wysłane, bo rachunki klientów już istnieje dla tych adresów e-mail."
"The invitation has been saved.","Zaproszenie zostało zapisane."
"Reports","Raporty"
"Invitation Report by Customers","Raport zaproszeń przez klientów"
"Invited Customers Report","Raport Zaproszonych Klientów"
"General Report","Sprawozdanie ogólne"
"Invitations Report","Raport zaproszeń"
"Invitation Report by Order Conversion Rate","Raport zaproszenie przez współczynnik konwersji zamówienia"
"Conversion Rate Report","Raport szybkość konwersji"
"The wrong customer account is specified.","Określono nieprawidłowe konto klienta."
"Please enter a correct confirmation key.","Wprowadź poprawny klucz potwierdzający."
"Bad request.","Złe zapytanie."
"Your invitation is not valid. Please create an account.","Zaproszenie jest nie prawidłowe. Utwórz konto."
"Your invitation is not valid. Please contact us at %1.","Zaproszenie jest nie prawidłowe. Prosimy o kontakt pod adresem %1."
"We can't save this customer.","Nie możemy zapisać klienta."
"Page not found.","Nie znaleziono strony."
"My Invitations","Moje zaproszenia"
"Invalid Form Key. Please refresh the page.","Nieprawidłowy klucz formularza. Proszę odświeżyć stronę."
"You sent the invitation for %1.","Wysyłasz zaproszenie dla %1."
"Something went wrong while sending an email to %1.","Coś się zepsuło podczas wysyłania wiadomości e-mail do %1."
"We did not send %1 invitation(s) addressed to current customers.","Nie wysłaliśmy %1 zaproszeń skierowana do obecnych klientów."
"Send Invitations","Wyślij Zaproszenie"
"Max Invitations Allowed to be Sent at One Time","Maksymalna liczba wysłanych zaproszeń jednocześnie"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Tak samo jak zapraszający"
"Default Customer Group from System Configuration","Domyślne grupy klientów od konfiguracji systemu"
"By Invitation Only","Tylko na zaproszenie"
"Available to All","Dostępne dla wszystkich"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
