"Invitations","Kundennummer"
"Add Invitations","Einladungen hinzufügen"
"New Invitations","Neue Einladungen"
"Invitations Information","Einladungs-Informationen"
"Enter Each Email on New Line","Geben Sie jede Email-Adresse auf einer neuen Zeile ein"
"Message","Nachricht"
"Send From","Gesendet von"
"Invitee Group","Eingeladene Gruppe"
"Reset","Zurücksetzen"
"Save","Speichern"
"View Invitation for %1 (ID: %2)","Einladung für %1 ansehen (ID: %2)"
"Back","Zurück"
"Discard Invitation","Einladung entfernen"
"Are you sure you want to discard this invitation?","Sind Sie sicher, dass Sie diese Einladung verwerfen möchten?"
"Save Invitation","Einladung speichern"
"Send Invitation","Einladungen senden"
"General","Allgemein"
"Default from System Configuration","Vorgabe von Systemkonfiguration"
"N/A","Keine Angabe"
"Status History","Statushistorie"
"Customers","Kunden"
"Order Conversion Rate","Bestellungs-Konversionsrate"
"We can't find this invitation.","Wir können diese Einladung nicht finden."
"Please select invitations.","Bitte wählen Sie Einladungen."
"We discarded %1 of %2 invitations.","Wir haben %1 von %2 Einladungen verworfen."
"We skipped %1 of the selected invitations.","Wir haben %1 der ausgewählten Einladungen übersprungen."
"Something went wrong while sending invitations.","Etwas ist beim Senden der Einladungen schiefgegangen."
"No invitations have been resent.","Es wurden keine Einladungen erneut verschickt."
"You sent %1 of %2 invitation(s).","Sie haben %1 von %2 Einladung(en) versendet."
"Something went wrong while sending %1 invitations.","Etwas ist beim Senden von %1 Einladungen schiefgegangen."
"We discarded %1 invitation(s) addressed to current customers.","Wir haben %1 Einladung(en) an bestehende Kunden verworfen."
"Please specify at least one email address.","Bitte geben Sie mindestens eine E-Mail-Adresse an."
"We sent %1 invitation(s).","Wir haben %1 Einladung(en) versendet."
"Something went wrong while sending %1 of %2 invitations.","Etwas ist beim Senden von %1 von %2 Einladungen schiefgegangen."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 Einladungen wurden nicht gesendet, da bereits Kundenaccounts für diese E-Mail-Adressen vorhanden sind."
"The invitation has been saved.","Die Einladung wurde gespeichert."
"Reports","Berichte"
"Invitation Report by Customers","Einladungsbericht nach Kunden"
"Invited Customers Report","Bericht eingeladener Kunden"
"General Report","Allgemeiner Bericht"
"Invitations Report","Einladungsbericht"
"Invitation Report by Order Conversion Rate","Einladungsbericht nach Bestellungs-Konversionsrate"
"Conversion Rate Report","Konversionsratenbericht"
"The wrong customer account is specified.","Das falsches Kundenkonto ist angegeben."
"Please enter a correct confirmation key.","Bitte geben Sie einen korrekten Bestätigung-Schlüssel ein."
"Bad request.","Fehlerhafte Anfrage."
"Your invitation is not valid. Please create an account.","Ihre Einladung ist nicht gültig. Bitte erstellen Sie ein Konto."
"Your invitation is not valid. Please contact us at %1.","Ihre Einladung ist nicht gültig. Bitte kontaktieren Sie uns unter %1."
"We can't save this customer.","Der Kunde kann nicht gespeichert werden."
"Page not found.","Seite nicht gefunden."
"My Invitations","Meine Einladungen"
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"You sent the invitation for %1.","Sie haben die Einladung für %1 versendet."
"Something went wrong while sending an email to %1.","Etwas ist beim Senden der E-Mail an %1 schiefgegangen."
"We did not send %1 invitation(s) addressed to current customers.","Wir haben %1 Einladung(en) an bestehende Kunden nicht gesendet."
"Send Invitations","Einladungen senden"
"Max Invitations Allowed to be Sent at One Time","Maximale Anzahl von Einladungen, die gleichzeitig versendet werden können"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Bitte den Wert für den ""%1""-Parameter korrigieren, andernfalls wird der gespeicherte Wert verwendet."
"Same as Inviter","Wie Einladender"
"Default Customer Group from System Configuration","Standard-Kundengruppe laut Systemkonfiguration"
"By Invitation Only","Nur auf Einladung"
"Available to All","Für alle verfügbar"
"Please correct the invitation code.","Bitte korrigieren Sie den EInladungscode."
"You need to specify a customer ID group.","Sie müssen eine Kundengruppe angeben."
"The wrong store is specified.","Die falsche Shop angegeben ist."
"You can't update this message.","Sie können diese Meldung nicht aktualisieren."
"We can't generate encrypted code.","Wir können keinen verschlüsselten Code generieren."
"We can't find an ID for this invitation.","Wir könne keine ID für diese Einladung finden."
"You can't send an invitation with status ""%1"".","Sie können keine Einladung mit dem Status ""%1"" senden."
"Please enter a valid invitation email.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"We can't identify the proper website.","Die richtige Website kann nicht identifiziert werden."
"Please specify an email.","Bitte geben Sie eine E-Mail an."
"This invitation is addressed to a current customer: ""%1"".","Diese Einladung ist an einen Kunden adressiert. ""%1"""
"This invitation is not valid.","Diese Einladung ist nicht gültig."
"Please correct the invitation email.","Bitte die Einladungs-E-Mail korrigieren"
"Invitation for same email address","Einladung für dieselbe E-Mail-Adresse"
"Not Sent","Nicht gesendet"
"Sent","Gesendet"
"Accepted","Akzeptiert"
"Discarded","Verworfen"
"Invitation Information","Einladungsinformation"
"Send At","Senden an"
"Invitation Message","Einladungstext"
"Email","E-Mail"
"Status","Status"
"Website","Webseite"
"Store View","Store View"
