"503 Service Unavailable","503 Layanan tidak tersedia"
"200 OK","200 OK"
"Website Closed","Website Ditutup"
"Private Sales: Login Only","Penjualan Pribadi: Hanya untuk Login"
"Private Sales: Login and Register","Penjualan Pribadi: Login dan Daftar"
"To login form (302 Found)","Untuk form login (302 Ditemukan)"
"To landing page (302 Found)","Untuk halaman arahan (302 Ditemukan)"
"Can not register new customer due to restrictions are enabled.","Tidak dapat mendaftarkan pelanggan baru karena pembatasan diaktifkan."
"Access Restriction","Pembatasan akses"
"Restriction Mode","Mode Pembatasan"
"Startup Page","Halaman awal"
"Applicable only if restriction mode is set to ""Private Sales"".","Berlaku hanya jika mode pembatasan diatur ke ""Penjualan Pribadi""."
"Landing Page","Halaman arahan"
"HTTP Response","Respons HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Berlaku hanya jika mode pembatasan diatur ke ""Website Closed"". Laman landas diterjemahkan sebagai HTML mentah."
