"503 Service Unavailable","503 няма такава услуга"
"200 OK","200 OK"
"Website Closed","Сайт затворен"
"Private Sales: Login Only","Частни продажби: Вход само"
"Private Sales: Login and Register","Частни продажби: Вход и се регистрирайте"
"To login form (302 Found)","Логин форма (302 намерен)"
"To landing page (302 Found)","До целева страница (302 намерен)"
"Can not register new customer due to restrictions are enabled.","Новият потребител не може да бъде регистриран, защото има налични ограничения."
"Access Restriction","Ограничение на достъпа"
"Restriction Mode","Ограничение режим"
"Startup Page","Стартиране на страница"
"Applicable only if restriction mode is set to ""Private Sales"".","Приложим само ако режим ограничение е настроен на ""Частни продажби""."
"Landing Page","Целева страница"
"HTTP Response","HTTP отговор"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Приложим само ако режим ограничение е настроен на ""Сайт затворени"". Целевата страница е преведен като суров HTML."
