"503 Service Unavailable","503 服务不可用"
"200 OK","200 OK"
"Website Closed","网站关闭"
"Private Sales: Login Only","只有私人销售: 登录"
"Private Sales: Login and Register","私人销售: 登录和注册"
"To login form (302 Found)","到登录窗体 (302 发现)"
"To landing page (302 Found)","登陆页面 (302 发现)"
"Can not register new customer due to restrictions are enabled.","由于启用了限制, 无法注册新客户。"
"Access Restriction","访问限制"
"Restriction Mode","限制模式"
"Startup Page","起始页"
"Applicable only if restriction mode is set to ""Private Sales"".","仅适用于限制模式设置为""私人销售""。"
"Landing Page","登录页面"
"HTTP Response","HTTP 响应"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","仅适用于限制模式设置为""网站已关闭""。登陆页面呈现为原始的 HTML。"
