"Dynamic Blocks","Dynamische Blöcke"
"Add Dynamic Block","Dynamischen Block hinzufügen"
"Save Dynamic Block","Dynamischen Block speichern"
"Delete Dynamic Block","Dynamischen Block löschen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"New Dynamic Block","Neuer dynamischer Block"
"Delete","Löschen"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save","Save"
"Content","Inhalt"
"Default Content","Standard-Inhalt"
"No Default Content","Kein Standard-Inhalt"
"Dynamic Block Default Content for All Store Views","Dynamischer Abschnitt Standardinhalt für alle Store-Views"
"Store View Specific Content","Store View spezifischer Inhalt"
"Use Default","Standard verwenden"
"Related Promotions","Ähnliche Aktionen"
"ID","Id"
"Rule","Regel"
"Start Date","Start"
"End Date","Enddatum"
"Status","Status"
"Dynamic Block Properties","Dynamischer Block-Einstellungen"
"Dynamic Block Name","Dynamischer Blockname"
"Active","Aktiv"
"Inactive","Inaktiv"
"Applies To","Gilt für"
"Any Dynamic Block Type","Jeder Dynamischer Block-Typ"
"Specified Dynamic Block Types","Angegebener Dynamischer Block-Typ"
"Specify Types","Typen angeben"
"Dynamic Block Information","Dynamischer Block-Information"
"Dynamic Block","Dynamischer Block"
"Dynamic Block Type","Dynamischer Block-Typ"
"Are you sure you want to delete these dynamic blocks?","Sind Sie sicher, dass Sie diese dynamischen Blöcke löschen möchten?"
"Related Dynamic Blocks","Verbundene Dynamische Blöcke"
"Position","Reihenfolge"
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"You deleted the dynamic block.","Sie haben den dynamischen Block gelöscht."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Etwas ist falsch gelaufen beim Löschen der Daten des dynamischen Abschnitts.
Bitte überprüfe diesen Vorgangsbericht und versuche es nochmal."
"We cannot find a dynamic block to delete.","Wir können keinen dynamischen Block zum Löschen finden."
"This dynamic block no longer exists.","Dieser dynamische Block existiert nicht mehr."
"Edit Dynamic Block","Dynamischen Block bearbeiten"
"Please select a dynamic block(s).","Bitte wählen Sie einen dynamischen Block."
"You deleted %1 record(s).","Sie haben %1 Eintragung(en) gelöscht."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Etwas ist falsch gelaufen während mehrere dynamische Abschnitte gelöscht wurden.
Überprüfe diesen Vorgangs-Bericht und versuche es nochmal."
"This dynamic block does not exist.","Dieser dynamische Block existiert nicht."
"You saved the dynamic block.","Sie haben den dynamischen Block gespeichert."
"We cannot save the dynamic block.","Wir können den dynamischen Block nicht speichern."
"Invalid Request","Invalid Request"
"Please enter a name.","Bitte geben Sie einen Namen ein."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","-- Keine --"
"Error","Fehler"
"Invalid content","Invalid content"
"Content Area","Inhaltsbereich"
"Footer","Fußzeile"
"Header","Kopfzeile"
"Left Column","Linke Spalte"
"Right Column","Rechte Spalte"
"Manage Dynamic Blocks","Dynamische Blöcke Verwalten"
"Dynamic Blocks Rotator","Dynamischer Abschnitt Rotierer"
"Displays Specified or Promotion Dynamic Blocks","Zeigt bestimmte oder Promotion Dynamische Abschnitte an"
"Dynamic Blocks to Display","Anzuzeigende dynamische Abschnitte"
"Specified Dynamic Blocks","Angegebene Dynamische Blöcke"
"Cart Price Rule Related","Zugehörige Warenkorb-Preisregel"
"Catalog Price Rule Related","Zugehörige Katalog-Preisregel"
"Restrict by Dynamic Block Types","Nach Typen der dynamischen Abschnitte einschränken"
"Rotation Mode","Rotationsmodus"
"Display all instead of rotating","Alle anzeigen anstatt zu rotieren"
"One at the time, Random","Eins zur Zeit, Zufall"
"One at the time, Series","Eins zur Zeit, Serien"
"One at the time, Shuffle","Eins zur Zeit, Mischen"
"Specify Dynamic Blocks","Dynamische Blöcke angeben"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Dynamischer Abschnitt Inline-Vorlage"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Zurück"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Visibility","Sichtbarkeit"
