"Banners","Bannere"
"Add Banner","Adaugă Banner"
"Save Banner","Salvează Banner-ul"
"Delete Banner","Ștergere banner"
"Save and Continue Edit","Salvați și continuați editarea"
"New Banner","Banner nou"
"Content","Conținut"
"Default Content","Conținut implicit"
"No Default Content","Nici un conținut implicit"
"Banner Default Content for All Store Views","Conținut implicit banner pentru toate vizualizările din magazin"
"Store View Specific Content","Vedeți conținutul specific magazinului"
"Use Default","Folosiți ca implicit"
"Related Promotions","Promotii corelate"
"ID","ID"
"Rule","Regulă"
"Start Date","Data de începere"
"End Date","Data de sfârșit"
"Status","Status"
"Banner Properties","Proprietăți banner"
"Banner Name","Nume Banner"
"Active","Activ"
"Inactive","Inactiv"
"Applies To","Se aplică la"
"Any Banner Type","Orice tip de banner"
"Specified Banner Types","Tipuri de banner specificate"
"Specify Types","Specifica tipurile"
"Banner Information","Informații Banner"
"Banner","Banner"
"Banner Type","Tip Banner"
"Visibility","Vizibilitate"
"Delete","Șterge"
"Are you sure you want to delete these banners?","Sunteţi sigur că doriţi să ştergeţi aceste bannere?"
"Related Banners","Banner-e asemănătoare"
"Position","Poziție"
"This rule no longer exists.","Această regulă nu mai există."
"This banner does not exist.","Acest banner nu există."
"You deleted the banner.","Ai șters banner-ul."
"Something went wrong while deleting banner data. Please review the action log and try again.","Ceva nu a mers bine în timpul ștergerii datelor bannerului. Vă rugăm să revizuiți jurnalul de acțiuni și să încercați din nou."
"We cannot find a banner to delete.","Nu putem găsi un banner de șters."
"This banner no longer exists.","Acest banner nu mai există."
"Edit Banner","Editează Banner"
"Please select a banner(s).","Vă rugăm să selectaţi un banner(e)."
"You deleted %1 record(s).","Ați șters %1 înregistrări."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Ceva nu a mers bine în timpul ștergerii în masă a banner-elor. Examinați jurnalul de acțiuni și încercați din nou."
"You saved the banner.","Ai salvat banner-ul."
"We cannot save the banner.","Nu putem salva banner-ul."
"Please enter a name.","Introdu un nume."
"Please specify default content for at least one store view.","Vă rugăm să specificați conținutul implicit pentru cel puțin o vizualizare din magazin."
"-- None --","-- Nimic --"
"Error","Eroare"
"Related Cart Price Rules","Reguli de pret cos asociate"
"Related Catalog Price Rules","Reguli de pret catalog asociate"
"Content Area","Zona Conținut"
"Footer","Subsol"
"Header","Antet"
"Left Column","Coloana Stânga"
"Right Column","Coloana Dreapta"
"Manage Banners","Gestionează Banner-ele"
"Banner Rotator","Rotator Banner"
"Displays Specified or Promotion Banners","Afişează bannere specificate sau promoţionale"
"Banners to Display","Banner-e de afișat"
"Specified Banners","Bannere specificate"
"Shopping Cart Promotions Related","Promotii cos cumparaturi legate"
"Catalog Promotions Related","Promoții ale catalogului legate"
"Restrict by Banner Types","Restricționat de tipurile de banner"
"Rotation Mode","Mod Rotire"
"Display all instead of rotating","Afişează toate în loc de rotaţie"
"One at the time, Random","Unul la acel moment, aleator"
"One at the time, Series","Una pe atunci, seria"
"One at the time, Shuffle","Una la acea dată, Amestecare"
"Specify Banners","Specifică Bannere"
"Banner Block Template","Șablon blocare banner"
"Banner Inline Template","Şablon în linie banner"
"Dynamic Blocks","Blocuri dinamice"
"Add Dynamic Block","Adaugă bloc dinamic"
"Save Dynamic Block","Salvează bloc dinamic"
"Delete Dynamic Block","Șterge bloc dinamic"
"New Dynamic Block","Bloc dinamic nou"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți acest lucru?"
"Reset","Resetare"
"Save","Salvare"
"Dynamic Block Default Content for All Store Views","Conținut block dinamic implicit pentru toate vitrinele din magazin"
"Dynamic Block Properties","Proprietăți bloc dinamic"
"Dynamic Block Name","Nume Bloc dinamic"
"Any Dynamic Block Type","Orice tip de bloc dinamic"
"Specified Dynamic Block Types","Tipuri de bloc dinamic specificate"
"Dynamic Block Information","Informații bloc dinamic"
"Dynamic Block","Bloc dinamic"
"Dynamic Block Type","Tip bloc dinamic"
"Are you sure you want to delete these dynamic blocks?","Sunteţi sigur că doriţi să ştergeţi aceste blocuri dinamice?"
"Related Dynamic Blocks","Blocuri dinamice asemănătoare"
"You deleted the dynamic block.","Ai șters blocul dinamic."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Ceva nu a mers bine în timpul ștergerii datelor blocului dinamic. Vă rugăm să revizuiți jurnalul de acțiuni și să încercați din nou."
"We cannot find a dynamic block to delete.","Nu putem găsi un bloc dinamic de șters."
"This dynamic block no longer exists.","Acest bloc dinamic nu mai există."
"Edit Dynamic Block","Editare bloc dinamic"
"Please select a dynamic block(s).","Te rog selecteaza un bloc dinamic."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Ceva nu a mers bine în timpul ștergerii în masă a blocurilor dinamice. Examinați jurnalul de acțiuni și încercați din nou."
"This dynamic block does not exist.","Acest bloc dinamic nu există."
"You saved the dynamic block.","Ai salvat blocul dinamic."
"We cannot save the dynamic block.","Nu putem salva blocul dinamic."
"Manage Dynamic Blocks","Gestionează blocuri dinamice"
"Dynamic Blocks Rotator","Rotator blocuri dinamice"
