"Banners","Banery"
"Add Banner","Dodaj baner"
"Save Banner","Zapisz baner"
"Delete Banner","Usuń baner"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"New Banner","Nowy baner"
"Content","Zawartość"
"Default Content","Domyślna zawartość"
"No Default Content","Brak domyślnej zawartości"
"Banner Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Store View Specific Content","Określona zawartość widoku sklepu"
"Use Default","Użyj domyślnych"
"Related Promotions","Powiązane promocje"
"ID","Identyfikator"
"Rule","Reguła"
"Start Date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Status","Stan"
"Banner Properties","Banner Properties"
"Banner Name","Nazwa banera"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Applies To","Dotyczy"
"Any Banner Type","Dowolny typ banera"
"Specified Banner Types","Określone typy banerów"
"Specify Types","Określ rodzaje"
"Banner Information","Informacje o banerze"
"Banner","Baner"
"Banner Type","Typ banera"
"Visibility","Widoczność"
"Delete","Usuń"
"Are you sure you want to delete these banners?","Czy na pewno chcesz usunąć te banery?"
"Related Banners","Powiązane banery"
"Position","Pozycja"
"This rule no longer exists.","Ta reguła już nie istnieje."
"This banner does not exist.","Ten baner nie istnieje."
"You deleted the banner.","Usunąłeś baner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Coś poszło nie tak podczas usuwania danych banera. Przejrzyj dziennik akcji i spróbuj ponownie."
"We cannot find a banner to delete.","Nie możemy znaleźć banera do usunięcia."
"This banner no longer exists.","Ten baner już nie istnieje."
"Edit Banner","Edytuj baner"
"Please select a banner(s).","Wybierz baner(y)."
"You deleted %1 record(s).","Usunięto %1 rekord(ów)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Coś poszło nie tak podczas masowego usuwania banerów. Przejrzyj dziennik akcji i spróbuj ponownie."
"You saved the banner.","Uratowałeś baner."
"We cannot save the banner.","Nie możemy uratować sztandaru."
"Please enter a name.","Proszę wpisać nazwę."
"Please specify default content for at least one store view.","Określ domyślną zawartość dla co najmniej jednego widoku sklepu."
"-- None --","-- Żaden --"
"Error","Błąd"
"Related Cart Price Rules","Powiązane zasady dotyczące cen koszyka"
"Related Catalog Price Rules","Powiązane zasady dotyczące cen katalogowych"
"Content Area","Zawartość"
"Footer","Stopka"
"Header","Nagłówek"
"Left Column","Lewa kolumna"
"Right Column","Prawa kolumna"
"Manage Banners","Zarządzanie banerami"
"Banner Rotator","Rotator banerów"
"Displays Specified or Promotion Banners","Wyświetla określone lub promocyjne banery"
"Banners to Display","Banery do wyświetlenia"
"Specified Banners","Określone banery"
"Shopping Cart Promotions Related","Promocje związane z koszykami"
"Catalog Promotions Related","Powiązane promocje katalogowe"
"Restrict by Banner Types","Ograniczenia według typów banerów"
"Rotation Mode","Tryb obracania"
"Display all instead of rotating","Wyświetlić wszystkie zamiast obracać"
"One at the time, Random","Jeden na raz, losowo"
"One at the time, Series","Jeden na raz, seria"
"One at the time, Shuffle","Jeden na raz, tasowanie"
"Specify Banners","Określ banery"
"Banner Block Template","Szablon bloku banera"
"Banner Inline Template","Szablon wbudowanego banera"
"Dynamic Blocks","Bloki dynamiczne"
"Add Dynamic Block","Dodaj blok dynamiczny"
"Save Dynamic Block","Zapisz blok dynamiczny"
"Delete Dynamic Block","Usuń blok dynamiczny"
"New Dynamic Block","Nowy blok dynamiczny"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Reset","Reset"
"Save","Zapisz"
"Dynamic Block Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Dynamic Block Properties","Właściwości bloku dynamicznego"
"Dynamic Block Name","Nazwa bloku dynamicznego"
"Any Dynamic Block Type","Każdy typ bloku dynamicznego"
"Specified Dynamic Block Types","Wybrany typ bloku dynamicznego"
"Dynamic Block Information","Informacje o bloku dynamicznym"
"Dynamic Block","Blok dynamiczny"
"Dynamic Block Type","Typ bloku dynamicznego"
"Are you sure you want to delete these dynamic blocks?","Czy na pewno chcesz usunąć te bloki dynamiczne?"
"Related Dynamic Blocks","Powiązane bloki dynamiczne"
"You deleted the dynamic block.","Skasowałeś blok dynamiczny."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Coś poszło źle w momencie kasowania danych bloku dynamicznego. Proszę przejrzyj dziennik działań i spróbuj ponownie."
"We cannot find a dynamic block to delete.","Nie możemy znaleźć bloku dynamicznego do usunięcia."
"This dynamic block no longer exists.","Blok dynamiczny już nie istnieje."
"Edit Dynamic Block","Edytuj blok dynamiczny"
"Please select a dynamic block(s).","Wybierz  blok /lub bloki dynamiczne."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Coś poszło nie tak podczas hurtowego usuwania bloków dynamicznych. Przejrzyj dziennik akcji i spróbuj ponownie."
"This dynamic block does not exist.","Blok dynamiczny nie istnieje."
"You saved the dynamic block.","Zapisałeś blok dynamiczny."
"We cannot save the dynamic block.","Nie można zapisać bloku dynamicznego."
"Manage Dynamic Blocks","Zarządzaj blokami dynamicznymi"
"Dynamic Blocks Rotator","Rotator bloków dynamicznych"
"Displays Specified or Promotion Dynamic Blocks","Wyświetla określone lub promowane bloki dynamiczne"
"Dynamic Blocks to Display","Bloki dynamiczne do wyświetlenia"
"Specified Dynamic Blocks","Określone bloki dynamiczne"
"Restrict by Dynamic Block Types","Ogranicz ze względu na typ bloku dynamicznego"
"Specify Dynamic Blocks","Określ bloki dynamiczne"
"Dynamic Block Template","Szablon bloku dynamicznego"
"Dynamic Block Inline Template","Szablon wbudowanego bloku dynamicznego"
"Name","Nazwa"
"Status Label","Etykieta statusu"
"General Information","Informacje ogólne"
"Back","Powrót"
"Enable Dynamic Block","Włącz blok dynamiczny"
"Use Default Value","Użyj wartości domyślnej"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Reguły cenowe koszyka umożliwiają konfigurację promocji dla produktów znajdujących się w koszyku."
"Add Cart Price Rules","Zasady dodawania ceny do koszyka"
"Related Catalog Price Rule","Powiązana reguła ceny katalogowej"
"Catalog price rules allows you to setup promotions for an items in catalog.","Reguły cen katalogowych umożliwiają ustawienie promocji dla pozycji w katalogu."
"Cancel","Anuluj"
"Add Selected","Dodaj wybrane"
"Remove","Usunąć"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Upewnij się, że rotator bloków dynamicznych nie odwołuje się do samego bloku dynamicznego."
"Cart Price Rule Related","Powiązane zasady wartości koszyka"
"Catalog Price Rule Related","Powiązane Zasady cen Katalogowych"
