"Dynamic Blocks","Blocos dinâmicos"
"Add Dynamic Block","Adicionar bloco dinâmico"
"Save Dynamic Block","Gravar bloco dinâmico"
"Delete Dynamic Block","Eliminar bloco dinâmico"
"Save and Continue Edit","Gravar e Continuar Edição"
"New Dynamic Block","Novo bloco dinâmico"
"Delete","Eliminar"
"Are you sure you want to do this?","Tem a certeza que quer fazer isso?"
"Reset","Redefinir"
"Save","Gravar"
"Content","Conteúdo"
"Default Content","Conteúdo Pré-definido"
"No Default Content","Nenhum conteúdo pré-definido"
"Dynamic Block Default Content for All Store Views","Conteúdo por defeito dos blocos dinâmicos para a vista de todas as lojas"
"Store View Specific Content","Conteúdo Específico a Vistas de Loja"
"Use Default","Utilizar Predefinição"
"Related Promotions","Promoções Relacionadas"
"ID","Id."
"Rule","Regra"
"Start Date","Data de Início"
"End Date","Data de Fim"
"Status","Estado"
"Dynamic Block Properties","Propriedades de bloco dinâmico"
"Dynamic Block Name","Nome do bloco dinâmico"
"Active","Ativo"
"Inactive","Inativo"
"Applies To","Aplica-se a"
"Any Dynamic Block Type","Qualquer tipo de bloco dinâmico"
"Specified Dynamic Block Types","Tipos de bloco dinâmico especificados"
"Specify Types","Especificar Tipos"
"Dynamic Block Information","Informações de bloco dinâmico"
"Dynamic Block","Bloco dinâmico"
"Dynamic Block Type","Tipo de bloco dinâmico"
"Are you sure you want to delete these dynamic blocks?","Tem certeza de que deseja excluir este bloco dinâmico?"
"Related Dynamic Blocks","Blocos dinâmicos relacionados"
"Position","Posição"
"This rule no longer exists.","Esta regra já não existe."
"You deleted the dynamic block.","Você excluiu o bloco dinâmico."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Algo deu errado ao excluir dados de bloco dinâmico. Por favor, revise o log de ação e tente novamente."
"We cannot find a dynamic block to delete.","Não encontramos um bloco dinâmico para excluir."
"This dynamic block no longer exists.","Este bloco dinâmico não existe mais."
"Edit Dynamic Block","Editar Bloco Dinâmico"
"Please select a dynamic block(s).","Por favor, selecione um bloco(s) dinâmico(s)."
"You deleted %1 record(s).","Apagou %1 registo(s)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Algo deu errado ao excluir blocos dinâmicos em massa. Por favor, revise o log de ação e tente novamente."
"This dynamic block does not exist.","Este bloco dinâmico não existe."
"You saved the dynamic block.","Gravou o bloco."
"We cannot save the dynamic block.","Não podemos salvar o bloco dinâmico."
"Invalid Request","Pedido inválido"
"Please enter a name.","Por favor insira um nome."
"Content includes restricted HTML elements. %1","O conteúdo inclui elementos HTML restritos. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Certifique-se de que o rotador de blocos dinâmicos não referencia o bloco dinâmico em si."
"-- None --","-- Nenhum --"
"Error","Erro"
"Invalid content","Conteúdo inválido"
"Content Area","Área de conteúdo"
"Footer","Rodapé"
"Header","Cabeçalho"
"Left Column","Coluna esquerda"
"Right Column","Coluna Direita"
"Manage Dynamic Blocks","Gerir Blocos Dinâmicos"
"Dynamic Blocks Rotator","Rotador de Blocos Dinâmicos"
"Displays Specified or Promotion Dynamic Blocks","Exibe blocos dinâmicos especificados ou promocionais"
"Dynamic Blocks to Display","Blocos dinâmicos para exibir"
"Specified Dynamic Blocks","Blocos Dinâmicos Especificados"
"Cart Price Rule Related","Regra relacionada ao preço de carrinho"
"Catalog Price Rule Related","Regra relacionada ao preço do catálogo"
"Restrict by Dynamic Block Types","Restringir por Tipos de Bloco Dinâmico"
"Rotation Mode","Modo de Rotação"
"Display all instead of rotating","Mostrar todos em vez de ir rodando"
"One at the time, Random","Um de cada vez, Aleatório"
"One at the time, Series","Um de cada vez, Séries"
"One at the time, Shuffle","Um de cada vez, Baralhar"
"Specify Dynamic Blocks","Tipos de bloco dinâmico especificados"
"Dynamic Block Template","Modelo de Bloco Dinâmico"
"Dynamic Block Inline Template","Modelo Inline de Bloco Dinâmico"
"Name","Nome"
"Status Label","Rótulo do estado"
"General Information","Informação Geral"
"Back","Voltar"
"Enable Dynamic Block","Ativar bloco dinâmico"
"Use Default Value","Usar o Valor Pré-definido"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Regras de preço do carrinho permite configurar promoções para itens que estão no carrinho de compras."
"Add Cart Price Rules","Adicionar Regras de Preço do Carrinho"
"Related Catalog Price Rule","Regra de preço de catálogo relacionado"
"Catalog price rules allows you to setup promotions for an items in catalog.","Regras de preço do catálogo permite você configurar promoções para um itens no catálogo."
"Cancel","Cancelar"
"Add Selected","Adicionar selecionados"
"Visibility","Visibilidade"
