"Dynamic Blocks","Blocchi Dinamici"
"Add Dynamic Block","Aggiungi Blocco Dinamico"
"Save Dynamic Block","Salva Blocco Dinamico"
"Delete Dynamic Block","Elimina Blocco Dinamico"
"Save and Continue Edit","Salva e continua modifica"
"New Dynamic Block","Nuovo Blocco Dinamico"
"Delete","Elimina"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save","Save"
"Content","Contenuto"
"Default Content","Contenuto predefinito"
"No Default Content","Nessun contenuto predefinito"
"Dynamic Block Default Content for All Store Views","Contenuto predefinito Blocchi Dinamici per tutte le Viste Negozio"
"Store View Specific Content","Contenuto specifico per la vista negozio"
"Use Default","Usa predefinito"
"Related Promotions","Promozioni correlate"
"ID","ID"
"Rule","Regola"
"Start Date","Data Inizio"
"End Date","Data Fine"
"Status","Stato"
"Dynamic Block Properties","Proprietà Blocco Dinamico"
"Dynamic Block Name","Nome Blocco Dinamico"
"Active","Attiva"
"Inactive","Inattivo"
"Applies To","Si applica a"
"Any Dynamic Block Type","Aggiungi Tipo di Blocco Dinamico"
"Specified Dynamic Block Types","Specified Dynamic Block Types"
"Specify Types","Specifica Tipi"
"Dynamic Block Information","Informazioni Blocco Dinamico"
"Dynamic Block","Blocco Dinamico"
"Dynamic Block Type","Tipo di Blocco Dinamico"
"Are you sure you want to delete these dynamic blocks?","Sei sicuro di voler eliminare questi blocchi dinamici?"
"Related Dynamic Blocks","Blocchi Dinamici correlati"
"Position","Posizione"
"This rule no longer exists.","Questa regola non esiste più."
"You deleted the dynamic block.","Hai eliminato il blocco dinamico."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","C'è stato un errore durante l'eliminazione dei dati del blocco dinamico. Per favore controlla il log delle attività e riprova."
"We cannot find a dynamic block to delete.","Impossibile trovare il blocco dinamico da eliminare."
"This dynamic block no longer exists.","Il blocco dinamico non è più presente."
"Edit Dynamic Block","Modifica Blocco Dinamico"
"Please select a dynamic block(s).","Seleziona un blocco dinamico."
"You deleted %1 record(s).","Hai eliminato %1 record."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again."
"This dynamic block does not exist.","This dynamic block does not exist."
"You saved the dynamic block.","You saved the dynamic block."
"We cannot save the dynamic block.","We cannot save the dynamic block."
"Invalid Request","Invalid Request"
"Please enter a name.","Inserisci un nome."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","-- Nessuno --"
"Error","Errore"
"Invalid content","Invalid content"
"Content Area","Area del contenuto"
"Footer","Piè di pagina"
"Header","Intestazione"
"Left Column","Colonna sinistra"
"Right Column","Colonna destra"
"Manage Dynamic Blocks","Manage Dynamic Blocks"
"Dynamic Blocks Rotator","Dynamic Blocks Rotator"
"Displays Specified or Promotion Dynamic Blocks","Displays Specified or Promotion Dynamic Blocks"
"Dynamic Blocks to Display","Dynamic Blocks to Display"
"Specified Dynamic Blocks","Specified Dynamic Blocks"
"Cart Price Rule Related","Cart Price Rule Related"
"Catalog Price Rule Related","Regola Prezzo Catalogo Correlata"
"Restrict by Dynamic Block Types","Restrict by Dynamic Block Types"
"Rotation Mode","Modalità di rotazione"
"Display all instead of rotating","Visualizza tutto invece di ruotare"
"One at the time, Random","Uno alla volta, Random"
"One at the time, Series","Uno alla volta, in serie"
"One at the time, Shuffle","Uno alla volta, Casuale"
"Specify Dynamic Blocks","Specify Dynamic Blocks"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Dynamic Block Inline Template"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Back"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Visibility","Visibilità"
