"Partners","Đối tác"
"Magento Marketplace","Magento Marketplace"
"Platinum Partners","Các đối tác bạch kim"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Đại diện cho Magento của mức cao nhất của các đối tác cam kết, đối tác bạch kim Magento đã thành lập chính mình như là lãnh đạo và sáng tạo các sản phẩm và dịch vụ được thiết kế để giúp các thương gia và thương hiệu phát triển kinh doanh của họ. Magento dự trữ cấp Platinum cho các lựa chọn đối tác tin cậy được cam kết cung cấp tích hợp tính năng thương mại điện tử, chức năng, và công cụ, cũng như hệ thống back-end và hoạt động, mở rộng và tăng cường sức mạnh của Magento Thương mại điện tử nền tảng."
"Featured Platinum Partners","Nổi bật các đối tác bạch kim"
"Partner search","Tìm kiếm đối tác"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento có một hệ sinh thái phát triển mạnh mẽ cho công nghệ đối tác để giúp các thương gia và thương hiệu cung cấp cho khách hàng kinh nghiệm tốt nhất có thể. Họ được công nhận là chuyên gia trong thương mại điện tử, tìm kiếm, tiếp thị email, các khoản thanh toán, thuế, gian lận, tối ưu hóa và phân tích, thực hiện, và nhiều hơn nữa. Truy cập vào thư mục đối tác Magento để xem tất cả các đối tác đáng tin cậy."
"More Partners","Thêm đối tác"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Tiện ích mở rộng và chủ đề là một thành phần thiết yếu của hệ sinh thái Magento. Hãy truy cập thị trường Magento để xem các sáng kiến mới nhất mà các nhà phát triển đã tạo ra để nâng cao cửa hàng Magento của bạn."
"Visit Magento Marketplaces","Truy cập vào thị trường Magento"
"Read More","Đọc Thêm"
"Partner Page","Trang đối tác"
"No partners were found","Không có đối tác đã được tìm thấy"
"Find Partners & Extensions","Tìm đối tác & Tiện ích mở rộng"
