"Partners","שותפים"
"Magento Marketplace","מגנטו מרקטפלייס"
"Platinum Partners","שותפי פלטינה"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","דרגת הייצוג של מג'נטו הגבוהה ביותר של שותפות במגנטו, שותפי מגנטו פלטינום הם מוצגים בתור המנהיגים והיוצרים של תוספים בסיסיים, שירותים המיועדים לסייע לסוחרים ומותגים על מנת לייעל את העסק שלהם. מג'נטו שומרת לעצמה את מתן שותפות פלטינום עבור שותפים מוסמכים על כדי להציע אינטגרציות של פ'יצרים בעולם המסחר, פונקציות, כלים, כמו גם מערכות שרת והאופרציות, כדי להרחיב ולשפר את הכוח של פלטפורמת מג'נטו."
"Featured Platinum Partners","שותפי פלטינה נבחרים"
"Partner search","חפש שותף"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","מג'נטו היא מערכת אקולוגית משגשגת של שותפים בטכנולוגיית סוחרים ומותגים הטובים ביותר הנותנים חווית משתמש אופטימלית ללקוח. המותגים והסחורים מזוהים בתור מומחים בתחום מסחר אלקטרוני, חיפוש, דואר אלקטרוני שיווקי, תשלומים, מס, הונאה, אופטימיזציה, ניתוח, הגשמה, ועוד. בקר במאגר שותפי מג'נטו כדי לראות את כל השותפים המאומתים שלנו."
"More Partners","שותפים נוספים"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","הרחבות ערכות נושא מרכיב חיוני של ה-Ecosystem של מג'נטו בקרב אנשי עסקים ותיירים כאחד. אנא בקרו במרקטפלייס של מג'נטו לראות את החידושים האחרונים שמפתחים יצרו כדי לשפר את חנות מג'נטו."
"Visit Magento Marketplaces","ביקור במגנטו מרקטפלייס"
"Read More","קרא עוד"
"Partner Page","עמוד שותף"
"No partners were found","לא נמצאו שותפים"
"Find Partners & Extensions","מצא שותפים ותוספים"
