"Partners","හවුල්කරුවන්"
"Magento Marketplace","Magento වෙළඳපොළ"
"Platinum Partners","ප්ලැටිනම් හවුල්කරුවන්"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Magento හි ඉහළම මට්ටමේ හවුල්කාරිත්වය නියෝජනය කරමින්, Magento Platinum හවුල්කරුවන් වෙළඳුන්ට සහ වෙළඳ නාමවලට ඔවුන්ගේ ව්‍යාපාරය වර්ධනය කිරීමට උපකාර කිරීම සඳහා නිර්මාණය කර ඇති ප්‍රධාන නිෂ්පාදන සහ සේවාවන්හි නායකයින් සහ නවෝත්පාදකයින් ලෙස ස්ථාපිත වී ඇත. Magento වාණිජ වේදිකාවේ බලය දිගු කිරීමට සහ වැඩි දියුණු කිරීමට වාණිජ විශේෂාංග, කාර්යයන් සහ මෙවලම් මෙන්ම පසු-අන්ත පද්ධති සහ මෙහෙයුම් ඒකාබද්ධ කිරීම් පිරිනැමීමට කැපවී සිටින තෝරාගත් විශ්වාසදායක හවුල්කරුවන් සඳහා Magento ප්ලැටිනම් මට්ටම වෙන් කරයි."
"Featured Platinum Partners","විශේෂාංගගත ප්ලැටිනම් හවුල්කරුවන්"
"Partner search","හවුල්කරු සෙවීම"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento සතුව වෙළඳුන්ට සහ වෙළඳ නාමවලට හැකි උපරිම පාරිභෝගික අත්දැකීම් ලබා දීමට උපකාර කිරීම සඳහා තාක්ෂණික හවුල්කරුවන්ගේ දියුණු පරිසර පද්ධතියක් ඇත. ඔවුන් ඊ-වාණිජ්‍යය, සෙවීම්, විද්‍යුත් තැපැල් අලෙවිකරණය, ගෙවීම්, බදු, වංචා, ප්‍රශස්තකරණය සහ විශ්ලේෂණ, සපුරාලීම සහ තවත් බොහෝ දේ පිළිබඳ විශේෂඥයන් ලෙස පිළිගැනේ. අපගේ සියලු විශ්වාසවන්ත හවුල්කරුවන් බැලීමට Magento හවුල්කාර නාමාවලිය වෙත පිවිසෙන්න."
"More Partners","තවත් හවුල්කරුවන්"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","දිගු සහ තේමා Magento පරිසර පද්ධතියේ අත්‍යවශ්‍ය අංගයකි. ඔබේ Magento වෙළඳසැල වැඩිදියුණු කිරීමට සංවර්ධකයින් විසින් නිර්මාණය කර ඇති නවතම නවෝත්පාදනයන් බැලීමට කරුණාකර Magento Marketplace වෙත පිවිසෙන්න."
"Visit Magento Marketplaces","Magento Marketplaces වෙත පිවිසෙන්න"
"Read More","වැඩිදුර කියවන්න"
"Partner Page","හවුල්කාර පිටුව"
"No partners were found","හවුල්කරුවන් හමු නොවීය"
"Find Partners & Extensions","හවුල්කරුවන් සහ දිගු සොයන්න"
