"Partners","الشركاء"
"Magento Marketplace","Magento Marketplace"
"Platinum Partners","شركاء البلاتين"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","تمثل أعلى مستوى في ماجنتو لمشاركة الشريك، أقام ""شركاء الماجنتو البلاتين "" أنفسهم كقادة ومبتكرين من المنتجات الأساسية والخدمات المصممة لمساعدة التجار والعلامات التجارية لتنمو أعمالهم. وتحتفظ ماجنتو بمستوى البلاتين لتحديد الشركاء الموثوق بهم و التي ملتزمة بتوفير التكامل للتجارة والمميزات والوظائف، والأدوات، فضلا عن الأنظمة الخلفية والعمليات، والتوسع وتعزيز قوة منصة التجارة ماجنتو."
"Featured Platinum Partners","الشركاء البلاتين الموصى بها"
"Partner search","البحث عن شريك"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","الماجنتو لديها نظام إيكولوجي مزدهرة للشركاء في مجال التكنولوجيا لمساعدة التجار والماركات لتسليم العميل أفضل الخبرات الممكنة. ماجنتو تعتبر من خبراء التجارة الإلكترونية، والبحث والتسويق عبر البريد الإلكتروني، المدفوعات، الضرائب، الاحتيال، التحسين والتحليلات، وفاء، وأكثر. قم بزيارة ""دليل شريك ماجنتو"" لرؤية جميع شركائنا الموثوق بها."
"More Partners","المزيد من الشركاء"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store."
"Visit Magento Marketplaces","زيارة Magento Marketplaces"
"Read More","اقرأ المزيد"
"Partner Page","صفحة الشريك"
"No partners were found","No partners were found"
"Find Partners & Extensions","العثور على شركاء & ملحقات"
