"Partners","合作伙伴"
"Magento Marketplace","Magento 市场"
"Platinum Partners","白金合作伙伴"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","代表 Magento 的最高水平的伙伴参与，Magento 白金合作伙伴建立自己作为领袖和革新者的关键产品和服务，旨在帮助商家和品牌拓展他们的业务。Magento 的选择可信赖的合作伙伴，致力于提供集成的商务功能、 函数和工具，以及后端系统和操作，以扩展和增强商务平台的 Magento 的力量储备白金级别。"
"Featured Platinum Partners","合作伙伴: 白金"
"Partner search","合作伙伴搜索"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento 有欣欣向荣的生态系统的技术合作伙伴，帮助商家和品牌提供最佳的客户体验。他们被公认的在电子商务、 搜索、 电子邮件营销、 支付、 税收、 欺诈、 优化和分析、 实践，和更多的专家。访问 Magento 合作伙伴目录以查看所有我们可信赖的合作伙伴。"
"More Partners","更多的合作伙伴"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","扩展和主题是 Magento 生态系统的重要组成部分。请访问 Magento 市场上看到最新的创新，开发人员创建以提高你的 Magento 商店。"
"Visit Magento Marketplaces","访问 Magento 市场"
"Read More","阅读更多"
"Partner Page","合作伙伴页"
"No partners were found","没有伙伴被发现"
"Find Partners & Extensions","寻找合作伙伴与扩展"
