"Partners","Партньори"
"Magento Marketplace","Magento пазар"
"Platinum Partners","Платинени партньори"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Представляващи на Magento в най-високото ниво на партньор ангажимент, Magento платина партньори се утвърждават като лидери и новатори на основни продукти и услуги, предназначени да помогнат търговци и марки растат бизнеса си. Magento запазва ниво Платина за изберете надеждни партньори, които са се ангажирали да предлагат интеграции на търговия функции, функции и инструменти, както и обратно края на системи и операции, за разширяване и засилване на правомощията на Magento търговия платформа."
"Featured Platinum Partners","Платинени партньори"
"Partner search","Търсене на партньори"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento е процъфтяваща екосистема на технологични партньори да помогнат търговци и производители доставят най-добрите възможни клиента опит. Те са признати като експерти в електронната търговия, търсене, имейл маркетинг, плащания, данъчни, измама, оптимизация и анализ, изпълнение и др. Посетете Magento партньор директория, за да видите всички от нашите надеждни партньори."
"More Partners","Повече партньори"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Разширения и теми са съществен компонент от екосистемата на Magento. Моля, посетете пазара на Magento да видите най-новите иновации, които разработчиците са създали за подобряване на вашия Magento магазин."
"Visit Magento Marketplaces","Посетете Magento пазари"
"Read More","Прочети повече"
"Partner Page","Партньорска страница"
"No partners were found","Няма намерени партньори"
"Find Partners & Extensions","Намери партньори & разширения"
