"Partners","Mitra"
"Magento Marketplace","Pasar Magento"
"Platinum Partners","Mitra Platinum"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Mewakili tingkat keterlibatan mitra Magento yang paling tinggi, Magento Platinum Partners telah menetapkan diri mereka sebagai pemimpin dan inovator produk dan layanan utama yang dirancang untuk membantu pedagang dan merek mengembangkan bisnis mereka. Magento memiliki tingkat Platinum untuk mitra tepercaya yang berkomitmen untuk menawarkan integrasi fitur, fungsi, dan alat peraga, serta sistem dan operasi back-end, untuk memperluas dan meningkatkan kekuatan platform perdagangan Magento."
"Featured Platinum Partners","Mitra Platinum Unggulan"
"Partner search","Penelusuran mitra"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento memiliki ekosistem mitra teknologi yang berkembang untuk membantu pedagang dan merek memberikan pengalaman pelanggan sebaik mungkin. Mereka diakui sebagai pakar eCommerce, penelusuran, pemasaran email, pembayaran, pajak, penipuan, pengoptimalan dan analisis, pemenuhan, dan lainnya. Kunjungi Direktori Mitra Magento untuk melihat semua mitra terpercaya kami."
"More Partners","Lebih banyak mitra"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Ekstensi dan Tema merupakan komponen penting Ekosistem Magento. Silakan kunjungi Magento Marketplace untuk melihat inovasi terbaru yang telah dibuat pengembang untuk meningkatkan Magento Store Anda."
"Visit Magento Marketplaces","Kunjungi Pasar Magento"
"Read More","Baca lebih banyak"
"Partner Page","Halaman Mitra"
"No partners were found","Tidak ada pasangan yang ditemukan"
"Find Partners & Extensions","Temukan Mitra & Ekstensi"
