"Sign Out","സൈന്‍ ഔട്ട്‌"
"Sign In","സൈന്‍ ഇന്‍"
"You are subscribed to our newsletter.","നിങ്ങൾ ഞങ്ങളുടെ വാർത്താക്കുറിപ്പ് സബ്‌സ്‌ക്രൈബുചെയ്‌തു."
"You aren't subscribed to our newsletter.","നിങ്ങൾ ഞങ്ങളുടെ വാർത്താക്കുറിപ്പ് സബ്‌സ്‌ക്രൈബുചെയ്‌തിട്ടില്ല."
"You have not set a default shipping address.","നിങ്ങൾ ഒരു സ്ഥിര ഷിപ്പിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"You have not set a default billing address.","നിങ്ങൾ ഒരു സ്ഥിര ബില്ലിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"Address Book","അഡ്രസ് ബുക്ക്"
"Edit Address","അഡ്രസ് തിരുത്തുക"
"Add New Address","പുതിയ അഡ്രസ് ചേർക്കുക"
"region","സ്ഥലം"
"Create Order","ഓർഡർ സൃഷ്ടിക്കുക"
"Save Customer","ഉപഭോക്താവിനെ സേവ് ചെയ്യുക"
"Delete Customer","ഉപഭോക്താവിനെ ഇല്ലാതാക്കുക"
"Reset Password","പാസ്‍വേര്‍ഡ് പുനഃക്രമീകരിക്കുക"
"Are you sure you want to revoke the customer's tokens?","ഉപഭോക്താവിന്റെ ടോക്കണുകൾ അസാധുവാക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Force Sign-In","സൈൻ-ഇൻ നിർബന്ധിക്കുക"
"New Customer","പുതിയ ഉപഭോക്താവ്"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Back","പിന്നിലേക്കു"
"Please select","ദയവായി തിരഞ്ഞെടുക്കുക"
"Reset","പുനഃക്രമീകരിക്കുക"
"ID","ഐഡി"
"Product","ഉൽപ്പന്നം"
"SKU","SKU"
"Quantity","അളവ്"
"Price","വില"
"Total","ആകെ"
"Action","പ്രവര്‍ത്തി"
"Configure","കോൺഫിഗർ ചെയ്യുക"
"Delete","നീക്കം ചെയ്യുക"
"Shopping Cart from %1","%1 മുതൽ ഷോപ്പിംഗ് കാർട്ട്"
"Newsletter","വാർത്താക്കുറിപ്പ്"
"Newsletter Information","വാർത്താക്കുറിപ്പ് വിവരങ്ങൾ"
"Subscribed to Newsletter","വാർത്താക്കുറിപ്പിലേക്ക് സബ്‌സ്‌ക്രൈബുചെയ്‌തു"
"Last Date Subscribed","അവസാന തീയതി സബ്‌സ്‌ക്രൈബുചെയ്‌തു"
"Last Date Unsubscribed","അവസാന തീയതി സബ്‌സ്‌ക്രൈബുചെയ്‌തു"
"No Newsletter Found","വാർത്താക്കുറിപ്പുകളൊന്നും കണ്ടെത്തിയില്ല"
"Start date","ആരംഭ തീയതി"
"End Date","അവസാന തീയതി"
"Receive Date","Receive Date"
"Subject","വിഷയം"
"Status","സ്റ്റാറ്റസ്"
"Sent","അയച്ചു"
"Cancel","റദ്ദാക്കുക"
"Not Sent","അയച്ചില്ല"
"Sending","അയയ്ക്കുന്നു"
"Paused","താൽക്കാലികമായി നിർത്തി"
"View","കാണുക"
"Unknown","അജ്ഞാതം"
"Order","ക്രമം"
"Purchased","വാങ്ങി"
"Bill-to Name","ബിൽ-ടു നെയിം"
"Ship-to Name","Ship-to Name"
"Order Total","ഓർഡർ ആകെ"
"Purchase Point","വാങ്ങൽ പോയിന്റ്"
"Customer View","ഉപഭോക്തൃ കാഴ്ച"
"There are no items in customer's shopping cart.","ഉപഭോക്താവിന്റെ ഷോപ്പിംഗ് കാർട്ടിൽ ഇനങ്ങളൊന്നുമില്ല."
"Qty","അളവ്"
"Confirmed","സ്ഥിരീകരിച്ചു"
"Confirmation Required","സ്ഥിരീകരണം ആവശ്യമാണ്"
"Confirmation Not Required","സ്ഥിരീകരണം ആവശ്യമില്ല"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","The customer does not have default billing address."
"Offline","Offline"
"Online","Online"
"Never","Never"
"Unlocked","Unlocked"
"Locked","Locked"
"Deleted Stores","Deleted Stores"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Unlock","Unlock"
"No","No"
"Yes","Yes"
"Delete File","Delete File"
"Download","Download"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","All countries"
"Customer Groups","Customer Groups"
"Add New Customer Group","Add New Customer Group"
"Save Customer Group","Save Customer Group"
"Delete Customer Group","Delete Customer Group"
"New Customer Group","New Customer Group"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 characters.","Maximum length must be less then %1 characters."
"Tax Class","Tax Class"
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","The VAT ID is valid."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validate VAT Number"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Date of Birth"
"Bad request.","Bad request."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","%1 ൽ രജിസ്റ്റർ ചെയ്തതിന് നന്ദി."
"Please check your email for confirmation key.","സ്ഥിരീകരണ കീയ്ക്കായി നിങ്ങളുടെ ഇമെയിൽ പരിശോധിക്കുക."
"This email does not require confirmation.","ഈ ഇമെയിലിന് സ്ഥിരീകരണം ആവശ്യമില്ല."
"Wrong email.","തെറ്റായ ഇമെയിൽ."
"Your password reset link has expired.","നിങ്ങളുടെ പാസ്‌വേഡ് പുനസജ്ജീകരണ ലിങ്ക് കാലഹരണപ്പെട്ടു."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","നിങ്ങളുടെ അക്കൗണ്ട് സ്ഥിരീകരിക്കണം. സ്ഥിരീകരണ ലിങ്കിനായി ദയവായി നിങ്ങളുടെ ഇമെയിൽ പരിശോധിക്കുക അല്ലെങ്കിൽ ഒരു പുതിയ ലിങ്കിനായി <a href=""%1""> ഇവിടെ ക്ലിക്കുചെയ്യുക</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","ഈ ഇമെയിൽ വിലാസത്തിൽ ഇതിനകം ഒരു അക്കൗണ്ട് ഉണ്ട്. ഇത് നിങ്ങളുടെ ഇമെയിൽ വിലാസമാണെന്ന് നിങ്ങൾക്ക് ഉറപ്പുണ്ടെങ്കിൽ, നിങ്ങളുടെ പാസ്‌വേഡ് നേടുന്നതിനും അക്കൗണ്ട് ആക്സസ് ചെയ്യുന്നതിനും <a href=""%1""> ഇവിടെ ക്ലിക്കുചെയ്യുക</a>."
"We can't save the customer.","ഞങ്ങൾക്ക് ഈ ഉപഭോക്താവിനെ സേവ് ചെയ്യാൻ കഴിയില്ല."
"Please make sure your passwords match.","നിങ്ങളുടെ പാസ്‌വേഡുകൾ പൊരുത്തപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുക."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","നിങ്ങൾ ഒരു രജിസ്റ്റർ ചെയ്ത VAT ഉപഭോക്താവാണെങ്കിൽ, ശരിയായ VAT കണക്കുകൂട്ടലിനായി നിങ്ങളുടെ ഷിപ്പിംഗ് വിലാസം നൽകാൻ <a href=""%1""> ഇവിടെ ക്ലിക്കുചെയ്യുക </a>."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","നിങ്ങൾ ഒരു രജിസ്റ്റർ ചെയ്ത VAT ഉപഭോക്താവാണെങ്കിൽ, ശരിയായ VAT കണക്കുകൂട്ടലിനായി നിങ്ങളുടെ ബില്ലിംഗ് വിലാസം നൽകുന്നതിന് <a href=""%1""> ഇവിടെ ക്ലിക്കുചെയ്യുക</a>."
"Account Information","അക്കൗണ്ട് വിവരങ്ങൾ"
