"Sign Out","로그아웃"
"Sign In","로그인"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"You have not set a default shipping address.","기본 배송지 주소를 설정하지 않았습니다."
"You have not set a default billing address.","기본 구매자 주소를 설정하지 않았습니다."
"Address Book","주소록"
"Edit Address","주소 편집"
"Add New Address","새 주소 추가"
"region","지역"
"Create Order","주문 생성"
"Save Customer","고객 저장"
"Delete Customer","고객 삭제"
"Reset Password","비밀번호 초기화"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","강제 로그인"
"New Customer","신규 고객"
"Save and Continue Edit","저장하고 계속 편집하기"
"Back","이전"
"Please select","선택하세요"
"Reset","초기화"
"ID","ID"
"Product","상품"
"SKU","SKU"
"Quantity","수량"
"Price","가격"
"Total","총합계"
"Action","동작"
"Configure","설정"
"Delete","삭제"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter","뉴스레터"
"Newsletter Information","뉴스레터 정보"
"Subscribed to Newsletter","뉴스레터 구독"
"Last Date Subscribed","구독 마지막 날짜"
"Last Date Unsubscribed","구독 취소 마지막 날짜"
"No Newsletter Found","뉴스레터를 찾을 수 없습니다."
"Start date","시작 날짜"
"End Date","종료 날짜"
"Receive Date","수신 날짜"
"Subject","제목"
"Status","상태"
"Sent","전송됨"
"Cancel","취소"
"Not Sent","전송 안됨"
"Sending","전송"
"Paused","일시정지"
"View","보기"
"Unknown","알 수 없음"
"Order","Order"
"Purchased","구매하셨습니다."
"Bill-to Name","Bill-to Name"
"Ship-to Name","배송 받는 분 이름"
"Order Total","주문 합계"
"Purchase Point","구매 포인트"
"Customer View","고객 보기"
"There are no items in customer's shopping cart.","고객의 장바구니에 상품이 없습니다."
"Qty","수량"
"Confirmed","확인됨"
"Confirmation Required","확인이 필요합니다."
"Confirmation Not Required","확인할 필요가 없습니다."
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","기본 구매 주소가 없습니다."
"Offline","오프라인"
"Online","온라인"
"Never","Never"
"Unlocked","Unlocked"
"Locked","Locked"
"Deleted Stores","삭제된 스토어"
"Add Locale","언어 추가"
"Add Date","날짜 추가"
"Days in Wish List","Days in Wish List"
"Unlock","Unlock"
"No","아니오"
"Yes","네"
"Delete File","파일 삭제"
"Download","다운로드"
"Delete Image","이미지 삭제"
"View Full Size","전체 사이즈 보기"
"All countries","전체 국가"
"Customer Groups","고객 그룹"
"Add New Customer Group","신규 고객 그룹 추가"
"Save Customer Group","고객 그룹 저장"
"Delete Customer Group","고객 그룹 삭제"
"New Customer Group","신규 고객 그룹"
"Edit Customer Group ""%1""","%1 고객 그룹 수정"
"Group Information","그룹 정보"
"Group Name","그룹 이름"
"Maximum length must be less then %1 characters.","최대 글자수는 %1 입니다."
"Tax Class","세금 유형"
