"Sign Out","Logg ut"
"Sign In","Logg inn"
"You are subscribed to our newsletter.","Du abonnerer på vårt nyhetsbrev."
"You aren't subscribed to our newsletter.","Du abonnerer ikke på nyhetsbrevet."
"You have not set a default shipping address.","Du har ikke angitt en standard leveringsadresse."
"You have not set a default billing address.","Du har ikke angitt en standard faktureringsadresse."
"Address Book","Adressebok"
"Edit Address","Rediger adresse"
"Add New Address","Legg til ny adresse"
"region","region"
"Create Order","Opprette ordre"
"Save Customer","Lagre kunde"
"Delete Customer","Slett kunde"
"Reset Password","Tilbakestill passord"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Tving pålogging"
"New Customer","Ny kunde"
"Save and Continue Edit","Lagre og fortsett redigering"
"Back","Tilbake"
"Please select","Vennligst velg"
"Reset","Nullstill"
"ID","ID"
"Product","Produkt"
"SKU","Varenummer"
"Quantity","Antall"
"Price","Pris"
"Total","Totalt"
"Action","Handling"
"Configure","Konfigurer"
"Delete","Slett"
"Shopping Cart from %1","Handlekurv fra %1"
"Newsletter","Nyhetsbrev"
"Newsletter Information","Nyhetsbrev informasjon"
"Subscribed to Newsletter","Abonnerer på nyhetsbrev"
"Last Date Subscribed","Siste dato abonnert"
"Last Date Unsubscribed","Siste dato stoppet"
"No Newsletter Found","Ingen nyhetsbrev funnet"
"Start date","Startdato"
"End Date","Sluttdato"
"Receive Date","Motta dato"
"Subject","Emne"
"Status","Status"
"Sent","Sendt"
"Cancel","Avbryt"
"Not Sent","Ikke sendt"
"Sending","Sender"
"Paused","Pauset"
"View","Visning"
"Unknown","Ukjent"
"Order","Rekkefølge"
"Purchased","Kjøpt"
"Bill-to Name","Faktura til-navn"
"Ship-to Name","Lever til-navn"
"Order Total","Ordretotal"
"Purchase Point","Kjøpspunkt"
"Customer View","Kundevisning"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Antall"
"Confirmed","Bekreftet"
"Confirmation Required","Bekreftelse krevet"
"Confirmation Not Required","Bekreftelse ikke påkrevet"
"Indeterminate","Ubestemt"
"The customer does not have default billing address.","Kunden har ikke standard adresse."
"Offline","Frakoblet"
"Online","Pålogget"
"Never","Aldri"
"Unlocked","Ulåst"
"Locked","Låst"
"Deleted Stores","Slettede butikker"
"Add Locale","Legge til nasjonale innstillinger"
"Add Date","Legg til dato"
"Days in Wish List","Dager i ønskeliste"
"Unlock","Lås opp"
"No","Nei"
"Yes","Ja"
"Delete File","Slett fil"
"Download","Last ned"
"Delete Image","Slett bilde"
"View Full Size","Se full størrelse"
"All countries","Alle land"
"Customer Groups","Kundegrupper"
"Add New Customer Group","Legge til ny kundegruppe"
"Save Customer Group","Lagre kundegruppe"
"Delete Customer Group","Slett kundegruppe"
"New Customer Group","Ny kundegruppe"
"Edit Customer Group ""%1""","Redigere kundegruppe ""%1"""
"Group Information","Gruppeinformasjon"
"Group Name","Gruppenavn"
"Maximum length must be less then %1 characters.","Maksimal lengde må være mindre enn %1-tegn."
"Tax Class","Avgiftsklasse"
"The customer is now assigned to Customer Group %s.","Kunden er nå tilordnet kundegruppe %s."
"Would you like to change the Customer Group for this order?","Ønsker du å endre kundegruppe for denne ordren?"
"The VAT ID is valid.","MVA-IDen er gyldig."
"The VAT ID entered (%s) is not a valid VAT ID.","Mva-ID angitt (%s) er ikke en gyldig MVA-ID."
"The VAT ID is valid. The current Customer Group will be used.","MVA-IDen er gyldig. Gjeldende kundegruppe vil bli brukt."
"The VAT ID is valid but no Customer Group is assigned for it.","MVA-IDen er gyldig, men ingen kundegruppe er tilordnet til den."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basert på mva-IDen, tilhører kunden kundegruppe %s."
"Something went wrong while validating the VAT ID.","Noe gikk galt under validering MVA ID."
"The customer would belong to Customer Group %s.","Kunden ville tilhørt kundegruppe %s."
"There was an error detecting Customer Group.","Kunne ikke oppdage riktig kundegruppe."
"Validate VAT Number","Validere mva-nummer"
"Customer Login","Kundeinnlogging"
"Create New Customer Account","Opprett ny konto"
"Date of Birth","Fødselsdato"
"Bad request.","Ugyldig forespørsel."
"This confirmation key is invalid or has expired.","Denne bekreftelsesnøkkelen er ugyldig eller utløpt."
"There was an error confirming the account","Det oppstod en feil under bekreftelse av kontoen"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Hvis du er en registrert mva-kunde, vennligst klikk <a href=""%1"">her</a> for å oppgi leveringsadresse for riktig mva-beregning."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Hvis du er en registrert mva-kunde, vennligst klikk <a href=""%1"">her</a> for å oppgi fakturaadresse for riktig mva-beregning."
"Thank you for registering with %1.","Takk for din registrering med %1."
"Please check your email for confirmation key.","Sjekk din e-postl for bekreftelsen nøkkel."
"This email does not require confirmation.","Denne e-posten krever ingen bekreftelse."
"Wrong email.","Feil e-post adresse."
"Your password reset link has expired.","Link for å gjenopprette passord er utgått."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du må bekrefte kontoen. Sjekk din e-post, eller <a href=""%1"">klikk her</a> for å få tilsendt en ny."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Det finnes allerede en konto med denne e-postadressen. Hvis du er sikker på at er det e-postadressen, <a href=""%1""> Klikk her</a> for å få passordet og få tilgang til kontoen."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Kontroller at passordene er like."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Hvis du er en registrert mva-kunde, vennligst klikk <a href=""%1"">her</a> for å oppgi leveringsadresse for riktig mva-beregning."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Hvis du er en registrert mva-kunde, vennligst klikk <a href=""%1"">her</a> for å oppgi fakturaadresse for riktig mva-beregning."
"Account Information","Kontoinformasjon"
"You saved the account information.","Kontoinformasjon er oppdater."
"You did not sign in correctly or your account is temporarily disabled.","Du har ikke oppgitt riktig påloggingsinformasjon eller kontoen er midlertidig stengt."
"Password confirmation doesn't match entered password.","Passordbekreftelsen, samsvarer ikke med angitt passord."
"The password doesn't match this account.","Passordet samsvarer ikke med denne kontoen."
"Please correct the email address.","Korriger e-postadressen."
"We're unable to send the password reset email.","Vi fikk ikke sendt deg e-post for tilbakestilling av passord."
"Please enter your email.","Angi din e-post adresse."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis det er en konto knyttet til %1 vil du motta en e-post med en link for å tilbakestille passordet."
"My Account","Min konto"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Denne kontoen er ikke bekreftet. <a href=""%1""> Klikk her</a> for å få resendt e-postbekreftelsen."
"An unspecified error occurred. Please contact us for assistance.","Det oppstod en uspesifisert feil. Kontakt oss for hjelp."
"A login and a password are required.","Et brukernavn og et passord er nødvendig."
"New Password and Confirm New Password values didn't match.","Nye passordet og bekreftelsespassordet samsvarer ikke."
"Please enter a new password.","Skriv inn et nytt passord."
"You updated your password.","Du har oppdatert passordet."
"Something went wrong while saving the new password.","Noe gikk galt under lagring av det nye passordet."
"You deleted the address.","Adressen er slettet."
"We can't delete the address right now.","We can't delete the address right now."
"You saved the address.","Adressen er lagret."
"We can't save the address.","We can't save the address."
"No customer ID defined.","Ingen kunde-ID definert."
"Please correct the quote items and try again.","Endre tilbud elementene, og prøv igjen."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Noe gikk galt mens filen skulle lagres."
"You deleted the customer group.","Du slettet kundegruppen."
"The customer group no longer exists.","Kundegruppen finnes ikke lenger."
"Customers","Kunder"
"New Group","Ny gruppe"
"New Customer Groups","Ny kundegruppe"
"Edit Group","Endre gruppe"
"Edit Customer Groups","Redigere kundegrupper"
"You saved the customer group.","Du lagret kundegruppen."
"Please select customer(s).","Velg kunde/kunder."
"Customer could not be deleted.","Kunden kunne ikke slettes."
"You deleted the customer.","Du slettet kunden."
"Something went wrong while editing the customer.","Noe gikk galt når du redigerte kunden."
"Manage Customers","Administrer kunder"
"Please correct the data sent.","Korriger dataene som sendes."
"A total of %1 record(s) were updated.","Totalt %1 post(er) ble oppdatert."
"A total of %1 record(s) were deleted.","Totalt %1 post(er) ble slettet."
"The customer will receive an email with a link to reset password.","Kunden vil motta en epost med en link for å tilbakestille passordet."
"Something went wrong while resetting customer password.","Noe gikk galt under gjenoppretting av kundepassord."
"You saved the customer.","Du lagret kunden."
"Something went wrong while saving the customer.","Noe gikk galt når under lagring av kunden."
"Page not found.","Siden finnes ikke."
"Customer has been unlocked successfully.","Kunden har blitt aktivert."
"Online Customers","Kunder pålogget nå"
"Customers Now Online","Kunder pålogget nå"
"Please define Wish List item ID.","Definer ønskeliste element-ID."
"Please load Wish List item.","Vennligst Last ønskeliste element."
"Login successful.","Innlogging vellykket."
"Invalid login or password.","Ugyldig pålogging eller passord."
"""%1"" section source is not supported","""%1"" delen av kilde støttes ikke"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Ingen bekreftelse nødvendig."
"Account already active","Konto allerede aktiv"
"Invalid confirmation token","Ugyldig bekreftelses token"
"The account is locked.","Denne kontoen er låst."
"This account is not confirmed.","Denne kontoen er ikke bekreftet."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Skriv inn et passord med maks %1 tegn."
"Please enter a password with at least %1 characters.","Skriv inn et passord med maks %1 tegn."
"The password can't begin or end with a space.","Passordet kan ikke begynne eller slutte med et mellomrom."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum forskjellige klasser av tegn i passord er %1. Klasser av tegn: små bokstaver, store bokstaver, sifre, spesialtegn."
"Password cannot be the same as email address.","Passord kan ikke være det samme som e-postadresse."
"This customer already exists in this store.","Denne kunden finnes allerede i denne butikken."
"A customer with the same email already exists in an associated website.","Det finnes allerede en kunde med denne e-postadressen i en tilknyttet webside."
"Invalid value of ""%value"" provided for the %fieldName field.","Ugyldig verdi for ""% verdi"" gitt for feltet %fieldName."
"%fieldName is a required field.","%fieldName er et obligatorisk."
"Reset password token mismatch.","Tilbakestill passord token feil."
"Reset password token expired.","Tilbakestill passord token utløpt."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" er en påkrevd verdi."
"Global","Global"
"Per Website","Per nettside"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Faktureringsadresse"
"Shipping Address","Leveringsadresse"
"-- Please Select --","-Vennligst velg--"
"Please enter a valid password reset token.","Skriv inn et gyldig passord for å gjenopprette token."
"The password can not begin or end with a space.","Passordet kan ikke begynne eller slutte med et mellomrom."
"Admin","Admin"
"ALL GROUPS","ALLE GRUPPER"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Ingen slik enhet med %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Filen kan ikke lagres til angitt mappe."
"Unable to create directory %1.","Kan ikke opprette katalogen %1."
"Destination folder is not writable or does not exists.","Målmappen er ikke skrivbar eller finnes ikke."
"Something went wrong while saving the file.","Noe gikk galt mens filen skulle lagres."
"Attribute object is undefined","Attributtet er udefinert"
"""%1"" invalid type entered.","""%1"" ugyldig type angitt."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" inneholder ikke-alfabetiske eller ikke-numeriske tegn."
"""%1"" is an empty string.","""%1"" er en tom string."
"""%1"" contains non-numeric characters.","""%1"" inneholder ikke-numeriske tegn."
