"Sign Out","تسجيل الخروج"
"Sign In","تسجيل الدخول"
"You are subscribed to our newsletter.","أنت حاليا مشترك في نشرتنا البريدية."
"You aren't subscribed to our newsletter.","أنت حاليا غير مشترك في نشرتنا البريدية."
"You have not set a default shipping address.","لم تقم بتعيين عنوان افتراضي للشحن."
"You have not set a default billing address.","لم تقم بتعيين عنوان دفع افتراضي."
"Address Book","سجل العناوين"
"Edit Address","تعديل العنوان"
"Add New Address","أضف عنوان جديد"
"region","المنطقة"
"Create Order","إنشاء طلب"
"Save Customer","حفظ عميل"
"Delete Customer","حذف عميل"
"Reset Password","إعادة تعيين كلمة المرور"
"Are you sure you want to revoke the customer's tokens?","هل أنت متأكد من أنك تريد إلغاء الرموز المميزة العميل؟"
"Force Sign-In","تسجيل الدخول فوري"
"New Customer","عميل جديد"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Back","رجوع"
"Please select","أختر من فضلك"
"Reset","اعادة ضبط"
"ID","التعريف"
"Product","المنتج"
"SKU","رمز المنتج"
"Quantity","الكمية"
"Price","السعر"
"Total","إجمالي"
"Action","إجراء"
"Configure","ضبط"
"Delete","احذف"
"Shopping Cart from %1","سلة التسوق من %1"
"Newsletter","القائمة البريدية"
"Newsletter Information","معلومات القائمة البريدية"
"Subscribed to Newsletter","اشتركت في القائمة البريدية"
"Last Date Subscribed","اخر تاريخ للاشتراك"
"Last Date Unsubscribed","اخر تاريخ لالغاء الاشتراك"
"No Newsletter Found","لا يوجد قائمة بريدية"
"Start date","تاريخ البدء"
"End Date","تاريخ الانتهاء"
"Receive Date","تاريخ الاستقبال"
"Subject","العنوان"
"Status","الحاله"
"Sent","تم الإرسال"
"Cancel","إلغاء"
"Not Sent","غير مرسلة"
"Sending","جاري الارسال"
"Paused","توقف مؤقت"
"View","عرض"
"Unknown","غير معروف"
"Order","Order"
"Purchased","تم الشراء"
"Bill-to Name","فاتورة باسم"
"Ship-to Name","شحن باسم"
"Order Total","إجمالي الطلب"
"Purchase Point","تكلفة الشراء"
"Customer View","عرض العملاء"
"There are no items in customer's shopping cart.","لا توجد أي عناصر في عربة التسوق الخاص بالزبون."
"Qty","الكميّة"
"Confirmed","تم التأكيد"
"Confirmation Required","مطلوب التاكيد"
"Confirmation Not Required","غير مطلوب التاكيد"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","العميل ليس لديه عنوان دفع افتراضي."
"Offline","غير متصل"
"Online","متصل"
"Never","مطلقاً"
"Unlocked","مفتوح"
"Locked","مجمد"
"Deleted Stores","المتاجر المحذوفة"
"Add Locale","إضافة لغة"
"Add Date","إضافة التاريخ"
"Days in Wish List","الأيام في قائمة الأمنيات"
"Unlock","إلغاء القفل"
"No","لا"
"Yes","نعم"
"Delete File","حذف ملف"
"Download","تحميل"
"Delete Image","حذف الصورة"
"View Full Size","عرض الحجم الكامل"
"All countries","جميع الدول"
"Customer Groups","مجموعات العملاء"
"Add New Customer Group","إضافة مجموعة جديدة من العملاء"
"Save Customer Group","حفظ مجموعة عملاء"
"Delete Customer Group","حذف مجموعة عملاء"
"New Customer Group","مجموعة عميل جديدة"
"Edit Customer Group ""%1""","تعديل مجموعة العملاء ""%1"""
"Group Information","بيانات المجموعة"
"Group Name","اسم المجموعة"
"Maximum length must be less then %1 characters.","يجب أن يكون الحد الأقصى للطول أقل من %1 حرف."
"Tax Class","الشريحة الضريبة"
"The customer is now assigned to Customer Group %s.","تم إسناد هذا العميل لمجموعة العميل %s."
"Would you like to change the Customer Group for this order?","هل تريد تغيير مجموعة العميل لهذا الطلب؟"
"The VAT ID is valid.","رقم ضريبة القيمة المضافة (VAT) صحيح."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","استناداً إلى ""معرف الضريبة على القيمة المضافة""، '' العميل سينتمي إلى مجموعة العملاء %s."
"Something went wrong while validating the VAT ID.","حدث خطأ أثناء تاكيد رقم ضريبة القيمة المضافة VAT."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","التحقق من صحة رقم ضريبة القيمة المضافة"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","تاريخ الميلاد"
"Bad request.","طلب غير صحيح."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","إذا كنت أحد العملاء المسجلين في ضريبة القيمة المضافة، الرجاء انقر <a href=""%1""> هنا</a> لإدخال عنوان الشحن الخاص بك لحساب الضريبة المناسبة على القيمة المضافة."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","إذا كنت أحد العملاء المسجلين في ضريبة القيمة المضافة، الرجاء انقر <a href=""%1""> هنا</a> لإدخال عنوان الفوترة الخاص بك لحساب الضريبة المناسبة على القيمة المضافة."
"Thank you for registering with %1.","شكرا لك للتسجيل في %1."
"Please check your email for confirmation key.","الرجاء التحقق من بريدك الإلكتروني للحصول علي رمز التاكيد."
"This email does not require confirmation.","This email does not require confirmation."
"Wrong email.","بريد إلكتروني خاطئ."
"Your password reset link has expired.","انتهت مدة صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","يجب عليك تأكد حسابك. الرجاء مراجعة بريدك الإلكتروني واتبع التعليمات أو <a href=""%1""> انقر هنا</a> لاعادة ارسالة رسالة التاكيد."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","هناك بالفعل حساب مع عنوان البريد الإلكتروني هذا. إذا كنت متأكداً من أن ذلك هو عنوان البريد الإلكتروني الخاص بك، <a href=""%1""> انقر هنا</a> للحصول على كلمة المرور والوصول إلى الحساب الخاص بك."
"We can't save the customer.","لا يمكننا حفظ العميل."
"Please make sure your passwords match.","رجاء تاكد من ان الرقم السري يتطابق."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Account Information","معلومات الحساب"
"You saved the account information.","قمت بحفظ بيانات الحساب."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","حقل تأكيد كلمة المرور لم يطابق حقل كلمة المرور."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","نحن غير قادرين على إرسال إعادة تعيين كلمة المرور البريد الإلكتروني."
"Please enter your email.","الرجاء ادخال بريدك الالكتروني."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","إذا كان هناك حساب مربوط بـ %1 سوف تتلقى رسالة بريد إلكتروني مع رابط لإعادة تعيين كلمة المرور الخاصة بك."
"My Account","حسابي"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","لم يتم تأكيد هذا الحساب. <a href=""%1""> انقر هنا</a> لإرسال تأكيد بالبريد الإلكتروني."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","تسجيل الدخول وكلمة المرور مطلوبين."
"New Password and Confirm New Password values didn't match.","حقل تأكيد كلمة المرور و حقل كلمة المرور غير متطابقان."
"Please enter a new password.","الرجاء إدخال كلمة مرور جديدة."
"You updated your password.","تم تغيير كلمة المرور."
"Something went wrong while saving the new password.","حدث خطأ أثناء حفظ كلمة المرور الجديدة."
"You deleted the address.","لقد حذفت العنوان."
"We can't delete the address right now.","نحن لا يمكننا حذف العنوان الآن."
"You saved the address.","تم حفظت العنوان بنجاح."
"We can't save the address.","نحن لا يمكننا حفظ العنوان."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","تم إبطال الرموز المميزة للعميل."
"We can't find a customer to revoke.","لا يمكن أن نجد أحد العملاء لإلغائه."
"Something went wrong while saving file.","حدث خطأ ما أثناء حفظ الملف."
"You deleted the customer group.","لقد حذفت مجوعة العميل."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","العملاء"
"New Group","مجموعة جديدة"
"New Customer Groups","مجموعات العملاء الجديدة"
"Edit Group","تعديل مجموعة"
"Edit Customer Groups","تعديل مجموعات العملاء"
"You saved the customer group.","لقد حفظت مجوعة العميل."
"Please select customer(s).","من فضلك اختر عميلا/عملاء."
"Customer could not be deleted.","Customer could not be deleted."
"You deleted the customer.","لقد حذفت العميل."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
"Manage Customers","إدارة العملاء"
"Please correct the data sent.","الرجاء تصحيح البيانات التي تم إرسالها."
"A total of %1 record(s) were updated.","عدد %1 سجلات تم تحديثها."
"A total of %1 record(s) were deleted.","تم حذف %1 من السجلات."
"The customer will receive an email with a link to reset password.","العميل سوف يتلقى رسالة بريد إلكتروني مع رابط لإعادة تعيين كلمة المرور."
"Something went wrong while resetting customer password.","حدث خطأ أثناء إعادة كلمة المرور."
"You saved the customer.","تم حفظ العميل."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","لم يتم العثور على الصفحة."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","مستخدمين متصلين"
"Customers Now Online","العملاء المتواجدون الآن"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","الرجاء تحميل عنصر قائمة الأمنيات."
"Login successful.","تسجيل تسجيل الدخول بنجاح."
"Invalid login or password.","البريد الإلكتروني أو كلمة المرور غير صحيحة."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","لاتمتد %1 \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","تم اقفال هذا الحساب."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","يرجى ادخال كلمة المرور بحد اقصى %1 خانة."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","الحد الأدنى من الفئات المختلفة من الرموز و الأحرف هو %1 الفئات هي: حروف صغيرة, حروف كبيرة, ارقام, رموز."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" is a required value."
"Global","عالمي"
"Per Website","لكل موقع"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","لا نشارك حسابات العملاء على الصعيد العالمي عندما تكون الحسابات تتطابق في عناوين البريد الإلكتروني في أكثر من موقع على شبكة الإنترنت."
"Billing Address","عنوان الفاتورة"
"Shipping Address","عنوان الشحن"
"-- Please Select --","--الرجاء الاختيار-"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","المدير"
"ALL GROUPS","جميع المجموعات"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","لا يمكن حفظ الملف إلى المجلد الوجهة."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" فارغة."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","'%1' ليس عنوان بريد إلكتروني صحيحا."
"""%1"" is not a valid hostname.","""%1"" ليس هوست صحيح."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" ليس رابطًا صحيحاً."
"""%1"" is not a valid date.","""%1"" ليس تاريخ صحيح."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","الرجاء إدخال تاريخ صالح بين %1 و %2 في %3."
"Please enter a valid date equal to or greater than %1 at %2.","الرجاء إدخال تاريخ صحيح يساوي أو أكبر من %1 في %2."
