"Sign Out","Déconnexion"
"Sign In","Se connecter"
"You are subscribed to our newsletter.","Vous êtes abonné à notre newsletter."
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"Address Book","Carnet d'adresses"
"Edit Address","Éditer l'adresse"
"Add New Address","Ajouter une adresse"
"region","région"
"Create Order","Créer une commande"
"Save Customer","Sauvegarder le client"
"Delete Customer","Supprimer le client"
"Reset Password","Réinitialiser le mot de passe"
"Are you sure you want to revoke the customer's tokens?","Êtes-vous sûr de vouloir révoquer les jetons du client ?"
"Force Sign-In","Forcer la création de compte"
"New Customer","Nouveau client"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Back","Retour"
"Please select","Sélectionnez"
"Reset","Réinitialiser"
"ID","Identifiant"
"Product","Produit"
"SKU","REF"
"Quantity","Quantité"
"Price","Prix"
"Total","Total"
"Action","Action"
"Configure","Configurer"
"Delete","Supprimer"
"Shopping Cart from %1","Panier d'achat de %1"
"Newsletter","Newsletter"
"Newsletter Information","Informations newsletter"
"Subscribed to Newsletter","Abonné à la newsletter"
"Last Date Subscribed","Date de dernière inscription"
"Last Date Unsubscribed","Date de dernière désinscription"
"No Newsletter Found","Pas de newsletter"
"Start date","Date de début "
"End Date","Date de fin"
"Receive Date","Date de réception"
"Subject","Sujet"
"Status","Statut"
"Sent","Envoyé"
"Cancel","Annuler"
"Not Sent","Pas envoyé"
"Sending","Envoi en cours"
"Paused","En pause"
"View","Voir"
"Unknown","Inconnu"
"Order","Commande"
"Purchased","Acheté"
"Bill-to Name","Nom (Fact.)"
"Ship-to Name","Nom (Livr.)"
"Order Total","Total de la commande"
"Purchase Point","Point de vente"
"Customer View","Vue client"
"There are no items in customer's shopping cart.","Il n’y a aucun élément dans le panier d’achat du client."
"Qty","Qté"
"Confirmed","Confirmé"
"Confirmation Required","Confirmation requise"
"Confirmation Not Required","Confirmation pas nécessaire"
"Indeterminate","Indéterminé"
"The customer does not have default billing address.","Le client n'a pas d'adresse de facturation par défaut."
"Offline","Déconnecté"
"Online","En ligne"
"Never","Jamais"
"Unlocked","Déverrouillé"
"Locked","Verrouillé"
"Deleted Stores","Magasins effacés"
"Add Locale","Ajouter des paramètres régionaux"
"Add Date","Ajouter une date"
"Days in Wish List","Jours dans la liste d'achats"
"Unlock","Déverrouiller"
"No","Non"
"Yes","Oui"
"Delete File","Supprimer le fichier"
"Download","Télécharger"
"Delete Image","Effacer l'image"
"View Full Size","Voir en pleine taille"
"All countries","Tous les pays"
"Customer Groups","Groupes clients"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Save Customer Group","Sauvegarder le groupe clients"
"Delete Customer Group","Supprimer le groupe de clients"
"New Customer Group","Nouveau groupe de clients"
"Edit Customer Group ""%1""","Éditer le groupe clients ""%1"""
"Group Information","Informations du groupe"
"Group Name","Nom du groupe"
"Maximum length must be less then %1 characters.","Longueur maximale doit être moins de %1 caractères."
"Tax Class","Classe de TVA"
"The customer is now assigned to Customer Group %s.","Le client est maintenant affecté à Groupe de clients %s."
"Would you like to change the Customer Group for this order?","Souhaitez-vous changer de groupe client pour cette commande ?"
"The VAT ID is valid.","Le numéro de TVA est valide."
"The VAT ID entered (%s) is not a valid VAT ID.","Le numéro de TVA saisi (%s) n'est pas un numéro de TVA valide."
"The VAT ID is valid. The current Customer Group will be used.","Le numéro de TVA est valide. Le groupe client en cours sera utilisé."
"The VAT ID is valid but no Customer Group is assigned for it.","Le numéro de TVA est valide mais aucun groupe de clients n'est assigné pour lui."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Basé sur l'identifiant de TVA, le client appartient au groupe de clients %s."
"Something went wrong while validating the VAT ID.","Une erreur s'est produite lors de la validation du numéro de TVA."
"The customer would belong to Customer Group %s.","Le client appartiendrait au groupe de clients %s."
"There was an error detecting Customer Group.","Une erreur s'est produite lors de la détection du groupe de clients."
"Validate VAT Number","Valider le numéro de TVA"
"Customer Login","Identifiant client"
"Create New Customer Account","Créer un nouveau compte client"
"Date of Birth","Date de naissance"
"Bad request.","Mauvaise requête."
"This confirmation key is invalid or has expired.","Cette clé de confirmation est invalide ou a expiré."
"There was an error confirming the account","Une erreur s'est produite lors de la confirmation du compte"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si vous êtes un client avec TVA enregistrée, merci de <a href=""%1"">cliquer ici</a> pour entrer votre adresse de livraison pour le calcul de la TVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Toi vous êtes un client de TVA enregistré, Cliquez s'il vous plait <a href=""%1"">ici</a> pour entrer votre adresse de facturation pour un calcul de TVA correct."
"Thank you for registering with %1.","Merci de vous être enregistré avec %1."
"Please check your email for confirmation key.","Merci de vérifier votre email pour la procédure de confirmation."
"This email does not require confirmation.","Cet email ne nécessite pas de confirmation."
"Wrong email.","Email erroné."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte. Veuillez vérifier votre email pour le lien de confirmation ou <a href=""%1"">cliquez ici</a> pour un nouveau lien."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il existe déjà un compte avec cette adresse email. Si vous êtes sûr que c'est votre adresse email, <a href=""%1"">cliquez ici</a> pour obtenir votre mot de passe et accédez à votre compte."
"We can't save the customer.","Nous ne pouvons pas enregistrer le client."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si vous êtes un client avec TVA enregistrée, merci de <a href=""%1"">cliquez ici</a> pour entrer votre adresse de livraison pour le calcul de la TVA."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si vous êtes un client avec TVA enregistrée, merci de <a href=""%1"">cliquez ici</a> pour entrer votre adresse de facturation pour le calcul de la TVA."
"Account Information","Informations du compte"
"You saved the account information.","Vous avez sauvegardé les informations du compte."
"You did not sign in correctly or your account is temporarily disabled.","Erreur dans les paramètres de connexion ou votre compte est temporairement désactivé."
"Password confirmation doesn't match entered password.","Confirmation de mot de passe ne correspond pas au mot de passe entré."
"The password doesn't match this account.","Le mot de passe ne correspond pas avec ce compte."
"Please correct the email address.","S'il vous plaît corriger l'adresse e-mail."
"We're unable to send the password reset email.","Nous sommes incapables d’envoyer que le mot de passe réinitialisé par courriel."
"Please enter your email.","Saisissez votre email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S'il y a un compte associé à %1 vous recevrez un email avec un lien pour réinitialiser votre mot de passe."
"My Account","Mon compte"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%1"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"An unspecified error occurred. Please contact us for assistance.","Une erreur non spécifiée s'est produite. S'il vous plaît contactez-nous pour de l'aide."
"A login and a password are required.","Login et mot de passe sont requis."
"New Password and Confirm New Password values didn't match.","Les valeurs du nouveau mot de passe et de la confirmation ne correspondent pas."
"Please enter a new password.","Veuillez entrer un nouveau mot de passe."
"You updated your password.","Vous avez mis à jour votre mot de passe."
"Something went wrong while saving the new password.","Une erreur s'est produite durant l'enregistrement du nouveau mot de passe."
"You deleted the address.","Vous avez supprimé l'adresse."
"We can't delete the address right now.","Nous ne pouvons pas supprimer l'adresse pour le moment."
"You saved the address.","Vous avez enregistré l'adresse."
"We can't save the address.","Nous ne pouvons pas enregistrer l'adresse."
"No customer ID defined.","Aucun ID client défini."
"Please correct the quote items and try again.","Corrigez l'élément de citation et réessayez."
"You have revoked the customer's tokens.","Vous avez révoqué les jetons du client."
"We can't find a customer to revoke.","Nous ne pouvons pas trouver un client à révoquer."
"Something went wrong while saving file.","Une erreur s'est produite lors de l'enregistrement du fichier."
"You deleted the customer group.","Vous avez supprimé un groupe de clients."
"The customer group no longer exists.","Le groupe de clients n'existe plus."
"Customers","Clients"
"New Group","Nouveau groupe"
"New Customer Groups","Nouveaux groupes de clients"
"Edit Group","Éditer le groupe"
"Edit Customer Groups","Éditer les groupes de client"
"You saved the customer group.","Vous avez enregistré un groupe de clients."
"Please select customer(s).","Sélectionnez au moins un client"
