"Sign Out","Kijelentkezés"
"Sign In","Bejelentkezés"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"You have not set a default shipping address.","Nem állított be alapértelmezett szállítási címet."
"You have not set a default billing address.","Nem állított be alapértelmezett számlázási címet."
"Address Book","Címjegyzék"
"Edit Address","Cím szerkesztése"
"Add New Address","Új cím hozzáadása"
"region","régió"
"Create Order","Rendelés létrehozása"
"Save Customer","Vásárló mentése"
"Delete Customer","Vásárló törlése"
"Reset Password","Jelszó visszaállítása"
"Are you sure you want to revoke the customer's tokens?","Biztos benne, hogy a vissza akarja vonni a vevő tokenjeit?"
"Force Sign-In","Bejelentkezés kényszerítése"
"New Customer","Új vásárló"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Back","Vissza"
"Please select","Kérem válasszon"
"Reset","Alaphelyzet"
"ID","Azonosító"
"Product","Termék"
"SKU","Cikkszám"
"Quantity","Mennyiség"
"Price","Ár"
"Total","Összesen"
"Action","Akció"
"Configure","Konfigurálás"
"Delete","Törlés"
"Shopping Cart from %1","Kosár %1"
"Newsletter","Hírlevél"
"Newsletter Information","Hírlevél információk"
"Subscribed to Newsletter","Feliratkozott a hírlevélre"
"Last Date Subscribed","Utolsó feliratkozás dátuma"
"Last Date Unsubscribed","Utolsó leiratkozás dátuma"
"No Newsletter Found","Nem található hírlevél"
"Start date","Kezdő dátum"
"End Date","Záró dátum"
"Receive Date","Fogadási dátum"
"Subject","Tárgy"
"Status","Állapot"
"Sent","Elküldve"
"Cancel","Mégse"
"Not Sent","Nincs elküldve"
"Sending","Küldés"
"Paused","Szüneteltetve"
"View","Megnéz"
"Unknown","Ismeretlen"
"Order","Order"
"Purchased","Megvásárolva"
"Bill-to Name","Számlázási név"
"Ship-to Name","Szállítási név"
"Order Total","Rendelés végösszege"
"Purchase Point","Vásárlási pont"
"Customer View","Vevő nézet"
"There are no items in customer's shopping cart.","A vevő bevásárlókosara üres."
"Qty","Mennyiség"
"Confirmed","Megerősítve"
"Confirmation Required","Megerősítés szükséges"
"Confirmation Not Required","Megerősítés nem szükséges"
"Indeterminate","Meghatározatlan"
"The customer does not have default billing address.","Az ügyfél nem rendelkezik alapértelmezett számlázási címmel."
"Offline","Nem elérhető"
"Online","Elérhető"
"Never","Soha"
"Unlocked","Feloldva"
"Locked","Zárolt"
"Deleted Stores","Törölt üzletek"
"Add Locale","Hely hozzáadása"
"Add Date","Dátum hozzáadása"
"Days in Wish List","Napja a kívánságlistán"
"Unlock","Feloldás"
"No","Nem "
"Yes","Igen"
"Delete File","Fájl törlése"
"Download","Letöltés"
"Delete Image","Kép törlése"
"View Full Size","Teljes méret"
"All countries","Összes ország"
"Customer Groups","Vevői csoportok"
"Add New Customer Group","Új vevői csoport hozzáadása"
"Save Customer Group","Vevői csoport mentése"
"Delete Customer Group","Vevőcsoport törlése"
"New Customer Group","Új vevői csoport"
"Edit Customer Group ""%1""","""%1"" vevőcsoport szerkesztése"
"Group Information","Csoport információ"
"Group Name","Csoport neve"
"Maximum length must be less then %1 characters.","A Maximális hossz legfeljebb %1 karakter lehet."
"Tax Class","Adó osztály"
"The customer is now assigned to Customer Group %s.","%s vásárlói csoporthoz a vásárló hozzá lett rendelve."
"Would you like to change the Customer Group for this order?","Megváltoztatja a vásárlói csoportot ennél a rendelésnél?"
"The VAT ID is valid.","Az adószám érvényes."
"The VAT ID entered (%s) is not a valid VAT ID.","A megadott adószám (%s) nem érvényes."
"The VAT ID is valid. The current Customer Group will be used.","Az adóazonosító érvényes. A jelenlegi vásárlói csoport lesz használva."
"The VAT ID is valid but no Customer Group is assigned for it.","Az adóazonosító érvényes, de nincs vásárlói csoport kijelölve hozzá."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Az adóazonosító alapján, a vásárló a következő vásárlói csoportba tartozik: %s."
"Something went wrong while validating the VAT ID.","Hiba történt az adóazonosító érvényesítése során."
"The customer would belong to Customer Group %s.","%s vásárlói csoportba tartozik a vásárló."
"There was an error detecting Customer Group.","Hiba a vásárlói csoportban."
"Validate VAT Number","Adószám ellenőrzése"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Születési dátum"
"Bad request.","Hibás kérés."
"This confirmation key is invalid or has expired.","Az ellenőrző kulcs érvénytelen vagy lejárt."
"There was an error confirming the account","Hiba történt a fiók érvényesítése során"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a szállítási címet az adó kiszámításához!"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a számlázási címet az adó kiszámításához!"
"Thank you for registering with %1.","A %1 elfogadta a regisztrációt. Köszönjük."
"Please check your email for confirmation key.","Kérem ellenőrizze email fiókját a megerősítő kulcsért."
"This email does not require confirmation.","Ez az email nem igényel megerősítést."
"Wrong email.","Hibás email cím."
"Your password reset link has expired.","Az új jelszó link érvényessége lejárt."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Erősítse regisztrációját. Kérjük, ellenőrizze email fiókját és kattintson a visszaigazoló linkre, vagy <a href=""%1""> kattintson ide</a> egy új link létrehozásához."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Már van egy felhasználói fiók ezzel az email címmel. Ha biztos benne, hogy ez az Ön email címe, <a href=""%1"">kattintson ide</a> Hogy megkapja a jelszavát, és hozzáférjen fiókjához."
"We can't save the customer.","Nem tudjuk menteni a vevőt."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a szállítási címet az adó kiszámításához!"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Ha regisztrált adóalany, <a href=""%1"">kattintson ide</a>, hogy megadja a számlázási címet az adó kiszámításához!"
"Account Information","Fiókadatok"
"You saved the account information.","A fiók információk elmentve."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","A jelszó megerősítésének és a jelszónak meg kell egyeznie!"
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Nem tudunk jelszó módosító levelet küldeni."
"Please enter your email.","Adja meg az email címét."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ha a megadott email címhez (%1) tartozik felhasználó, akkor kapni fog egy emailt, amellyel visszaállíthatja a jelszavát."
"My Account","Saját fiók"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","A fiók nem megerősített. Az email újraküldéséhez <a href=""%1"">kattintson ide</a>."
"An unspecified error occurred. Please contact us for assistance.","Ismeretlen hiba történt. Segítségért kérjük, lépjen kapcsolatba velünk."
"A login and a password are required.","Azonosító és jelszó megadása szükséges."
"New Password and Confirm New Password values didn't match.","Az új jelszó és a jelszó megerősítése nem egyezik."
"Please enter a new password.","Adjon meg egy új jelszót."
"You updated your password.","Frissítette a jelszót."
"Something went wrong while saving the new password.","Hiba történt az új jelszó mentésekor."
"You deleted the address.","Törölte a címet."
"We can't delete the address right now.","Jelenleg nem tudjuk törölni a címet."
"You saved the address.","Mentette a címet."
"We can't save the address.","Nem tudjuk menteni a címet."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Visszavonta a vevő tokenjeit."
"We can't find a customer to revoke.","Nem találtuk a vevőt a visszavonáshoz."
"Something went wrong while saving file.","Nem sikerült a fájl mentése."
"You deleted the customer group.","Vevőcsoport törölve."
"The customer group no longer exists.","A vevőcsoport már nem létezik."
"Customers","Vásárlók"
"New Group","Új csoport"
"New Customer Groups","Új vevői csoport"
"Edit Group","Csoport szerkesztése"
"Edit Customer Groups","Vevői csoportok szerkesztése"
"You saved the customer group.","Vevői csoport elmentve."
"Please select customer(s).","Kérjük, válassza ki a vevőket."
"Customer could not be deleted.","Vevő nem törölhető."
"You deleted the customer.","Vevő törölve."
"Something went wrong while editing the customer.","Hiba történt a vásárló szerkesztése közben."
"Manage Customers","Vevők kezelése"
"Please correct the data sent.","Kérjük, javítsa a továbbított adatokat."
"A total of %1 record(s) were updated.","Összesen %1 sor frissítve."
"A total of %1 record(s) were deleted.","Összesen %1 sor törölve."
"The customer will receive an email with a link to reset password.","A jelszó megváltoztatásához a vevő kapni fog egy emailt egy linkkel."
"Something went wrong while resetting customer password.","Hiba történt a vevő jelszavának visszaállításakor."
"You saved the customer.","Vásárló elmentve."
"Something went wrong while saving the customer.","Hiba történt a vásárló mentése közben."
"Page not found.","Az oldal nem található."
"Customer has been unlocked successfully.","Vevő sikeresen feloldva."
"Online Customers","Online vásárlók"
"Customers Now Online","Jelenleg bejelentkezett vevők"
"Please define Wish List item ID.","Adja meg a kívánságlista elemének azonosítóját."
"Please load Wish List item.","Kérjük, töltse be a kívánságlista elemet."
"Login successful.","Sikeres bejelentkezés."
"Invalid login or password.","Érvénytelen email cím vagy jelszó."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nem a \Magento\Customer\CustomerData\SectionSourceInterface kiterjesztése"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","A fiók zárolva."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Adjon meg egy jelszót, a legtöbb %1 karakterekkel."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","A jelszóban szereplő karakter típusok száma minimum %1. Karakter osztályok: kisbetű, nagybetű, szám, speciális karakter."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Ez a vevő már létezik ebben a boltban."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","A ""%value"" érvénytelen érték a %fieldName mezőben."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Jelszó törlő token-érték lejárt."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" egy szükséges érték."
"Global","Globális"
"Per Website","Weboldalanként"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Nem tudjuk megosztani vevő azonosítókat globálisan ha az e-mail címek megegyeznek több weblapon."
"Billing Address","Számlázási cím"
"Shipping Address","Szállítási cím"
"-- Please Select --","-- Kérem válasszon --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Adminisztrátor"
"ALL GROUPS","MINDEN CSOPORT"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nincs ilyen entitás %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","A fájl nem menthető a célmappába."
"Unable to create directory %1.","A(z) %1 könyvtár nem hozható létre."
"Destination folder is not writable or does not exists.","A célmappa nem írható vagy nem létezik."
"Something went wrong while saving the file.","Nem sikerült a fájl mentése."
"Attribute object is undefined","Jellemző objektum nincs definiálva"
"""%1"" invalid type entered.","A megadott ""%1"" típus érvénytelen."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" nem alfabetikus vagy nem numerikus karaktereket tartalmaz."
"""%1"" is an empty string.","""%1"" egy üres karakterlánc."
"""%1"" contains non-numeric characters.","""%1"" nem numerikus karaktereket tartalmaz."
"""%1"" contains non-alphabetic characters.","""%1"" a nem alfabetikus karaktereket tartalmaz."
"""%1"" is not a valid email address.","""%1"" nem egy érvényes email cím."
"""%1"" is not a valid hostname.","""%1"" nem érvényes host név."
"""%1"" uses too many characters.","""%1"" túl sok karaktert használ."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" úgy néz ki, mint egy IP-cím, amely nem egy elfogadható formátum."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" úgy néz ki mint egy DNS-állomásnév, de tartalmaz egy kötőjelet érvénytelen helyzetben."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" úgy néz ki, mint egy DNS-állomásnév, de nem egyezik meg a ""%tld%"" TLD hostnév sémával."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" úgy néz ki mint egy DNS-állomásnév, de nem nyerhető ki a TLD rész."
"'%value%' does not look like a valid local network name.","""%value%"" nem úgy néz ki mint egy érvényes helyi hálózati név."
"'%value%' looks like a local network name, which is not an acceptable format.","""%value%"" úgy néz ki, mint egy helyi hálózati név, de a formátuma nem elfogadható."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' úgy jelenik meg mint egy DNS host-név, de a megadott punnycode jelölést nem lehet kikódolni."
"""%1"" is not a valid URL.","""%1"" nem egy érvényes URL."
"""%1"" is not a valid date.","""%1"" nem egy érvényes dátum."
"""%1"" does not fit the entered date format.","""%1"" nem a megadott dátum formátumban van."
"Please enter a valid date between %1 and %2 at %3.","Adjon meg egy dátumot %1 és %2 között a %3-nál (-nél)."
"Please enter a valid date equal to or greater than %1 at %2.","Adjon meg egy dátumot, ami nagyobb vagy egyenlő, mint %1 a %2-nál (-nél)."
"Please enter a valid date less than or equal to %1 at %2.","Adjon meg egy dátumot, ami kisebb mint %1 a %2-nál (-nél)."
"""%1"" is not a valid file extension.","""%1"" nem egy érvényes fájlkiterjesztés."
"""%1"" is not a valid file.","""%1"" nem egy érvényes fájl."
"""%1"" exceeds the allowed file size.","""%1"" meghaladja a megengedett fájlméretet."
"""%1"" is not a valid image format.","""%1"" nem egy érvényes képformátum."
"""%1"" width exceeds allowed value of %2 px.","""%1"" szélessége meghaladja az engedélyezett méretet (%2 px)."
"""%1"" height exceeds allowed value of %2 px.","""%1"" magassága meghaladja az engedélyezett méretet (%2 px)."
"""%1"" length must be equal or greater than %2 characters.","""%1"" hossza egyenlő vagy több mint %2 karakter kell legyen."
"""%1"" length must be equal or less than %2 characters.","""%1"" hossza egyenlő vagy kevesebb mint %2 karakter kell legyen."
"label","címke"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Vásárlói csoport"
"You can't delete group ""%1"".","Nem törölheti a ""%1"" csoportot."
"Customer Group already exists.","A vevőcsoport már létezik."
"Cannot delete group.","A csoport nem törölhető."
"Error during VAT Number verification.","Hiba történt az adószám ellenőrzésekor."
"PHP SOAP extension is required.","PHP SOAP kiterjesztés szükséges."
"VAT Number is valid.","Érvényes adószám."
"Please enter a valid VAT number.","Adjon meg egy érvényes adószámot."
"Your VAT ID was successfully validated.","Az adószám sikeresen ellenőrizve."
"You will be charged tax.","Önnek az ÁFA-val növelt árat kell fizetnie."
"You will not be charged tax.","Önnek nem kell ÁFA-t fizetnie."
"The VAT ID entered (%1) is not a valid VAT ID.","A megadott adószám (%1) nem érvényes."
"Your Tax ID cannot be validated.","Az adószámot nem lehet ellenőrizni."
"If you believe this is an error, please contact us at %1","Ha úgy gondolja ez egy hiba, kérem vegye fel velük a kapcsolatot itt: %1"
"No such entity with %fieldName = %fieldValue","Nincs ilyen entitás %fieldName = %fieldValue"
"Male","Férfi"
"Female","Nő"
"Not Specified","Nincs megadva"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","Nincs-Ilyen-entitás-hiba"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Kivétel üzenet"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","néhány hiba"
"frontend_label","frontend_label"
"NOT LOGGED IN","NINCS BEJELENTKEZVE"
"Please enter the state/province.","Kérjük, adja meg a megyét vagy államot."
"region is a required field.","a megye kötelező mező."
"regionId is a required field.","regionId is a required field."
"Label","Címke"
"Select...","Válasszon..."
"Edit","Szerkesztés"
"Visitor","Látogató"
"Customer","Vásárló"
"No item specified.","Nincs megadott elem."
"Are you sure you want to remove this item?","Biztos vagy benne, hogy eltávolítod ezt az elemet?"
"Personal Information","Személyes adatok"
"Last Logged In:","Utolsó bejelentkezés:"
"Last Logged In (%1):","Utolsó bejelentkezés (%1):"
"Account Lock:","Fiók zárolva:"
"Confirmed email:","Visszaigazolt email:"
"Account Created:","Fiók létrehozva:"
"Account Created on (%1):","A fiók itt lett létrehozva (%1):"
"Account Created in:","Fiók létrehozva itt:"
"Customer Group:","Vevőcsoport:"
"Default Billing Address","Alapértelmezett számlázási cím"
"Sales Statistics","Értékesítési statisztika"
"Web Site","Weboldal"
"Store","Bolt"
"Store View","Bolt nézet"
"Lifetime Sales","Élettartam eladások"
"Average Sale","Eladások átlaga"
"All Store Views","Minden webáruház nézet"
"Change","Módosítás"
"Manage Addresses","Címek kezelése"
"Default Shipping Address","Alapértelmezett szállítási cím"
"Contact Information","Elérhetőségi adatok"
"Change Password","Jelszócsere"
"Newsletters","Hírlevelek"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","vagy"
"Default Addresses","Alapértelmezett cím"
"Change Billing Address","Számlázási cím módosítása"
"You have no default billing address in your address book.","Nincs alapértelmezett számlázási cím a címjegyzékben."
"Change Shipping Address","Szállítási cím módosítása"
"You have no default shipping address in your address book.","Nincs alapértelmezett szállítási cím a címjegyzékben."
"Additional Address Entries","További cím bejegyzések"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Nincs más bejegyzés a címjegyzékben."
"* Required Fields","* kitöltése kötelező"
"Address","Cím"
"Street Address","Utca, házszám"
"Street Address %1","Utca, házszám %1"
"VAT Number","Adószám"
"City","Város"
"State/Province","Állam/megye"
"Please select a region, state or province.","Kérjük válassza ki a régiót, államot vagy megyét."
"Zip/Postal Code","Irányítószám"
"Country","Ország"
"It's a default billing address.","Ez az alapértelmezett számlázási cím."
"Use as my default billing address","Ez legyen az alapértelmezett számlázási címem"
"It's a default shipping address.","Ez az alapértelmezett szállítási cím."
"Use as my default shipping address","Alapértelmezett szállítási cím használata"
"Save Address","Cím mentése"
"Go back","Vissza"
"Please enter your email below and we will send you the confirmation link.","Kérjük adja meg az email címét, és elküldjük Önnek a visszaigazoló linket."
"Email","E-mail"
"Send confirmation link","Megerősítő link küldése"
"Back to Sign In","Vissza a bejelentkezéshez"
"Change Email","E-mail cím megváltoztatása"
"Change Email and Password","E-mail cím és jelszó megváltoztatása"
"Current Password","Jelenlegi jelszó"
"New Password","Új jelszó"
"Password Strength","Jelszó erőssége"
"No Password","Nincs jelszó"
"Confirm New Password","Új jelszó megerősítése"
"Save","Mentés"
"Please enter your email address below to receive a password reset link.","Kérjük adja meg az email címét, és elküldjük Önnek a jelszó visszaállító linket."
"Reset My Password","Jelszavam visszaállítása"
"Registered Customers","Regisztrált vásárlók"
"If you have an account, sign in with your email address.","Ha már van felhasználói fiókja, jelentkezzen be email címével."
"Password","Jelszó"
"Forgot Your Password?","Elfelejtette jelszavát?"
"Subscription option","Feliratkozási lehetőségek"
"General Subscription","Általános feliratkozás"
