"Sign Out","Izrakstīties"
"Sign In","Pieteikties"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","Tu neesi pierakstījies jaunumu saņemšanai."
"You have not set a default shipping address.","Noklusētā piegādes adrese nav iestatīta."
"You have not set a default billing address.","Noklusētā norēķinu adrese nav iestatīta."
"Address Book","Adresu grāmata"
"Edit Address","Labot adreses"
"Add New Address","Pievienot jaunu adresi"
"Customer not logged in","Customer not logged in"
"region","reģions"
"Create Order","Izveidot pasūtījumu"
"Save Customer","Saglabāt klientu"
"Delete Customer","Dzēst klientu"
"Reset Password","Reset Password"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Jauns klients"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Cancel","Atcelt"
"Delete","Dzēst"
"Save","Saglabāt"
"Back","Atpakaļ"
"Please select","Izvēlieties"
"Reset","Notīrīt"
"ID","ID"
"Product","Produkts"
"SKU","Artikuls"
"Quantity","Skaits"
"Price","Cena"
"Total","Kopā"
"Action","Darbība"
"Configure","Konfigurēt"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter","Jaunumi"
"Newsletter Information","Newsletter Information"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Subscribed on Store View","Subscribed on Store View"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","No Newsletter Found"
"Start date","Sākuma datums"
"End Date","Beigu datums"
"Receive Date","Receive Date"
"Subject","Tēma"
"Store View","Veikala skats"
"Status","Statuss"
"Sent","Nosūtīts"
"Not Sent","Nav nosūtīts"
"Sending","Sūta"
"Paused","Apturēts"
"View","Skatīt"
"Unknown","Nezināms"
"Order #","Order #"
"Purchased","Nopirkts"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total","Pirkuma summa"
"Purchase Point","Purchase Point"
"Customer View","Klienta skats"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Skaits"
"Confirmed","Apstiprināts"
"Confirmation Required","Nepieciešams apstiprinājums"
"Confirmation Not Required","Nav nepieciešams apstiprinājums"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","Klientam nav ievadīta noklusētā norēķinu adrese."
"Offline","Offline"
"Online","Online"
"Never","Nekad"
"Unlocked","Unlocked"
"Locked","Slēgts"
"Deleted Stores","Deleted Stores"
"Add Locale","Pievienot lokalizāciju"
"Add Date","Pievienot datumu"
"Days in Wish List","Dienas Vēlmju sarakstā"
"Unlock","Atbloķēt"
"No","Nē"
"Yes","Jā"
"Delete File","Dzēst failu"
"Download","Lejupielādēt"
"Delete Image","Dzēst attēlu"
"View Full Size","Apskatīt pilnā lielumā"
"Website","Website"
"Subscribed","Subscribed"
"Last Updated At","Last Updated At"
"All countries","Visas valstis"
"Customer Groups","Klientu grupas"
"Add New Customer Group","Pievienot jaunu klientu grupu"
"Save Customer Group","Saglabāt klientu grupu"
"Delete Customer Group","Delete Customer Group"
"New Customer Group","New Customer Group"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 characters.","Maximum length must be less then %1 characters."
"Tax Class","Tax Class"
"Excluded Website(s)","Excluded Website(s)"
"Select websites you want to exclude from this customer group.","Select websites you want to exclude from this customer group."
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","The VAT ID is valid."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
