"Sign Out","Odhlásit se"
"Sign In","Přihlásit se"
"You are subscribed to our newsletter.","Jste přihlášeni k odběru zpravodaje."
"You aren't subscribed to our newsletter.","Nejste přihlášeni k odběru zpravodaje."
"You have not set a default shipping address.","Výchozí dodací adresa zatím nebyla nastavena."
"You have not set a default billing address.","Výchozí fakturační adresa zatím nebyla nastavena."
"Address Book","Adresář"
"Edit Address","Upravit adresu"
"Add New Address","Přidat novou adresu"
"region","region"
"Create Order","Vytvořit objednávku"
"Save Customer","Uložit zákazníka"
"Delete Customer","Odstranit zákazníka"
"Reset Password","Nové heslo"
"Are you sure you want to revoke the customer's tokens?","Skutečně chcete zrušit tokeny uživatele?"
"Force Sign-In","Vynutit přihlášení"
"New Customer","Nový zákazník"
"Save and Continue Edit","Použít"
"Back","Zpět"
"Please select","Vyberte"
"Reset","Obnovit"
"ID","ID"
"Product","Produkt"
"SKU","Kód"
"Quantity","Množství"
"Price","Cena"
"Total","Celkem"
"Action","Akce"
"Configure","Nastavit"
"Delete","Smazat"
"Shopping Cart from %1","Nákupní košík z %1"
"Newsletter","Newsletter"
"Newsletter Information","Informace o newsletteru"
"Subscribed to Newsletter","Přihlášeni k odběru zpravodaje"
"Last Date Subscribed","Naposledy přihlášen"
"Last Date Unsubscribed","Naposledy odhlášen"
"No Newsletter Found","Žádný newsletter nebyl nalezen"
"Start date","Začátek"
"End Date","Datum ukončení"
"Receive Date","Datum přijetí"
"Subject","Předmět"
"Status","Stav"
"Sent","Odesláno"
"Cancel","Zrušit"
"Not Sent","Nebyla odeslána"
"Sending","Odesílám"
"Paused","Pozastaveno"
"View","Zobrazit"
"Unknown","Neznámý"
"Order","Order"
"Purchased","Zakoupeno"
"Bill-to Name","Faktura na jméno"
"Ship-to Name","Doručit na jméno"
"Order Total","Celkem za"
"Purchase Point","Místo nákupu"
"Customer View","Zobrazit obchod"
"There are no items in customer's shopping cart.","V košíku zákazníka nejsou žádné položky."
"Qty","Množství"
"Confirmed","Potvrzeno"
"Confirmation Required","Potvrzení vyžadováno"
"Confirmation Not Required","Potvrzení není vyžadováno"
"Indeterminate","Neurčitý"
"The customer does not have default billing address.","Zákazník nemá výchozí fakturační adresu."
"Offline","Offline"
"Online","Online"
"Never","Nikdy"
"Unlocked","Odemčeno"
"Locked","Zamčeno"
"Deleted Stores","Odstraněné obchody"
"Add Locale","Přidat lokalitu"
"Add Date","Přidat datum"
"Days in Wish List","Dnů v oblíbených"
"Unlock","Odemknout"
"No","Ne"
"Yes","Ano"
"Delete File","Smazat soubor"
"Download","Stáhnout"
"Delete Image","Odstranit obrázek"
"View Full Size","Zobrazit v plné velikosti"
"All countries","Všechny země"
"Customer Groups","Skupiny zákazníků"
"Add New Customer Group","Přidat novou skupinu zákazníků"
"Save Customer Group","Uložit skupinu zákazníků"
"Delete Customer Group","Odstranit skupinu zákazníků"
"New Customer Group","Nová skupina zákazníků"
"Edit Customer Group ""%1""","Upravit skupinu zákazníků ""%1"""
"Group Information","Informace o skupině"
"Group Name","Název skupiny"
"Maximum length must be less then %1 characters.","Maximální délka je %1 znaků."
"Tax Class","Třída DPH"
"The customer is now assigned to Customer Group %s.","Zákazník je nyní přiřazen skupině zákazníků %s."
"Would you like to change the Customer Group for this order?","Chcete pro tuto objednávku změnit skupinu zákazníků?"
"The VAT ID is valid.","DIČ je platné."
"The VAT ID entered (%s) is not a valid VAT ID.","Zadané DIČ (%s) není platné."
"The VAT ID is valid. The current Customer Group will be used.","DIČ je platné. Bude použita současná skupina zákazníků."
"The VAT ID is valid but no Customer Group is assigned for it.","DIČ je platné, ale není k němu přiřazena skupina zákazníků."
