"Sign Out","Çıkış"
"Sign In","Giriş Yap"
"You are subscribed to our newsletter.","Haber bültenimize abone oldunuz."
"You aren't subscribed to our newsletter.","Haber bültenimize abone olmadınız."
"You have not set a default shipping address.","Varsayılan teslimat adesi ayarlamadınız."
"You have not set a default billing address.","Varsayılan fatura adresi belirlemediniz."
"Address Book","Adres Defteri"
"Edit Address","Adresi Düzenle"
"Add New Address","Yeni Adres Ekle"
"region","bölge"
"Create Order","Sipariş Oluştur"
"Save Customer","Müşteriyi Kaydet"
"Delete Customer","Müşteriyi Sil"
"Reset Password","Şifre Sıfırla"
"Are you sure you want to revoke the customer's tokens?","Müşterinin jetonlarını iptal etmek istediğinize emin misiniz?"
"Force Sign-In","Oturum açmak için zorla"
"New Customer","Yeni Müşteri"
"Save and Continue Edit","Kaydet ve Devam Et"
"Back","Geri"
"Please select","Lütfen seçiniz"
"Reset","Sıfırla"
"ID","No"
"Product","Ürün"
"SKU","Ürün Kodu"
"Quantity","Miktar"
"Price","Fiyat"
"Total","Toplam"
"Action","Eylem"
"Configure","Yapılandır"
"Delete","Sil"
"Shopping Cart from %1","%1 üzerinden alışveriş sepeti"
"Newsletter","Bülten"
"Newsletter Information","Duyuru Bilgisi"
"Subscribed to Newsletter","Bültenimize abone olun"
"Last Date Subscribed","Son abonelik tarihi"
"Last Date Unsubscribed","Son abonelikten çıkış tarihi"
"No Newsletter Found","Duyuru bulunamadı"
"Start date","Başlangıç tarihi"
"End Date","Bitiş Tarihi"
"Receive Date","Alınma Tarihi"
"Subject","Konu"
"Status","Durum"
"Sent","Gönderildi"
"Cancel","İptal"
"Not Sent","Gönderilmedi"
"Sending","Gönderiliyor"
"Paused","Duraklatıldı"
"View","Göster"
"Unknown","Bilinmeyen"
"Order","Sipariş"
"Purchased","Satın alınan"
"Bill-to Name","Fatura adı"
"Ship-to Name","İsme Sevk"
"Order Total","Sipariş Toplamı"
"Purchase Point","Satın alma Noktası"
"Customer View","Müşteri Görünümü"
"There are no items in customer's shopping cart.","Müşterinin alışveriş sepeti içinde hiçbir ürün bulunmamaktadır."
"Qty","Miktar"
"Confirmed","Onaylandı"
"Confirmation Required","Onay Gerekli"
"Confirmation Not Required","Onay gerekli değildir"
"Indeterminate","Belirsiz"
"The customer does not have default billing address.","Müşterinin varsayılan fatura adresi bulunmamaktadır."
"Offline","Çevrimdışı"
"Online","Çevrimiçi"
"Never","Asla"
"Unlocked","Kilit kaldırıldı"
"Locked","Kilitli"
"Deleted Stores","Mağazaları Sil"
"Add Locale","Yerel ayar ekle"
"Add Date","Tarih ekle"
"Days in Wish List","İstek Listesindeki Gün Sayısı"
"Unlock","Kilidi kaldır"
"No","Hayır"
"Yes","Evet"
"Delete File","Dosya Sil"
"Download","İndir"
"Delete Image","Resim Sil"
"View Full Size","Tam Boyutu Göster"
"All countries","Tüm ülkeler"
"Customer Groups","Müşteri Grupları"
"Add New Customer Group","Yeni Müşteri Grubu Ekle"
"Save Customer Group","Müşteri Grubunu Kaydet"
"Delete Customer Group","Müşteri Grubunu Sil"
"New Customer Group","Yeni Müşteri Grubu"
"Edit Customer Group ""%1""","Müşteri grubu düzenleme ''%1''"
"Group Information","Grup Bilgisi"
"Group Name","Grup Adı"
"Maximum length must be less then %1 characters.","En fazla uzunluk %1 karakterden az olmalıdır."
"Tax Class","Vergi Sınıfı"
"The customer is now assigned to Customer Group %s.","Müşteri şu an %s Müşteri Grubuna atandı."
"Would you like to change the Customer Group for this order?","Bu sipariş için Müşteri Grubunu değiştirmek ister misiniz?"
"The VAT ID is valid.","Vergi kimliği geçerli."
"The VAT ID entered (%s) is not a valid VAT ID.","Girdiğiniz VAT (%s) geçerli bir VAT değildir."
"The VAT ID is valid. The current Customer Group will be used.","Vergi numarası geçerli. Mevcut müşteri grubu kullanılacak."
