"Sign Out","Terminar Sessão"
"Sign In","Iniciar Sessão"
"You are subscribed to our newsletter.","Subscreveu a nossa newsletter."
"You aren't subscribed to our newsletter.","Não subscreveu a nossa newsletter."
"You have not set a default shipping address.","Ainda não definiu uma morada de envio pré-definida."
"You have not set a default billing address.","Ainda não definiu uma morada de faturação pré-definida."
"Address Book","As Minhas Moradas"
"Edit Address","Editar Morada"
"Add New Address","Adicionar Nova Morada"
"region","região"
"Create Order","Criar a encomenda"
"Save Customer","Guardar cliente"
"Delete Customer","Remover cliente"
"Reset Password","Repor a Palavra-passe"
"Are you sure you want to revoke the customer's tokens?","Tem a certeza que pretende anular os tokens do cliente?"
"Force Sign-In","Forçar Início de Sessão"
"New Customer","Novo cliente"
"Save and Continue Edit","Gravar e Continuar Edição"
"Back","Voltar"
"Please select","Por favor selecione"
"Reset","Repor"
"ID","Id."
"Product","Produto"
"SKU","REF"
"Quantity","Quantidade"
"Price","Preço"
"Total","Total"
"Action","Ação"
"Configure","Configurar"
"Delete","Eliminar"
"Shopping Cart from %1","Carrinho de Compras de %1"
"Newsletter","Newsletter"
"Newsletter Information","Informação da Newsletter"
"Subscribed to Newsletter","Subscrito à Newsletter"
"Last Date Subscribed","Última Data de Subscrição"
"Last Date Unsubscribed","Última Data de Cancelamento da Subscrição"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"Start date","Data de início"
"End Date","Data de Fim"
"Receive Date","Data de Receção"
"Subject","Assunto"
"Status","Estado"
"Sent","Enviada"
"Cancel","Cancelar"
"Not Sent","Não Enviada"
"Sending","Enviando"
"Paused","Pausada"
"View","Visualizar"
"Unknown","Desconhecido"
"Order","Order"
"Purchased","Comprado"
"Bill-to Name","Nome do Destinatário de Faturação"
"Ship-to Name","Nome do Destinatário de Envio"
"Order Total","Total da encomenda"
"Purchase Point","Ponto de Compra"
"Customer View","Visão do Cliente"
"There are no items in customer's shopping cart.","Não existem itens do carrinho de compras do cliente."
"Qty","Qtd"
"Confirmed","Confirmado"
"Confirmation Required","Confirmação obrigatória"
"Confirmation Not Required","Confirmação não exigida"
"Indeterminate","Indeterminado"
"The customer does not have default billing address.","O cliente não tem uma morada de faturação pré-definida."
"Offline","Offline"
"Online","Online"
"Never","Nunca"
"Unlocked","Desbloqueada"
"Locked","Bloqueada"
"Deleted Stores","Lojas eliminadas"
"Add Locale","Adicionar Local"
"Add Date","Adicionar Data"
"Days in Wish List","Dias na Lista de Desejos"
"Unlock","Desbloquear"
"No","Não"
"Yes","Sim"
"Delete File","Apagar Ficheiro"
"Download","Transferir"
"Delete Image","Apagar Imagem"
"View Full Size","Ver Tamanho Completo"
"All countries","Todos os países"
"Customer Groups","Grupos de Clientes"
"Add New Customer Group","Adicionar grupo de cliente"
"Save Customer Group","Guardar grupo de cliente"
"Delete Customer Group","Remover grupo de cliente"
"New Customer Group","Novo grupo de cliente"
"Edit Customer Group ""%1""","Editar grupo de cliente ""%1"""
"Group Information","Informação do Grupo"
