"Sign Out","Odjavi se"
"Sign In","Prijava"
"You are subscribed to our newsletter.","Prijavljeni ste na naš newsletter."
"You aren't subscribed to our newsletter.","Niste prijavljeni na naš newsletter."
"You have not set a default shipping address.","Niste podesili Vašu adresu za dostavu."
"You have not set a default billing address.","Niste podesili adresu za naplatu."
"Address Book","Adresar"
"Edit Address","Izmeni adresu"
"Add New Address","Dodajte novu adresu"
"region","region"
"Create Order","Kreiranje narudžbine"
"Save Customer","Sačuvaj Kupca"
"Delete Customer","Obriši Kupca"
"Reset Password","Resetovanje Lozinke"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Novi kupac"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Back","Nazad"
"Please select","Izaberite"
"Reset","Reset"
"ID","ID"
"Product","Proizvod"
"SKU","Šifra"
"Quantity","Količina"
"Price","Cena"
"Total","Ukupno"
"Action","Akcija"
"Configure","Podesi"
"Delete","Obrisati"
"Shopping Cart from %1","Korpa od %1"
"Newsletter","Bilten"
"Newsletter Information","Informacije o Biltenu"
"Subscribed to Newsletter","Prijavljeni na Bilten"
"Last Date Subscribed","Poslednje Prijave na Datum"
"Last Date Unsubscribed","Poslednje Odjave na Datum"
"No Newsletter Found","Nije Pronađen Bilten"
"Start date","Početni datum"
"End Date","Krajnji datum"
"Receive Date","Datum Prijema"
"Subject","Predmet"
"Status","Status"
"Sent","Poslato"
"Cancel","Odustani"
"Not Sent","Nije Poslato"
"Sending","Slanje"
"Paused","Pauzirano"
"View","Pregled"
"Unknown","Nepoznato"
"Order","Order"
"Purchased","Naručeno"
"Bill-to Name","Račun na Ime"
"Ship-to Name","Dostava na Ime"
"Order Total","Ukupan iznos"
"Purchase Point","Kupovina"
"Customer View","Lista korisnika"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Kol"
"Confirmed","Potvrđeno"
"Confirmation Required","Potrebna je potvrda"
"Confirmation Not Required","Potvrda Nije Obavezna"
"Indeterminate","Neodlučan"
"The customer does not have default billing address.","Kupac nema podrazumevanu adresu za naplatu."
"Offline","Van mreže"
"Online","Na vezi"
"Never","Nikada"
"Unlocked","Otključano"
"Locked","Zaključano"
"Deleted Stores","Obrisane Prodavnice"
"Add Locale","Add Locale"
"Add Date","Dodajte Datum"
"Days in Wish List","Dana u Listi Želja"
"Unlock","Otključaj"
"No","Ne"
"Yes","Da"
"Delete File","Izbriši datoteku"
"Download","Preuzimanje"
"Delete Image","Izbriši sliku"
"View Full Size","View Full Size"
"All countries","All countries"
"Customer Groups","Grupe kupaca"
"Add New Customer Group","Add New Customer Group"
"Save Customer Group","Save Customer Group"
"Delete Customer Group","Delete Customer Group"
"New Customer Group","New Customer Group"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 characters.","Maximum length must be less then %1 characters."
"Tax Class","Tax Class"
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","PDV ID je važieči."
"The VAT ID entered (%s) is not a valid VAT ID.","Uneti PDV ID (%s) nije važeći."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Došlo je do greške prilikom potvrđivanja PDV-a."
"The customer would belong to Customer Group %s.","Kupac bi trebao da pripada Grupi Kupaca %s."
"There was an error detecting Customer Group.","Došlo je do greške prilikom detektovanja Grupe Kupaca."
"Validate VAT Number","Potvrdi PDV"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
