"Sign Out","התנתק"
"Sign In","כניסה"
"You are subscribed to our newsletter.","אתה רשום כמנוי לידיעון שלנו."
"You aren't subscribed to our newsletter.","אתה לא מנוי על הידיעון שלנו."
"You have not set a default shipping address.","לא הוגדרה כתובת ברירת מחדל לשילוח."
"You have not set a default billing address.","אין לך כתובת ברירת מחדל לתשלום."
"Address Book","ספר כתובות"
"Edit Address","ערוך כתובת"
"Add New Address","הוסף כתובת חדשה"
"region","אזור"
"Create Order","צור הזמנה"
"Save Customer","שמור לקוח"
"Delete Customer","מחק לקוח"
"Reset Password","איפוס סיסמה"
"Are you sure you want to revoke the customer's tokens?","האם אתה בטוח שברצונך לבטל הטוקנים של הלקוח?"
"Force Sign-In","אלץ כניסה לחשבון"
"New Customer","לקוח חדש"
"Save and Continue Edit","שמור והמשך בעריכה"
"Back","חזור"
"Please select","אנא בחר"
"Reset","איפוס"
"ID","מזהה"
"Product","מוצר"
"SKU","מק''ט"
"Quantity","כמות"
"Price","מחיר"
"Total","סה""כ"
"Action","פעולה"
"Configure","הגדר"
"Delete","מחק"
"Shopping Cart from %1","עגלת הקניות של %1"
"Newsletter","ניוזלטר"
"Newsletter Information","מידע ניוזלטר"
"Subscribed to Newsletter","הירשם לניוזלטר"
"Last Date Subscribed","תאריך אחרון לרישום"
"Last Date Unsubscribed","תאריך אחרון לביטול הרשמה"
"No Newsletter Found","לא נמצאו הודעות ניוזלטר"
"Start date","תאריך התחלה"
"End Date","תאריך סיום"
"Receive Date","תאריך קבלה"
"Subject","נושא"
"Status","סטטוס"
"Sent","נשלח"
"Cancel","ביטול"
"Not Sent","לא נשלח"
"Sending","שולח"
"Paused","נעצר"
"View","הצגה"
"Unknown","לא ידועה"
"Order","Order"
"Purchased","נרכש"
"Bill-to Name","שלח חיוב לשם"
"Ship-to Name","נשלח אל שם"
"Order Total","סה""כ להזמנה"
"Purchase Point","נקודת רכישה"
"Customer View","תצוגת לקוח"
"There are no items in customer's shopping cart.","אין פריטים בעגלת הקניות של הלקוחות."
"Qty","כמות"
"Confirmed","מאושר"
"Confirmation Required","דרוש אישור"
"Confirmation Not Required","לא דרוש אישור"
"Indeterminate","לא מוגדר"
"The customer does not have default billing address.","אין ללקוח כתובת חיוב ברירת מחדל."
"Offline","אוף-ליין"
"Online","און-ליין"
"Never","לעולם לא"
"Unlocked","משוחרר"
"Locked","נעול"
"Deleted Stores","חנויות שנמחקו"
"Add Locale","הוסף אזור"
"Add Date","הוספת תאריך"
"Days in Wish List","ימים במועדפים"
"Unlock","שחרר"
"No","לא"
"Yes","כן"
"Delete File","מחק קובץ"
"Download","הורדה"
"Delete Image","מחיקת תמונה"
"View Full Size","תצוגה בגודל מלא"
"All countries","כל המדינות"
"Customer Groups","קבוצות לקוחות"
"Add New Customer Group","קבוצת לקוחות חדשה"
"Save Customer Group","שמור קבוצת לקוחות"
