"Sign Out","Đăng xuất"
"Sign In","Đăng nhập"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"You have not set a default shipping address.","Bạn không có thiết lập địa chỉ vận chuyển mặc định."
"You have not set a default billing address.","Bạn không có thiết lập địa chỉ vận chuyển mặc định."
"Address Book","Sổ địa chỉ"
"Edit Address","Sửa địa chỉ"
"Add New Address","Thêm địa chỉ mới"
"region","khu vực"
"Create Order","Tạo đơn hàng"
"Save Customer","Lưu khách hàng"
"Delete Customer","Xóa khách hàng"
"Reset Password","Đặt lại mật khẩu"
"Are you sure you want to revoke the customer's tokens?","Bạn có chắc bạn muốn thu hồi thẻ của khách hàng?"
"Force Sign-In","Bắt buộc đăng nhập"
"New Customer","Khách hàng mới"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Back","Trở lại"
"Please select","Vui lòng chọn"
"Reset","Thiết lập lại"
"ID","ID"
"Product","Sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Quantity","Số lượng"
"Price","Giá"
"Total","Tổng"
"Action","Thao tác"
"Configure","Cấu hình"
"Delete","Xóa bỏ"
"Shopping Cart from %1","Giỏ mua hàng từ %1"
"Newsletter","Bản tin"
"Newsletter Information","Đăng ký nhận thông tin"
"Subscribed to Newsletter","Đăng ký nhận bản tin"
"Last Date Subscribed","Đăng ký ngày cuối cùng"
"Last Date Unsubscribed","Bỏ đăng ký vào ngày cuối cùng"
"No Newsletter Found","Bản tin không tìm thấy"
"Start date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Receive Date","Ngày nhận"
"Subject","Chủ đề"
"Status","Trạng thái"
"Sent","Đã gửi"
"Cancel","Hủy bỏ"
"Not Sent","Không gửi"
"Sending","Đang gửi"
"Paused","Tạm dừng"
"View","Hiển thị"
"Unknown","Không xác định"
"Order","Order"
"Purchased","Đã mua"
"Bill-to Name","Tên người thanh toán"
"Ship-to Name","Tên người vận chuyển đến"
"Order Total","Tổng đơn đặt hàng"
"Purchase Point","Mua điểm"
"Customer View","Thông tin tài khoản"
"There are no items in customer's shopping cart.","Không có sản phẩm nào trong giỏ của khách hàng."
"Qty","Số lượng"
"Confirmed","Đã xác nhận"
"Confirmation Required","Yêu cầu Xác nhận"
"Confirmation Not Required","Không bắt buộc Xác nhận"
"Indeterminate","Không xác định"
"The customer does not have default billing address.","Khách hàng không có địa chỉ thanh toán mặc định."
"Offline","Ngoại tuyến"
"Online","Trực tuyến"
"Never","Không bao giờ"
"Unlocked","Mở khóa"
"Locked","Đã khóa"
"Deleted Stores","Đã xoá các cửa hàng"
"Add Locale","Thêm địa điểm"
"Add Date","Thêm ngày"
"Days in Wish List","Ngày trong danh sách yêu thích"
"Unlock","Mở khoá"
"No","Không"
"Yes","Có"
"Delete File","Xoá tập tin"
"Download","Tải về"
"Delete Image","Xóa hình"
"View Full Size","Xem kích thước đầy đủ"
"All countries","Tất cả quốc gia"
"Customer Groups","Nhóm khách hàng"
