"Sign Out","Uitloggen"
"Sign In","Inloggen"
"You are subscribed to our newsletter.","Je bent geabonneerd op onze nieuwsbrief."
"You aren't subscribed to our newsletter.","Je bent niet geabonneerd op onze nieuwsbrief."
"You have not set a default shipping address.","Je hebt geen standaard afleveradres ingevoerd."
"You have not set a default billing address.","Je hebt geen standaard factuuradres ingevoerd."
"Address Book","Adresboek"
"Edit Address","Bewerk adres"
"Add New Address","Adres toevoegen"
"Customer not logged in","Customer not logged in"
"region","regio"
"Create Order","Bestelling aanmaken"
"Save Customer","Klant opslaan"
"Delete Customer","Klant verwijderen"
"Reset Password","Wachtwoord herstellen"
"Are you sure you want to revoke the customer's tokens?","Weet je zeker dat je de klant tokens wenst in te trekken?"
"Force Sign-In","Forceer opnieuw inloggen"
"New Customer","Nieuwe klant"
"Save and Continue Edit","Toepassen"
"Cancel","Annuleer"
"Delete","Verwijder"
"Save","Opslaan"
"Back","Terug"
"Please select","Selecteer"
"Reset","Resetten"
"ID","ID"
"Product","Product"
"SKU","Art.nr."
"Quantity","Aantal"
"Price","prijs"
"Total","Totaal"
"Action","Actie"
"Configure","Configureren"
"Shopping Cart from %1","Winkelwagen van %1"
"Newsletter","Nieuwsbrief"
"Newsletter Information","Nieuwsbriefgegevens"
"Subscribed to Newsletter","Geabonneerd op nieuwsbrief"
"Subscribed on Store View","Subscribed on Store View"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"Start date","Begindatum"
"End Date","einddatum"
"Receive Date","Ontvangstdatum"
"Subject","Onderwerp"
"Store View","Winkelaanzicht"
"Status","status"
"Sent","Verstuurd"
"Not Sent","Niet verstuurd"
"Sending","Bezig met verzenden"
"Paused","Gepauzeerd"
"View","Bekijk"
"Unknown","Onbekend"
"Order #","Order #"
"Purchased","Gekocht"
"Bill-to Name","Factuurnaam"
"Ship-to Name","Verzendnaam"
"Order Total","Totaal"
"Purchase Point","Verkooppunt"
"Customer View","Overzicht"
"There are no items in customer's shopping cart.","Er zijn geen producten in de winkelwagen van de klant."
"Qty","Aantal"
"Confirmed","Bevestigd"
"Confirmation Required","Bevestiging vereist"
"Confirmation Not Required","Bevestiging niet vereist"
"Indeterminate","Onbepaalde"
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres"
"Offline","Offline"
"Online","Online"
"Never","Nooit"
"Unlocked","Ontgrendeld"
"Locked","Vergrendeld"
"Deleted Stores","Verwijderde winkels"
"Add Locale","Locale toevoegen"
"Add Date","Datum toevoegen"
"Days in Wish List","Dagen in verlanglijst"
"Unlock","Deblokkeer"
"No","Nee"
"Yes","Ja"
"Delete File","Bestand verwijderen"
"Download","Downloads"
"Delete Image","Verwijder afbeelding"
"View Full Size","Bekijk op ware grootte"
"Website","Website"
"Subscribed","Subscribed"
"Last Updated At","Last Updated At"
"All countries","Alle landen"
"Customer Groups","Klantengroepen"
"Add New Customer Group","Nieuwe klantgroep toevoegen"
"Save Customer Group","Klantgroep opslaan"
"Delete Customer Group","Klantgroep verwijderen"
"New Customer Group","Nieuwe klantgroep"
"Edit Customer Group ""%1""","Wijzig klantgroep ""%1"""
"Group Information","Groepsgegevens"
"Group Name","Groepsnaam"
"Maximum length must be less then %1 characters.","Maximale lengte moet minder dan %1 karakters zijn."
"Tax Class","BTW-tariefgroep"
"Excluded Website(s)","Excluded Website(s)"
"Select websites you want to exclude from this customer group.","Select websites you want to exclude from this customer group."
"The customer is now assigned to Customer Group %s.","De klant is nu toegewezen aan klantgroep %s."
"Would you like to change the Customer Group for this order?","wil je de klantgroep veranderen voor deze bestelling?"
"The VAT ID is valid.","Het BTW nummer is geldig."
"The VAT ID entered (%s) is not a valid VAT ID.","Het ingevulde BTW-nummer (%s) is geen geldig BTW-nummer."
"The VAT ID is valid. The current Customer Group will be used.","BTW-nummer is geldig, de huidige klantgroep zal worden gebruikt."
"The VAT ID is valid but no Customer Group is assigned for it.","Het BTW-nummer is geldig maar er is geen klantgroep toegewezen."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Gebaseerd op het BTW-nummer, zou de klant tot klantgroep %s behoren."
"Something went wrong while validating the VAT ID.","Er ging iets mis tijdens het valideren van het BTW nummer."
