"Sign Out","Выход"
"Sign In","Войти"
"You are subscribed to our newsletter.","Вы подписались на нашу новостную рассылку."
"You aren't subscribed to our newsletter.","Вы не подписаны на нашу новостную рассылку."
"You have not set a default shipping address.","Вы не установили адрес доставки по умолчанию."
"You have not set a default billing address.","Вы не установили платежный адрес по умолчанию."
"Address Book","Адресная книга"
"Edit Address","Изменить адрес"
"Add New Address","Добавить новый адрес"
"region","регион"
"Create Order","Создать заказ"
"Save Customer","Сохранить клиента"
"Delete Customer","Удаление клиента"
"Reset Password","Восстановить пароль"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Принудительный вход"
"New Customer","Новый клиент"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Back","Назад"
"Please select","Выберите"
"Reset","Сбросить"
"ID","Идентификатор"
"Product","Товар"
"SKU","Артикул"
"Quantity","Количество"
"Price","Цена"
"Total","Всего"
"Action","Действие"
"Configure","Настроить"
"Delete","Удалить"
"Shopping Cart from %1","Корзина из %1"
"Newsletter","Новостная рассылка"
"Newsletter Information","Newsletter Information"
"Subscribed to Newsletter","Подписка на рассылку"
"Last Date Subscribed","Дата последней подписки"
"Last Date Unsubscribed","Дата последней отписки"
"No Newsletter Found","No Newsletter Found"
"Start date","Дата начала"
"End Date","Дата окончания"
"Receive Date","Дата получения"
"Subject","Тема"
"Status","Статус"
"Sent","Отправлено"
"Cancel","Отмена"
"Not Sent","Не отправлено"
"Sending","Отправка"
"Paused","Приостановлено"
"View","Просмотр"
"Unknown","Неизвестно"
"Order","Заказ"
"Purchased","Куплено"
"Bill-to Name","Имя плательщика"
"Ship-to Name","Имя получателя"
"Order Total","Сумма заказа"
"Purchase Point","Purchase Point"
"Customer View","Просмотр клиента"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Кол-во"
"Confirmed","Подтверждено"
"Confirmation Required","Необходимо подтверждение"
"Confirmation Not Required","Подтверждение не требуется"
"Indeterminate","Неопределенный"
"The customer does not have default billing address.","Клиент не имеет платежного адреса по умолчанию."
"Offline","Не в сети"
"Online","Онлайн"
"Never","Никогда"
"Unlocked","Разблокирован"
"Locked","Заблокировано"
"Deleted Stores","Удаленные магазины"
"Add Locale","Add Locale"
"Add Date","Добавить дату"
"Days in Wish List","Дни в списке желаний"
"Unlock","Открыть"
"No","Нет"
"Yes","Да"
"Delete File","Удалить файл"
"Download","Скачать"
"Delete Image","Удалить изображение"
"View Full Size","Посмотреть в полном размере"
"All countries","Все страны"
"Customer Groups","Группы покупателей"
"Add New Customer Group","Добавить новую группу покупателей"
"Save Customer Group","Сохранить группу покупателей"
"Delete Customer Group","Удалить группу покупателей"
"New Customer Group","Новая группа клиентов"
"Edit Customer Group ""%1""","Редактирование группы клиентов ""%1"""
"Group Information","Информация о группе"
"Group Name","Название группы"
"Maximum length must be less then %1 characters.","Максимальная длина должна быть меньше чем %1 символов."
"Tax Class","Налоговый класс"
"The customer is now assigned to Customer Group %s.","Теперь клиент назначается для группы клиентов %s."
"Would you like to change the Customer Group for this order?","Вы хотите изменить Клиент Группа для этого заказа?"
"The VAT ID is valid.","ID НДС является допустимым."
"The VAT ID entered (%s) is not a valid VAT ID.","Идентификатор НДС (%s) не является действительным идентификатором НДС."
"The VAT ID is valid. The current Customer Group will be used.","ID НДС является допустимым. Будет использоваться текущая группа клиентов."
"The VAT ID is valid but no Customer Group is assigned for it.","ID НДС является допустимым, но нет назначенной группы клиента для этого."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Что-то пошло не так при проверке идентификатора НДС."
"The customer would belong to Customer Group %s.","Клиент будет принадлежать Клиент группа %s."
"There was an error detecting Customer Group.","Обнаружена ошибка Клиент группа."
"Validate VAT Number","Проверте номер НДС"
"Customer Login","Авторизация пользователя"
"Create New Customer Account","Создать новую учетную запись клиента"
"Date of Birth","Дата рождения"
"Bad request.","Неверный запрос."
"This confirmation key is invalid or has expired.","Этот ключ подтверждения недействителен или истек."
