"Sign Out","خروج"
"Sign In","ورود"
"You are subscribed to our newsletter.","شما عضو خبرنامه ما شدید."
"You aren't subscribed to our newsletter.","شما عضو خبرنامه ما نیستید."
"You have not set a default shipping address.","شما آدرس ارسال پیش فرض را تنظیم نکرده‌ اید."
"You have not set a default billing address.","شما آدرس صورتحساب پیش فرض را تنظیم نکرده‌ اید."
"Address Book","دفترچه آدرس"
"Edit Address","ویرایش آدرس"
"Add New Address","افزودن آدرس جدید"
"region","منطقه"
"Create Order","ایجاد سفارش"
"Save Customer","ذخیره مشتری"
"Delete Customer","حذف مشتری"
"Reset Password","تنظیم مجدد کلمه عبور"
"Are you sure you want to revoke the customer's tokens?","آیا مطمئن هستید که می خواهید علامت های مشتری را لغو کنید?"
"Force Sign-In","ورود اجباری"
"New Customer","مشتری جدید"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Back","بازگشت"
"Please select","لطفا انتخاب نمایید"
"Reset","بازنشانی"
"ID","شناسه"
"Product","محصول"
"SKU","کد محصول"
"Quantity","تعداد"
"Price","قيمت"
"Total","مجموع"
"Action","اقدام"
"Configure","پیکربندی"
"Delete","حذف"
"Shopping Cart from %1","سبد خرید از %1"
"Newsletter","خبرنامه"
"Newsletter Information","اطلاعات خبرنامه"
"Subscribed to Newsletter","عضویت در خبرنامه"
"Last Date Subscribed","آخرین تاریخ عضویت"
"Last Date Unsubscribed","آخرین تاریخ لغو عضویت"
"No Newsletter Found","خبرنامه‌ ای یافت نشد"
"Start date","تاریخ شروع"
"End Date","تاریخ پایان"
"Receive Date","تاریخ دریافت"
"Subject","موضوع"
"Status","وضعيت"
"Sent","ارسال شد"
"Cancel","لغو"
"Not Sent","ارسال نشد"
"Sending","در حال ارسال"
"Paused","متوقف شد"
"View","مشاهده"
"Unknown","ناشناس"
"Order","Order"
"Purchased","خریداری شده"
"Bill-to Name","صورتحساب به نام"
"Ship-to Name","ارسال به نام"
"Order Total","مجموع سفارش"
"Purchase Point","نقطه خرید"
"Customer View","نمای مشتری"
"There are no items in customer's shopping cart.","هیچ موردی در سبد خرید مشتری وجود ندارد."
"Qty","تعداد"
"Confirmed","تأیید شده"
"Confirmation Required","نیازمند تأیید"
"Confirmation Not Required","تأیید لازم نیست"
"Indeterminate","نامشخص"
"The customer does not have default billing address.","مشتری آدرس صورتحساب پیش فرض ندارد."
"Offline","آفلاین"
"Online","آنلاین"
"Never","هرگز"
"Unlocked","باز شده"
"Locked","قفل شده"
"Deleted Stores","فروشگاه‌ های حذف شده"
"Add Locale","اضافه کردن منطقه"
"Add Date","اضافه کردن تاریخ"
"Days in Wish List","روزها در لیست علاقه مندی"
"Unlock","باز کردن"
"No","خیر"
"Yes","بله"
"Delete File","حذف فایل"
"Download","دانلود"
"Delete Image","حذف تصویر"
"View Full Size","مشاهده اندازه کامل"
"All countries","همه‌ کشورها"
"Customer Groups","گروه‌های مشتری"
"Add New Customer Group","افزودن گروه مشتری جدید"
"Save Customer Group","ذخیره گروه مشتری"
"Delete Customer Group","حذف گروه مشتری"
"New Customer Group","گروه مشتری جدید"
"Edit Customer Group ""%1""","ویرایش گروه مشتری ""%1"""
