"Sign Out","サインアウト"
"Sign In","サインイン"
"You are subscribed to our newsletter.","ニュースレターを購読しています"
"You aren't subscribed to our newsletter.","ニュースレターを購読していません"
"You have not set a default shipping address.","標準の配送先を指定してください。"
"You have not set a default billing address.","標準のご請求先が指定されていません。"
"Address Book","アドレス帳"
"Edit Address","住所を編集"
"Add New Address","アカウント追加"
"region","地域"
"Create Order","注文作成"
"Save Customer","保存"
"Delete Customer","顧客の削除"
"Reset Password","パスワード再発行"
"Are you sure you want to revoke the customer's tokens?","本当に顧客のトークンを剥奪しますか？"
"Force Sign-In","強制サインイン"
"New Customer","新規顧客"
"Save and Continue Edit","保存して編集を続ける"
"Back","戻る"
"Please select","選んで下さい"
"Reset","リセット"
"ID","ID"
"Product","商品"
"SKU","商品番号"
"Quantity","個数"
"Price","価格"
"Total","合計"
"Action","アクション"
"Configure","構成"
"Delete","削除"
"Shopping Cart from %1"," %1 からのショッピングカート"
"Newsletter","ニュースレター"
"Newsletter Information","ニュースレター情報"
"Subscribed to Newsletter","ニュースレター購読"
"Last Date Subscribed","最終購読日"
"Last Date Unsubscribed","最終購読解除日"
"No Newsletter Found","ニュースレターが見つかりませんでした"
"Start date","開始日"
"End Date","終了日"
"Receive Date","受け取り日"
"Subject","件名"
"Status","ステータス"
"Sent","送信済"
"Cancel","キャンセル"
"Not Sent","未送信"
"Sending","送信中"
"Paused","ポーズ"
"View","表示"
"Unknown","不明"
"Order","注文"
"Purchased","購入済み"
"Bill-to Name","請求先名"
"Ship-to Name","送り先名"
"Order Total","注文合計"
"Purchase Point","購入店舗"
"Customer View","フロントエンドを表示"
"There are no items in customer's shopping cart.","顧客のショッピングカートに商品はありません。"
"Qty","個数"
"Confirmed","確認"
"Confirmation Required","確認が必須です"
"Confirmation Not Required","確認は不必要です"
"Indeterminate","未定"
"The customer does not have default billing address.","この顧客は標準の請求先を登録していません。"
"Offline","オフライン"
"Online","オンライン"
"Never","まだ"
"Unlocked","ロック解除済み"
"Locked","ロックされた"
"Deleted Stores","ストアを削除"
"Add Locale","ロケール追加"
"Add Date","日付追加"
"Days in Wish List","ほしい物リスト内日付"
"Unlock","ロック解除"
"No","No"
"Yes","Yes"
"Delete File","ファイルを削除"
"Download","ダウンロード"
"Delete Image","画像を削除"
"View Full Size","フルサイズで表示"
"All countries","全ての国"
"Customer Groups","顧客グループ"
"Add New Customer Group","新規顧客グループの追加"
"Save Customer Group","保存"
"Delete Customer Group","顧客グループの削除"
"New Customer Group","新規顧客グループ"
"Edit Customer Group ""%1""","顧客グループ ""%1""編集"
"Group Information","グループ情報"
"Group Name","グループ名"
"Maximum length must be less then %1 characters.","最大長は %1 文字未満でなければなりません。"
"Tax Class","税区分"
"The customer is now assigned to Customer Group %s.","顧客は現在顧客グループ %sにアサインされています。"
"Would you like to change the Customer Group for this order?","この注文の顧客グループを変更しますか？"
"The VAT ID is valid.","VAT ID番号が無効です"
"The VAT ID entered (%s) is not a valid VAT ID.","VAT番号 (%s) が不正です。"
"The VAT ID is valid. The current Customer Group will be used.","正しいVAT番号です。 現在のグループが使用されます。"
"The VAT ID is valid but no Customer Group is assigned for it.","VAT IDは有効ですが顧客グループがアサインされていません"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","VAT IDに元づいて、顧客は顧客グループ%sに属します。"
"Something went wrong while validating the VAT ID.","VAT ID認証中に問題が発生しました。"
"The customer would belong to Customer Group %s.","顧客は顧客グループ %sに所属します"
"There was an error detecting Customer Group.","顧客グループ削除エラーが起きました。"
"Validate VAT Number","VAT番号検証"
"Customer Login","ログイン"
"Create New Customer Account","新規顧客アカウントを作成"
"Date of Birth","誕生日"
"Bad request.","不正なリクエスト。"
"This confirmation key is invalid or has expired.","確認キーが無効か期限切れです。"
"There was an error confirming the account","アカウントを確認エラーが発生しました。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","あなたが登録済みVAT顧客の場合は、 <a href=""%1"">ここ</a>をクリックして正しいVAT計算のために送り先住所を入力してください。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","あなたが登録済みVAT顧客の場合は;<a href=""%1"">ここ</a>をクリックして正しいVAT計算のために請求先住所を入力してください。"
"Thank you for registering with %1."," %1 を登録していただきありがとうございます"
"Please check your email for confirmation key.","確認キーのためにEメールをチェックしてください。 "
"This email does not require confirmation.","このメールアドレスは確認を必要としません。"
"Wrong email.","間違ったメールアドレス"
"Your password reset link has expired.","パスワード再発行リンクが有効期限切れです。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","アカウントを確認してください。Eメールにて確認リンクを確認するか<a href=""%1"">ここ</a> を新しいリンクのためにクリックしてください。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","このEメールのアカウントがすでに存在します。もしこのEメールアドレスがあなたのものであるなら、<a href=""""%1"""">ここをクリック</a>してパスワードを入手してアカウントにアクセスしてください。"
"We can't save the customer.","顧客を保存できません。"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","あなたが登録済みVAT顧客の場合は、 <a href=""%1"">ここをクリック</a>して正しいVAT計算のために送り先住所を入力してください。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","あなたが登録済みVAT顧客の場合は;<a href=""%1"">ここをクリック</a>して正しいVAT計算のために請求先住所を入力してください。"
"Account Information","アカウント情報"
"You saved the account information.","アカウント情報を保存しました。"
"You did not sign in correctly or your account is temporarily disabled.","正しくサインインしなかったかあなたのアカウントは一時的に無効です"
