"Sign Out","Wyloguj się"
"Sign In","Zaloguj się"
"You are subscribed to our newsletter.","Zapisałeś się do naszego newslettera."
"You aren't subscribed to our newsletter.","Nie zapisałeś/aś się do naszego newslettera."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu wysyłki."
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu płatności."
"Address Book","Książka adresowa"
"Edit Address","Edytuj adres"
"Add New Address","Dodaj nowy adres"
"region","region"
"Create Order","Utwórz zamówienie"
"Save Customer","Zapisz klienta"
"Delete Customer","Usuń tego klienta"
"Reset Password","Zresetuj hasło"
"Are you sure you want to revoke the customer's tokens?","Czy na pewno chcesz unieważnić token użytkownika?"
"Force Sign-In","Wymuś logowanie"
"New Customer","Nowy klient"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Back","Powrót"
"Please select","Proszę wybrać"
"Reset","Resetuj"
"ID","Identyfikator"
"Product","Produkt"
"SKU","SKU"
"Quantity","Ilość"
"Price","Cena"
"Total","Łącznie"
"Action","Operacja"
"Configure","Konfiguruj"
"Delete","Usuń"
"Shopping Cart from %1","Koszyk od %1"
"Newsletter","Newsletter"
"Newsletter Information","Informacje o newsletterze"
"Subscribed to Newsletter","Zamówiona subskrypcja newslettera"
"Last Date Subscribed","Data ostatniej subskrypcji"
"Last Date Unsubscribed","Data ostatniego wypisania z newslettera"
"No Newsletter Found","Nie znaleziono newslettera"
"Start date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Receive Date","Data otrzymania"
"Subject","Temat"
"Status","Stan"
"Sent","Wysłano"
"Cancel","Anuluj"
"Not Sent","Nie wysłane"
"Sending","Wysyłanie"
"Paused","Zatrzymany"
"View","Zobacz"
"Unknown","Nieznany"
"Order","Order"
"Purchased","Zakupiono"
"Bill-to Name","Rachunek na"
"Ship-to Name","Dostawa do"
"Order Total","Podsumowanie"
"Purchase Point","Miejsce zakupu"
"Customer View","Widok klienta"
"There are no items in customer's shopping cart.","Koszyk jest pusty."
"Qty","Ilość"
"Confirmed","Potwierdzony"
"Confirmation Required","Potwierdzenie jest wymagane"
"Confirmation Not Required","Potwierdzenie nie jest wymagane"
"Indeterminate","Nieokreślone"
"The customer does not have default billing address.","Klient nie posiada domyślnego adresu rozliczeniowego."
"Offline","Offline"
"Online","Online"
"Never","Nigdy"
"Unlocked","Odblokowane"
