"Sign Out","Keluar"
"Sign In","Masuk"
"You are subscribed to our newsletter.","Anda berlangganan dengan surat kabar kami."
"You aren't subscribed to our newsletter.","Anda tidak berlangganan dengan surat kabar kami."
"You have not set a default shipping address.","Anda belum menentukan alamat pengiriman standar."
"You have not set a default billing address.","Anda belum menetapkan alamat penagihan Standar."
"Address Book","Buku Alamat"
"Edit Address","Edit alamat"
"Add New Address","Tambahkan alamat baru"
"region","wilayah"
"Create Order","Buat Pesanan"
"Save Customer","Simpan Pelanggan"
"Delete Customer","Hapus Pelanggan"
"Reset Password","Atur ulang Sandi"
"Are you sure you want to revoke the customer's tokens?","Anda yakin ingin mencabut token pelanggan?"
"Force Sign-In","Paksa Masuk"
"New Customer","Pelanggan Baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Back","Kembali"
"Please select","Silahkan pilih"
"Reset","Atur ulang"
"ID","Nomor"
"Product","Produk"
"SKU","SKU"
"Quantity","Kuantitas"
"Price","Harga"
"Total","Jumlah"
"Action","Tindakan"
"Configure","Konfigurasi"
"Delete","Hapus"
"Shopping Cart from %1","Kartu Belanja dari %1"
"Newsletter","Surat kabar"
"Newsletter Information","Informasi Surat kabar"
"Subscribed to Newsletter","Berlangganan Surat kabar"
"Last Date Subscribed","Tanggal Akhir Berlangganan"
"Last Date Unsubscribed","Tanggal Akhir Tidak berlangganan"
"No Newsletter Found","Tidak ada Surat kabar yang Ditemukan"
"Start date","Tanggal mulai"
"End Date","Tanggal Akhir"
"Receive Date","Tanggal Terima"
"Subject","Subjek"
"Status","Keadaan"
"Sent","Kirim"
"Cancel","Batal"
"Not Sent","Jangan Kirim"
"Sending","Mengirim"
"Paused","Berhenti"
"View","Lihat"
"Unknown","Tidak dikenal"
"Order","Order"
"Purchased","Dibeli"
"Bill-to Name","Penagihan-untuk Nama"
"Ship-to Name","Kirim-untuk Nama"
"Order Total","Jumlah Pesanan"
"Purchase Point","Titik pembelian"
"Customer View","Pelanggan Melihat"
"There are no items in customer's shopping cart.","Tidak ada barang dalam troli belanja pelanggan."
"Qty","Jumlah"
"Confirmed","Telah dikonfirmasi"
"Confirmation Required","Konfirmasi Diperlukan"
"Confirmation Not Required","Konfirmasi Tidak Diperlukan"
"Indeterminate","Tidak tetap"
"The customer does not have default billing address.","Pelanggan tidak memiliki alamat penagihan default."
"Offline","Offline"
"Online","Online"
"Never","Jangan pernah"
"Unlocked","Terbuka"
"Locked","Terkunci"
"Deleted Stores","Hapus simpanan"
"Add Locale","Tambahkan Lokal"
"Add Date","Tambah Tanggal"
"Days in Wish List","Daftar Keinginan Hari ini"
"Unlock","Membuka"
"No","Tidak"
"Yes","Ya"
"Delete File","Menghapus File"
"Download","Unduh"
"Delete Image","Hapus gambar"
"View Full Size","Lihat ukuran penuh"
"All countries","Semua negara"
"Customer Groups","Grup pelanggan"
"Add New Customer Group","Tambahkan Grup Pelanggan Baru"
"Save Customer Group","Simpan Grup Pelanggan"
"Delete Customer Group","Menghapus Kelompok Pelanggan"
"New Customer Group","Baru Kelompok Pelanggan"
"Edit Customer Group ""%1""","Atur grup pelanggan ''%1''"
"Group Information","Infomasi grup"
"Group Name","Nama Grup"
"Maximum length must be less then %1 characters.","Panjang maksimum harus kurang dari %1 karakter."
"Tax Class","Kelas pajak"
"The customer is now assigned to Customer Group %s.","Pelanggan sekarang sudah dimasukkan ke dalam Grup Pelanggan %s."
"Would you like to change the Customer Group for this order?","Apakah anda ingin mengubah Kelompok Pelanggan untuk pesanan ini?"
"The VAT ID is valid.","VAT ID benar."
