"Sign Out","प्रस्थान करें"
"Sign In","साइन इन करें"
"You are subscribed to our newsletter.","आप हमारे समाचार पत्र की सदस्यता ले चुके हैं।"
"You aren't subscribed to our newsletter.","आपने हमारे न्यूज़लेटर की सदस्यता नहीं ली है।"
"You have not set a default shipping address.","आपने डिफ़ॉल्ट शिपिंग पता सेट नहीं किया है।"
"You have not set a default billing address.","आपने डिफ़ॉल्ट बिलिंग पता सेट नहीं किया है।"
"Address Book","पता पुस्तिका"
"Edit Address","पता संपादित करें"
"Add New Address","नया पता जोड़ें"
"region","क्षेत्र"
"Create Order","आदेश बनाएँ"
"Save Customer","ग्राहक बचाओ"
"Delete Customer","ग्राहक को हटा दें"
"Reset Password","पासवर्ड रीसेट"
"Are you sure you want to revoke the customer's tokens?","क्या आप वाकई ग्राहक के टोकन रद्द करना चाहते हैं?"
"Force Sign-In","बल साइन-इन"
"New Customer","नए ग्राहक"
"Save and Continue Edit","सहेजें और संपादित करें जारी रखें"
"Back","वापस"
"Please select","कृपया चुने"
"Reset","रीसेट"
"ID","आईडी"
"Product","उत्पाद"
"SKU","SKU"
"Quantity","मात्रा"
"Price","कीमत"
"Total","संपूर्ण"
"Action","कार्य"
"Configure","कॉन्फ़िगर"
"Delete","हटाना"
"Shopping Cart from %1","शॉपिंग कार्ट %1 से"
"Newsletter","समाचार पत्रिका"
"Newsletter Information","समाचार पत्र सूचना"
"Subscribed to Newsletter","न्यूज़लेटर की सदस्यता ली"
"Last Date Subscribed","अंतिम तिथि सदस्यता"
"Last Date Unsubscribed","अंतिम तिथि सदस्यता रद्द"
"No Newsletter Found","कोई न्यूज़लैटर नहीं मिला"
"Start date","आरंभ करने की तिथि"
"End Date","समाप्ति तिथि"
"Receive Date","मिली तिथि"
"Subject","विषय"
"Status","स्थिति"
"Sent","भेज दिया"
"Cancel","रद्द करना"
"Not Sent","नहीं भेजा गया"
"Sending","भेजना"
"Paused","रोके गए"
"View","राय"
"Unknown","अनजान"
"Order","गण"
"Purchased","खरीदी"
"Bill-to Name","बिल-टू नाम"
"Ship-to Name","जहाज का नाम"
"Order Total","कुल आदेश"
"Purchase Point","क्रय बिंदु"
"Customer View","ग्राहक दृश्य"
"There are no items in customer's shopping cart.","ग्राहक की खरीदारी की टोकरी में कोई आइटम नहीं हैं।"
"Qty","मात्रा"
"Confirmed","की पुष्टि"
"Confirmation Required","पुष्टिकरण की आवश्यकता है"
"Confirmation Not Required","पुष्टि आवश्यक नहीं है"
"Indeterminate","दुविधा में पड़ा हुआ"
"The customer does not have default billing address.","ग्राहक के पास डिफ़ॉल्ट बिलिंग पता नहीं है।"
"Offline","ऑफलाइन"
"Online","ऑनलाइन"
"Never","कभी नहीँ"
"Unlocked","खुला"
"Locked","बंद"
"Deleted Stores","हटाए गए स्टोर"
"Add Locale","लोकेल जोड़ें"
"Add Date","दिनांक जोड़ें"
"Days in Wish List","विश लिस्ट में दिन"
"Unlock","अनलॉक"
"No","नहीं"
"Yes","हाँ"
"Delete File","फ़ाइल को हटाएं"
"Download","डाउनलोड"
"Delete Image","छवि हटाएं"
"View Full Size","पूरा आकार देखो"
"All countries","सभी देश"
"Customer Groups","ग्राहक समूह"
"Add New Customer Group","नया ग्राहक समूह जोड़ें"
"Save Customer Group","ग्राहक समूह सहेजें"
"Delete Customer Group","ग्राहक समूह हटाएं"
"New Customer Group","नया ग्राहक समूह"
"Edit Customer Group ""%1""","ग्राहक समूह ""%1"" संपादित करें"
"Group Information","समूह जानकारी"
"Group Name","समूह का नाम"
"Maximum length must be less then %1 characters.","अधिकतम लंबाई कम होनी चाहिए फिर%1 वर्ण।"
"Tax Class","टैक्स कक्षा"
"The customer is now assigned to Customer Group %s.","ग्राहक को अब ग्राहक समूह%s को सौंपा गया है।"
"Would you like to change the Customer Group for this order?","क्या आप इस आदेश के लिए ग्राहक समूह को बदलना चाहेंगे?"
"The VAT ID is valid.","वैट आईडी मान्य है।"
"The VAT ID entered (%s) is not a valid VAT ID.","दर्ज की गई वैट आईडी (%s) वैध वैट आईडी नहीं है।"
"The VAT ID is valid. The current Customer Group will be used.","वैट आईडी मान्य है। वर्तमान ग्राहक समूह का उपयोग किया जाएगा।"
"The VAT ID is valid but no Customer Group is assigned for it.","वैट आईडी मान्य है लेकिन इसके लिए कोई ग्राहक समूह नहीं सौंपा गया है।"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","वैट आईडी के आधार पर, ग्राहक ग्राहक समूह %s के अंतर्गत आता है।"
"Something went wrong while validating the VAT ID.","वैट आईडी को सत्यापित करते समय कुछ गलत हुआ।"
"The customer would belong to Customer Group %s.","ग्राहक ग्राहक समूह %s से संबंधित होगा।"
"There was an error detecting Customer Group.","ग्राहक समूह का पता लगाने में त्रुटि हुई थी।"
"Validate VAT Number","वैट नंबर की पुष्टि करें"
"Customer Login","ग्राहक लॉगिन"
"Create New Customer Account","नया ग्राहक खाता बनाएँ"
"Date of Birth","जन्म की तारीख"
"Bad request.","खराब अनुरोध।"
"This confirmation key is invalid or has expired.","यह पुष्टि कुंजी अमान्य है या समाप्त हो गई है।"
"There was an error confirming the account","खाते की पुष्टि करने में एक त्रुटि हुई"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","यदि आप एक पंजीकृत VAT ग्राहक हैं, तो कृपया उचित VAT गणना के लिए अपना शिपिंग पता दर्ज करने के लिए <a href=""%1""> यहां </a> क्लिक करें।"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","यदि आप एक पंजीकृत वैट ग्राहक हैं, तो कृपया उचित वैट गणना के लिए अपना बिलिंग पता दर्ज करने के लिए <a href=""%1""> यहां </a> क्लिक करें।"
"Thank you for registering with %1.","%1 के साथ पंजीकरण करने के लिए धन्यवाद।"
"Please check your email for confirmation key.","कृपया पुष्टि कुंजी के लिए अपना ईमेल देखें।"
"This email does not require confirmation.","इस ईमेल को पुष्टि की आवश्यकता नहीं है।"
"Wrong email.","गलत ई - मेल।"
"Your password reset link has expired.","आपका पासवर्ड रीसेट लिंक समाप्त हो गया है।"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","आपको अपने खाते की पुष्टि करनी होगी। पुष्टि लिंक के लिए कृपया अपना ईमेल देखें या नए लिंक के लिए <a href=""%1""> यहां क्लिक करें </a>।"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","इस ईमेल पते के साथ एक खाता पहले से ही है। यदि आप सुनिश्चित हैं कि यह आपका ईमेल पता है, तो अपना पासवर्ड प्राप्त करने और अपना खाता एक्सेस करने के लिए <a href=""%1""> यहां क्लिक करें </a>।"
"We can't save the customer.","हम ग्राहक को नहीं बचा सकते।"
"Please make sure your passwords match.","अपने पासवर्ड का मिलान सुनिश्चित करें।"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","यदि आप एक पंजीकृत वैट ग्राहक हैं, तो उचित वैट गणना के लिए अपना शिपिंग पता दर्ज करने के लिए कृपया <a href=""%1""> यहां क्लिक करें </a>।"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","यदि आप एक पंजीकृत वैट ग्राहक हैं, तो उचित VAT गणना के लिए अपना बिलिंग पता दर्ज करने के लिए कृपया <a href=""%1""> यहां क्लिक करें </a>।"
"Account Information","खाते की जानकारी"
"You saved the account information.","आपने खाता जानकारी सहेज ली है।"
"You did not sign in correctly or your account is temporarily disabled.","आपने सही तरीके से साइन इन नहीं किया है या आपका खाता अस्थायी रूप से अक्षम है।"
"Password confirmation doesn't match entered password.","पासवर्ड पुष्टिकरण दर्ज किए गए पासवर्ड से मेल नहीं खाता।"
"The password doesn't match this account.","पासवर्ड इस खाते से मेल नहीं खाता है।"
"Please correct the email address.","कृपया ईमेल पता सही करें।"
"We're unable to send the password reset email.","हम पासवर्ड रीसेट ईमेल भेजने में असमर्थ हैं।"
"Please enter your email.","अपना ईमेल दर्ज करें।"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","यदि %1 से जुड़ा कोई खाता है, तो आपको अपना पासवर्ड रीसेट करने के लिए एक लिंक के साथ एक ईमेल प्राप्त होगा।"
"My Account","मेरा खाता"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","यह खाता पक्का नहीं है। पुष्टिकरण ईमेल को पुनः भेजने के लिए <a href=""%1""> यहां क्लिक करें </a>।"
"An unspecified error occurred. Please contact us for assistance.","अनिर्दिष्ट त्रुटि हुई। कृपया सहायता के लिए हमसे संपर्क करें।"
"A login and a password are required.","एक लॉगिन और एक पासवर्ड की आवश्यकता होती है।"
"New Password and Confirm New Password values didn't match.","नया पासवर्ड और पुष्टि करें नया पासवर्ड मान मेल नहीं खाते।"
"Please enter a new password.","कृपया एक नया पासवर्ड दर्ज करें।"
"You updated your password.","आपने अपना पासवर्ड अपडेट कर दिया है।"
"Something went wrong while saving the new password.","नया पासवर्ड सेव करते समय कुछ गड़बड़ हो गई।"
"You deleted the address.","आपने पता हटा दिया।"
"We can't delete the address right now.","हम अभी पता नहीं हटा सकते हैं।"
"You saved the address.","आपने पता सहेज लिया।"
"We can't save the address.","हम पता नहीं बचा सकते।"
"No customer ID defined.","कोई ग्राहक आईडी परिभाषित नहीं है।"
"Please correct the quote items and try again.","कृपया उद्धरण आइटम सही करें और पुनः प्रयास करें।"
"You have revoked the customer's tokens.","आपने ग्राहक के टोकन रद्द कर दिए हैं।"
"We can't find a customer to revoke.","हमें कोई ग्राहक नहीं मिल सकता है"
"Something went wrong while saving file.","फ़ाइल सहेजते समय कुछ गड़बड़ हो गई।"
"You deleted the customer group.","आपने ग्राहक समूह को हटा दिया।"
"The customer group no longer exists.","ग्राहक समूह अब मौजूद नहीं है।"
"Customers","ग्राहकों"
"New Group","नया समूह"
"New Customer Groups","नए ग्राहक समूह"
"Edit Group","समूह संपादित करें"
"Edit Customer Groups","ग्राहक समूह संपादित करें"
"You saved the customer group.","आपने ग्राहक समूह को बचाया।"
"Please select customer(s).","कृपया ग्राहक चुनें।"
"Customer could not be deleted.","ग्राहक को हटाया नहीं जा सका।"
"You deleted the customer.","आपने ग्राहक को हटा दिया।"
"Something went wrong while editing the customer.","ग्राहक को संपादित करते समय कुछ गलत हुआ।"
"Manage Customers","ग्राहकों को प्रबंधित करें"
"Please correct the data sent.","कृपया भेजे गए डेटा को सही करें।"
"A total of %1 record(s) were updated.","कुल %1 रिकॉर्ड अपडेट किया गया।"
"A total of %1 record(s) were deleted.","कुल %1 रिकॉर्ड नष्ट कर दिया गया।"
"The customer will receive an email with a link to reset password.","ग्राहक को पासवर्ड रीसेट करने के लिए एक लिंक के साथ एक ईमेल प्राप्त होगा।"
"Something went wrong while resetting customer password.","ग्राहक पासवर्ड रीसेट करते समय कुछ गलत हो गया।"
"You saved the customer.","आपने ग्राहक को बचा लिया।"
"Something went wrong while saving the customer.","ग्राहक को बचाते समय कुछ गड़बड़ हुई।"
"Page not found.","पृष्ठ नहीं मिला।"
"Customer has been unlocked successfully.","ग्राहक को सफलतापूर्वक अनलॉक कर दिया गया है।"
"Online Customers","ऑनलाइन ग्राहक"
"Customers Now Online","ग्राहक अब ऑनलाइन"
"Please define Wish List item ID.","कृपया इच्छा सूची आइटम आईडी को परिभाषित करें।"
"Please load Wish List item.","कृपया इच्छा सूची आइटम लोड करें।"
"Login successful.","सफलतापूर्ण प्रवेश।"
"Invalid login or password.","अवैध लॉगइन या पासवर्ड।"
"""%1"" section source is not supported","""%1"" अनुभाग स्रोत समर्थित नहीं है"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 \Magento\Customer\CustomerData\SectionSourceInterface का विस्तार नहीं करता है"
"No confirmation needed.","कोई पुष्टि की जरूरत नहीं है।"
"Account already active","खाता पहले से सक्रिय है"
"Invalid confirmation token","अमान्य पुष्टिकरण टोकन"
"The account is locked.","खाता बंद है।"
"This account is not confirmed.","यह खाता पक्का नहीं है।"
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","""%value"" का अमान्य मान %fieldName फ़ील्ड के लिए प्रदान किया गया। संभावित मान: %template1 या %template2 ।"
