"Sign Out","Esci"
"Sign In","Accedi"
"You are subscribed to our newsletter.","Ti sei iscritto alla nostra newsletter."
"You aren't subscribed to our newsletter.","Non sei iscritto alla nostra newsletter."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"Address Book","Rubrica"
"Edit Address","Modifica l'indirizzo"
"Add New Address","Aggiungi nuovo indirizzo"
"region","regione"
"Create Order","Crea Ordine"
"Save Customer","Salva Cliente"
"Delete Customer","Elimina cliente"
"Reset Password","Reimposta Password"
"Are you sure you want to revoke the customer's tokens?","Sei sicuro di che voler revocare i token del cliente?"
"Force Sign-In","Forza Registrazione"
"New Customer","Nuovo Cliente"
"Save and Continue Edit","Salva e continua modifica"
"Back","Indietro"
"Please select","Seleziona"
"Reset","Reimposta"
"ID","ID"
"Product","Prodotto"
"SKU","Cod.Art."
"Quantity","Quantità"
"Price","Prezzo"
"Total","Totale"
"Action","Azione"
"Configure","Configura"
"Delete","Elimina"
"Shopping Cart from %1","Carrello da %1"
"Newsletter","Newsletter"
"Newsletter Information","Informazioni Newsletter"
"Subscribed to Newsletter","Iscritto alla Newsletter"
"Last Date Subscribed","Data dell'ultimo iscritto"
"Last Date Unsubscribed","Data ultimo disiscritto"
"No Newsletter Found","Nessuna newsletter trovata"
"Start date","Data Inizio"
"End Date","Data Fine"
"Receive Date","Data Ricezione"
"Subject","Oggetto"
"Status","Stato"
"Sent","Inviato"
"Cancel","Annulla"
"Not Sent","Non Inviato"
"Sending","Invio in corso"
"Paused","Sospeso"
"View","Mostra"
"Unknown","Sconosciuto"
"Order","Ordine"
"Purchased","Acquistato"
"Bill-to Name","Fattura intestata a"
"Ship-to Name","Nome Destinatario"
"Order Total","Totale ordine"
"Purchase Point","Punto di acquisto"
"Customer View","Vista Cliente"
"There are no items in customer's shopping cart.","Non ci sono articoli nel carrello del cliente."
"Qty","Qtà"
"Confirmed","Confermato"
"Confirmation Required","Conferma obbligatoria"
"Confirmation Not Required","Conferma non obbligatoria"
"Indeterminate","Indeterminato"
"The customer does not have default billing address.","Il cliente non dispone di un indirizzo di fatturazione predefinito."
"Offline","Offline"
"Online","Online"
"Never","Mai"
"Unlocked","Sbloccato"
"Locked","Bloccato"
"Deleted Stores","Negozi cancellati"
"Add Locale","Aggiungi localizzazione"
"Add Date","Aggiungi data"
"Days in Wish List","Giorni nella lista desideri"
"Unlock","Sblocca"
"No","No"
"Yes","Sì"
"Delete File","Elimina File"
"Download","Scarica"
"Delete Image","Elimina immagine"
"View Full Size","Vedi a grandezza intera"
"All countries","Tutti i Paesi"
"Customer Groups","Gruppi cliente"
"Add New Customer Group","Aggiungi nuovo gruppo clienti"
"Save Customer Group","Salva Gruppo clienti"
"Delete Customer Group","Elimina gruppo clienti"
"New Customer Group","Nuovo gruppo clienti"
"Edit Customer Group ""%1""","Modifica gruppo clienti ""%1"""
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Maximum length must be less then %1 characters.","La lunghezza massima deve essere minore di %1 caratteri."
"Tax Class","Classe Tassa"
"The customer is now assigned to Customer Group %s.","Il cliente è ora assegnato al gruppo clienti %s."
"Would you like to change the Customer Group for this order?","Vuoi cambiare il gruppo cliente per questo ordine?"
"The VAT ID is valid.","La partita IVA è valida."
"The VAT ID entered (%s) is not a valid VAT ID.","La partita IVA inserita (%s) non è una partita IVA valida."
"The VAT ID is valid. The current Customer Group will be used.","La partita IVA è valida. Verrà utilizzato il gruppo cliente corrente."
"The VAT ID is valid but no Customer Group is assigned for it.","La partita IVA è valida, ma non vi è nessun gruppo cliente è associato."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","In base alla partita IVA, il cliente appartiene al gruppo clienti %s."
"Something went wrong while validating the VAT ID.","Qualcosa è andato storto durante la convalida della partita IVA."
"The customer would belong to Customer Group %s.","Il cliente apparterrebbe al gruppo clienti %s."
"There was an error detecting Customer Group.","Si è verificato un errore durante l'individuazione del gruppo cliente."
"Validate VAT Number","Convalida partita IVA"
"Customer Login","Login cliente"
"Create New Customer Account","Crea nuovo account cliente"
"Date of Birth","Data di nascita"
"Bad request.","Richiesta non valida."
"This confirmation key is invalid or has expired.","Questa chiave di conferma non è valida oppure è scaduta."
"There was an error confirming the account","Si è verificato un errore confermando l'account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di spedizione per il calcolo corretto delle tasse."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di fatturazione per il calcolo corretto delle tasse."
"Thank you for registering with %1.","Grazie per esserti registrato con %1."
"Please check your email for confirmation key.","Controlla la tua email per la chiave di conferma."
"This email does not require confirmation.","Questa email non richiede la conferma."
"Wrong email.","Email errata."
"Your password reset link has expired.","Il link per il reset della password è scaduto."
