"Sign Out","Keluar"
"Sign In","Masuk"
"You are subscribed to our newsletter.","Anda berlangganan newsletter kami."
"You aren't subscribed to our newsletter.","Anda tidak berlangganan newsletter kami."
"You have not set a default shipping address.","Anda belum menetapkan alamat pengiriman bawaan."
"You have not set a default billing address.","Anda belum menetapkan alamat penagihan bawaan."
"Address Book","Buku alamat"
"Edit Address","Edit alamat"
"Add New Address","Tambahkan alamat baru"
"region","wilayah"
"Create Order","Buat Pesanan"
"Save Customer","Simpan Pelanggan"
"Delete Customer","Hapus Pelanggan"
"Reset Password","Setel Ulang Kata Sandi"
"Are you sure you want to revoke the customer's tokens?","Apakah anda yakin untuk mencabut token pelanggan?"
"Force Sign-In","Paksa Masuk"
"New Customer","Pelanggan baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Back","Kembali"
"Please select","Silahkan pilih"
"Reset","Mulai ulang"
"ID","Id"
"Product","Produk"
"SKU","SKU"
"Quantity","Kualitas"
"Price","Harga"
"Total","Jumlah"
"Action","Aksi"
"Configure","Konfigurasikan"
"Delete","Menghapus"
"Shopping Cart from %1","Daftar Belanja dari %1"
"Newsletter","Buletin"
"Newsletter Information","Buletin Informasi"
"Subscribed to Newsletter","Berlangganan Buletin"
"Last Date Subscribed","Tanggal Berakhir Berlangganan"
"Last Date Unsubscribed","Tanggal terakhir tidak berlangganan"
"No Newsletter Found","Tidak ada Buletin yang Ditemukan"
"Start date","Mulai tanggal"
"End Date","Tanggal akhir"
"Receive Date","Terima tanggal"
"Subject","Subyek"
"Status","Subjek"
"Sent","Dikirim"
"Cancel","Membatalkan"
"Not Sent","Tidak terkirim"
"Sending","Mengirim"
"Paused","Dijeda"
"View","Melihat"
"Unknown","Tidak diketahui"
"Order","Memesan"
"Purchased","Dibeli"
"Bill-to Name","Pembayaran-kepada Nama"
"Ship-to Name","Kapal ke Nama"
"Order Total","Jumlah pesanan"
"Purchase Point","Titik pembelian"
"Customer View","Tampilan pelanggan"
"There are no items in customer's shopping cart.","Tidak ada barang di keranjang belanja pelanggan."
"Qty","Jml"
"Confirmed","Dikonfirmasi"
"Confirmation Required","Konfirmasi Diperlukan"
"Confirmation Not Required","Konfirmasi Tidak Diperlukan"
"Indeterminate","Tak tentu"
"The customer does not have default billing address.","Pelanggan tidak memiliki alamat penagihan bawaan."
"Offline","Offline"
"Online","On line"
"Never","Tak pernah"
"Unlocked","Tidak Terkunci"
"Locked","Terkunci"
"Deleted Stores","Toko yang Dihapus"
"Add Locale","Tambahkan Lokal"
"Add Date","Tambah Tanggal"
"Days in Wish List","Hari di daftar keinginan"
"Unlock","Membuka kunci"
"No","Tak"
"Yes","Iya"
"Delete File","Menghapus berkas"
"Download","Download"
"Delete Image","Hapus gambar"
"View Full Size","Lihat dalam ukuran penuh"
"All countries","Semua negara"
"Customer Groups","Kelompok pelanggan"
"Add New Customer Group","Tambahkan Grup Pelanggan Baru"
"Save Customer Group","Simpan Grup Pelanggan"
"Delete Customer Group","Hapus Grup Pelanggan"
"New Customer Group","Grup Pelanggan Baru"
"Edit Customer Group ""%1""","Edit Grup Pelanggan "" %1 """
"Group Information","Informasi Grup"
"Group Name","Nama grup"
"Maximum length must be less then %1 characters.","Panjang maksimum harus kurang dari %1 karakter."
"Tax Class","Kelas pajak"
