"Sign Out","වරන්න"
"Sign In","පුරන්න"
"You are subscribed to our newsletter.","ඔබ අපගේ පුවත් පත්‍රිකාවට දායක වී ඇත."
"You aren't subscribed to our newsletter.","ඔබ අපගේ පුවත් පත්‍රිකාවට දායක වී නැත."
"You have not set a default shipping address.","ඔබ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් සකසා නැත."
"You have not set a default billing address.","ඔබ පෙරනිමි බිල්පත් ලිපිනයක් සකසා නැත."
"Address Book","ලිපින පොත"
"Edit Address","ලිපිනය සංස්කරණය කරන්න"
"Add New Address","නව ලිපිනය එක් කරන්න"
"region","කලාපයේ"
"Create Order","ඇණවුම සාදන්න"
"Save Customer","පාරිභෝගිකයා සුරකින්න"
"Delete Customer","පාරිභෝගිකයා මකන්න"
"Reset Password","මුරපදය නැවත සකසන්න"
"Are you sure you want to revoke the customer's tokens?","ඔබට පාරිභෝගිකයාගේ ටෝකන අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Force Sign-In","බලෙන් පුරනය වන්න"
"New Customer","නව පාරිභෝගිකයා"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Back","ආපසු"
"Please select","කරුණාකර තෝරන්න"
"Reset","යළි පිහිටුවන්න"
"ID","හැඳුනුම්පත"
"Product","නිෂ්පාදන"
"SKU","SKU"
"Quantity","ප්රමාණය"
"Price","මිල"
"Total","සමස්ත"
"Action","කටයුතු"
"Configure","වින්‍යාස කරන්න"
"Delete","මකන්න"
"Shopping Cart from %1","සාප්පු කරත්තය %1සිට"
"Newsletter","පුවත් පත්‍රිකාව"
"Newsletter Information","පුවත් පත්‍රිකා තොරතුරු"
"Subscribed to Newsletter","පුවත් පත්‍රිකාවට දායක විය"
"Last Date Subscribed","දායක වූ අවසන් දිනය"
"Last Date Unsubscribed","අවසන් දිනය දායකත්වයෙන් ඉවත් විය"
"No Newsletter Found","පුවත් පත්‍රිකාවක් හමු නොවිණි"
"Start date","ආරම්භක දිනය"
"End Date","අවසාන දිනය"
"Receive Date","ලැබෙන දිනය"
"Subject","විෂය"
"Status","තත්ත්වය"
"Sent","යවා ඇත"
"Cancel","අවලංගු කරන්න"
"Not Sent","යවා නැත"
"Sending","යවනවා"
"Paused","විරාම කළා"
"View","දැක්ම"
"Unknown","නොදන්නා"
"Order","Order"
"Purchased","මිලදී ගත්තා"
"Bill-to Name","නමට බිල්පත්"
"Ship-to Name","නමට නැව්ගත කරන්න"
"Order Total","මුළු ඇණවුම"
"Purchase Point","මිලදී ගැනීමේ ස්ථානය"
"Customer View","පාරිභෝගික දැක්ම"
