"Sign Out","ಸೈನ್ ಔಟ್"
"Sign In","ಸೈನ್ ಇನ್"
"You are subscribed to our newsletter.","ನಮ್ಮ ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ನೀವು ಚಂದಾದಾರರಾಗಿದ್ದೀರಿ."
"You aren't subscribed to our newsletter.","ನಮ್ಮ ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ನೀವು ಚಂದಾದಾರರಾಗಿಲ್ಲ."
"You have not set a default shipping address.","ನೀವು ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಅಳವಡಿಸಿಲ್ಲ."
"You have not set a default billing address.","ನೀವು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಅಳವಡಿಸಿಲ್ಲ."
"Address Book","ವಿಳಾಸ ಪಟ್ಟಿ"
"Edit Address","ವಿಳಾಸವನ್ನು ಸಂಪಾದಿಸಿ"
"Add New Address","ಹೊಸ ವಿಳಾಸವನ್ನು ಸೇರಿಸಿ"
"region","ಪ್ರದೇಶ"
"Create Order","ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Save Customer","ಗ್ರಾಹಕರನ್ನು ಉಳಿಸಿ"
"Delete Customer","ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಿ"
"Reset Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","ಹೊಸ ಗ್ರಾಹಕರು"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Back","ಹಿಂದೆ"
"Please select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"ID","ID"
"Product","ಉತ್ಪನ್ನ"
"SKU","SKU"
"Quantity","ಪರಿಮಾಣ"
"Price","ದರ"
"Total","ಒಟ್ಟು"
"Action","ಕ್ರಿಯೆ"
"Configure","ಸಂರಚಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Shopping Cart from %1","%1 ರಿಂದ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆ"
"Newsletter Information","ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾಹಿತಿ"
"Subscribed to Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ಚಂದಾದಾರರಾಗಿದ್ದೀರಿ"
"Last Date Subscribed","ಚಂದಾದಾರರಾದ ಕೊನೆಯ ದಿನಾಂಕ"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","ಯಾವುದೇ ಸುದ್ದಿಪತ್ರಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ"
