"Sign Out","Logga ut"
"Sign In","Logga in"
"You are subscribed to our newsletter.","Du prenumererar på vårt nyhetsbrev."
"You aren't subscribed to our newsletter.","Du prenumerera inte på vårt nyhetsbrev."
"You have not set a default shipping address.","Du måste fylla i en leveransadress."
"You have not set a default billing address.","Du måste fylla i en fakturaadress."
"Address Book","Adressbok"
"Edit Address","Redigera adress"
"Add New Address","Lägg till ny adress"
"Customer not logged in","Customer not logged in"
"region","region"
"Create Order","Skapa Order"
"Save Customer","Spara kund"
"Delete Customer","Radera kund"
"Reset Password","Återställ lösenord"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Tvinga inloggning"
"New Customer","Ny kund"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Cancel","Avbryt"
"Delete","Ta bort"
"Save","Spara"
"Back","Tillbaka"
"Please select","Vänligen välj"
"Reset","Återställ"
"ID","ID"
"Product","Produkt"
"SKU","Art.nr"
"Quantity","Antal"
"Price","Pris"
"Total","Summa"
"Action","Åtgärd"
"Configure","Konfigurera"
"Shopping Cart from %1","Kundvagn från %1"
"Newsletter","Nyhetsbrev"
"Newsletter Information","Nyhetsbrevsinformation"
"Subscribed to Newsletter","Prenumererar på nyhetsbrev"
"Subscribed on Store View","Subscribed on Store View"
"Last Date Subscribed","Datum för senaste prenumerationen"
"Last Date Unsubscribed","Datum för senaste avprenumerationen"
"No Newsletter Found","Inget nyhetsbrev hittades"
"Start date","Startdatum"
"End Date","Slutdatum"
"Receive Date","Mottogs Datum"
"Subject","Ämne"
"Store View","Butiksvy"
"Status","Status"
"Sent","Skickat"
"Not Sent","Inte skickat"
"Sending","Skickar"
"Paused","Pausad"
"View","Visa"
"Unknown","Okänd"
"Order #","Order #"
"Purchased","Köpt"
"Bill-to Name","Fakturamottagarens namn"
"Ship-to Name","Mottagarnamn"
"Order Total","Ordersumma"
"Purchase Point","Beställningspunkt"
"Customer View","Kundvy"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Antal"
"Confirmed","Bekräftad"
"Confirmation Required","Bekräftelse krävs"
"Confirmation Not Required","Bekräftelse krävs inte"
"Indeterminate","Obestämd"
"The customer does not have default billing address.","Kunden har ingen förvald faktureringsadress."
"Offline","Offline"
"Online","Online"
"Never","Aldrig"
"Unlocked","Olåst"
"Locked","Låst"
"Deleted Stores","Borttagna butiker"
"Add Locale","Lägg till Locale"
"Add Date","Lägg till datum"
"Days in Wish List","Dagar i önskelista"
"Unlock","Lås upp"
"No","Nej"
"Yes","Ja"
"Delete File","Radera fil"
"Download","Ladda ner"
"Delete Image","Radera bild"
"View Full Size","Visa full storlek"
"Website","Website"
"Subscribed","Subscribed"
"Last Updated At","Last Updated At"
"All countries","Alla länder"
"Customer Groups","Kundgrupper"
"Add New Customer Group","Lägg till ny kundgrupp"
"Save Customer Group","Spara kundgrupp"
"Delete Customer Group","Ta bort kundgrupp"
"New Customer Group","Ny kundgrupp"
"Edit Customer Group ""%1""","Redigera kundgrupp ""%1"""
"Group Information","Gruppinformation"
"Group Name","Gruppnamn"
"Maximum length must be less then %1 characters.","Maximal längd måste vara mindre än %1 tecken."
"Tax Class","Momsklass"
"Excluded Website(s)","Excluded Website(s)"
"Select websites you want to exclude from this customer group.","Select websites you want to exclude from this customer group."
"The customer is now assigned to Customer Group %s.","Kunden har nu med i gruppen %s."
"Would you like to change the Customer Group for this order?","Vill du ändra kundgruppen för ordern?"
"The VAT ID is valid.","Momsregistreringsnumret är giltigt."
"The VAT ID entered (%s) is not a valid VAT ID.","Det Momsregistreringsnummer som angavs (%s) är inte ett giltigt Momsregistreringsnummer."
"The VAT ID is valid. The current Customer Group will be used.","Momsregistreringsnummer är giltigt. Befintlig kundgrupp kommer att användas."
"The VAT ID is valid but no Customer Group is assigned for it.","Momsregistreringsnumret är giltigt men ingen kundgrupp har tilldelas till det."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Baserat på organisationsnumret, tillhör kunden kundgruppen %s."
"Something went wrong while validating the VAT ID.","Något gick fel vid valideringen av momsregistreringsnumret."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validera momsregistreringsnummer"
"Date of Birth","Födelsedag"
"Done","Done"
"Prev","Prev"
"Next","Next"
"Today","Today"
"Bad request.","Felaktig förfrågan."
"This confirmation key is invalid or has expired.","Denna bekräftelsenyckel är ogiltigt eller har löpt ut."
"There was an error confirming the account","Det uppstod ett fel när kontot skulle bekräftas"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Om du är en momsregistrerad kund, vänligen klicka <a href=""%1"">här</a> för att fylla i din leveransadress och få en korrekt momsberäkning."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Om du är en momsregistrerad kund, vänligen klicka <a href=""%1"">här</a> för att fylla i din faktureringsadress och få en korrekt momsberäkning."
"Thank you for registering with %1.","Tack för din registrering hos %1."
"Please check your email for confirmation key.","Kontrollera din e-post efter en bekräftelsekod."
"This email does not require confirmation.","Detta mail kräver inte bekräftelse."
"Wrong email.","Fel e-post."
"Your password reset link has expired.","Din länk för återställning av lösenord har gått ut."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Om du är en momsregistrerad kund, <a href=""%1"">klicka här</a> för att fylla i din leveransadress och få en korrekt momsberäkning."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Om du är en momsregistrerad kund, <a href=""%1"">klicka här</a> för att fylla i din fakturaadress och få en korrekt momsberäkning."
"You saved the account information.","Du sparade kontoinformationen."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"Password confirmation doesn't match entered password.","Lösenorden stämmer inte överens."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Ange din e-post."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Om det finns ett konto kopplat till %1 får du ett e-postmeddelande med en länk för att återställa ditt lösenord."
"An unspecified error occurred. Please contact us for assistance.","Ett okänt fel har inträffat. Kontakta oss för hjälp."
"A login and a password are required.","Användarnamn och lösenord krävs."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"Please enter a new password.","Ange ett nytt lösenord."
"You updated your password.","Du uppdaterade ditt lösenord."
"Something went wrong while saving the new password.","Something went wrong while saving the new password."
"You deleted the address.","Du tog bort adressen."
"We can't delete the address right now.","We can't delete the address right now."
"No files for upload.","No files for upload."
"Address not found.","Address not found."
"You saved the address.","Du sparade adressen."
"We can't save the address.","We can't save the address."
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Page not found.","Sidan kunde inte hittas."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","Du tog bort kundgruppen."
"The customer group no longer exists.","Kundgruppen finns inte längre."
"Customers","Kunder"
"New Group","Ny grupp"
"New Customer Groups","Nya kundgrupper"
"Edit Group","Redigera grupp"
"Edit Customer Groups","Redigera kundgrupper"
"You saved the customer group.","Du sparade kundgruppen."
"Please select customer(s).","Välj kund(er)."
"Customer could not be deleted.","Kunden kunde inte raderas."
"You deleted the customer.","Du tog bort kunden."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
"Manage Customers","Hantera kunder"
"Please correct the data sent.","Vänligen korrigera datan som skickats."
"A total of %1 record(s) were updated.","Totalt %1 post(er) har uppdaterats."
"A total of %1 record(s) were deleted.","Totalt %1 post(er) raderades."
"The customer will receive an email with a link to reset password.","Kunden får ett e-postmeddelande med en länk för att återställa lösenordet."
"Something went wrong while resetting customer password.","Something went wrong while resetting customer password."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","The Store View selected for sending Welcome email from is not related to the customer's associated website."
"You saved the customer.","Du sparade kunden."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Kunder online"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"Invalid login or password.","Felaktigt användarnamn eller lösenord."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"The account is locked.","Detta konto är låst."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Ange ett lösenord med högst %1 tecken."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Du måste minst ha %1 olika typer av tecken i lösenordet. Till teckentyper räknas: gemener, versaler, siffror och specialtecken."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"This customer already exists in this store.","Denna kund finns redan i denna butik."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"The store view is not in the associated website.","The store view is not in the associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Ogiltigt värde för ""%value"" för fältet %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"Provided customer ID ""%customer_id"" isn't related to current customer address.","Provided customer ID ""%customer_id"" isn't related to current customer address."
"""%1"" is a required value.","""%1"" är ett obligatoriskt värde."
"Global","Global"
"Per Website","Per webbplats"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Faktureringsadress"
"Shipping Address","Leveransadress"
"-- Please Select --","--Vänligen välj--"
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"Admin","Admin"
"ALL GROUPS","ALLA GRUPPER"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Ingen entitet med %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Filen kan inte sparas till målmappen."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Reset password token expired.","Reset password token expired."
"No such entity with rp_token = %value","No such entity with rp_token = %value"
"Attribute object is undefined","Attributobjekt är inte definierad"
"""%1"" invalid type entered.","""%1"" ogiltig typ angiven."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" innehåller icke-alfabetiska eller icke-numeriska tecken."
"""%1"" is an empty string.","""%1"" är en tom sträng."
"""%1"" contains non-numeric characters.","""%1"" innehåller icke-numeriska tecken."
"""%1"" contains non-alphabetic characters.","""%1"" innehåller icke-alfabetiska tecken."
"""%1"" is not a valid email address.","""%1"" är inte en giltig emailadress."
"""%1"" is not a valid hostname.","""%1"" är inte ett giltigt värdnamn."
"""%1"" uses too many characters.","""%1"" använder för många tecken."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ser ut som en IP-adress, vilket inte är ett godtagbart format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' ser ut som ett DNS-värdnamn men innehåller ett bindestreck på en ogiltig position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ser ut som ett DNS-värdnamn, men vi kan inte matcha det mot värdnamnets schema för toppdomän '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ser ut som ett DNS-värdnamn men kan inte extrahera toppdomän."
"'%value%' does not look like a valid local network name.","'%value%' ser inte ut som ett giltigt lokalt nätverksnamn."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ser ut som ett lokalt nätverksnamn, vilket inte är ett godtagbart format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" är inte en giltig webbadress."
"""%1"" is not a valid date.","""%1"" är inte ett giltigt datum."
"""%1"" does not fit the entered date format.","""%1"" passar inte det angivna datumformatet."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Could not delete customer group website with ID: %1","Could not delete customer group website with ID: %1"
"Could not save customer group website to exclude with ID: %1","Could not save customer group website to exclude with ID: %1"
"label","etikett"
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"The specified customer group id does not exist.","The specified customer group id does not exist."
"Customer Group","Kundgrupp"
"You can't delete group ""%1"".","You can't delete group ""%1""."
"Could not save customer group website to exclude from customer group: ""%1""","Could not save customer group website to exclude from customer group: ""%1"""
"Could not retrieve excluded customer group websites by customer group: ""%1""","Could not retrieve excluded customer group websites by customer group: ""%1"""
"Could not retrieve all excluded customer group websites.","Could not retrieve all excluded customer group websites."
"Could not delete customer group with its excluded websites.","Could not delete customer group with its excluded websites."
"Could not delete customer group excluded website by id.","Could not delete customer group excluded website by id."
"Customer Group already exists.","Kundgruppen finns redan."
"Cannot delete group.","Cannot delete group."
"The session has expired, please login again.","The session has expired, please login again."
"Something went wrong.","Something went wrong."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Please enter a valid VAT number."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"This website is excluded from customer's group.","This website is excluded from customer's group."
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Man"
"Female","Kvinna"
"Not Specified","Inte angivet"
"NoSuchEntityException","NoSuchEntityException"
"EmailNotConfirmedException","EmailNotConfirmedException"
"AuthenticationException","AuthenticationException"
"UserLockedException","UserLockedException"
"InputException","InputException"
"Exception message","Undantagsmeddelandet"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","några fel"
"Street","Street"
"frontend_label","Frontend_märkning"
"NOT LOGGED IN","INTE INLOGGAD"
"File with an extension php is protected and cannot be uploaded","File with an extension php is protected and cannot be uploaded"
"Please enter the state/province.","Ange region."
"region is a required field.","region is a required field."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Customer does not exist","Customer does not exist"
