"Sign Out","Изход"
"Sign In","Вход"
"You are subscribed to our newsletter.","Вие се записахте за нашия бюлетин."
"You aren't subscribed to our newsletter.","Не сте се абонирал за нашият бюлетин."
"You have not set a default shipping address.","Не сте задали адрес за доставка по подразбиране."
"You have not set a default billing address.","Не сте задали основен адрес за плащане."
"Address Book","Адресна книга"
"Edit Address","Промени адрес"
"Add New Address","Добави нов адрес"
"region","регион"
"Create Order","Създай поръчка"
"Save Customer","Запази клиент"
"Delete Customer","Изтрий клиент"
"Reset Password","Нулирай парола"
"Are you sure you want to revoke the customer's tokens?","Наистина искате да отнемете на клиента точки?"
"Force Sign-In","Принудително влизане"
"New Customer","Нов клиент"
"Save and Continue Edit","Запази и продължи редактиране"
"Back","Обратно"
"Please select","Моля изберете"
"Reset","Изчисти"
"ID","ИД"
"Product","Продукт"
"SKU","Кат. номер"
"Quantity","Количество: "
"Price","Цена"
"Total","Общо"
"Action","Действие"
"Configure","Конфигуриране на"
"Delete","Изтрий"
"Shopping Cart from %1","Пазарска количка от %1"
"Newsletter","Бюлетин"
"Newsletter Information","Информация от бюлетина"
"Subscribed to Newsletter","Записан за бюлетин"
"Last Date Subscribed","Последна дата на записване"
"Last Date Unsubscribed","Последна дата на отписване"
"No Newsletter Found","Няма намерен бюлетин"
"Start date","Начална дата"
"End Date","Крайна дата"
"Receive Date","Дата на получаване"
"Subject","Предмет"
"Status","Статус"
"Sent","Изпратен"
"Cancel","Отказ"
"Not Sent","Не е изпратен"
"Sending","В процес на изпращане"
"Paused","Паузиран"
"View","Преглед"
"Unknown","Непознат"
"Order","Поръчка"
"Purchased","Закупен"
"Bill-to Name","Фактурирай на Име"
"Ship-to Name","Достави на Име"
"Order Total","Поръчка общо"
"Purchase Point","Точка на покупка"
"Customer View","Изглед на клиента"
"There are no items in customer's shopping cart.","Няма елементи в клиентската количка."
"Qty","Кол-во"
"Confirmed","Потвърден"
"Confirmation Required","Изисква се потвърждение"
"Confirmation Not Required","Не се изисква потвърждение"
"Indeterminate","Неопределен"
"The customer does not have default billing address.","Клиента няма зададен адрес по подразбиране."
"Offline","Офлайн"
"Online","Онлайн"
"Never","Никога"
"Unlocked","Отключен"
"Locked","Заключен"
"Deleted Stores","Изтрити Магазини"
"Add Locale","Добавяне на езикова променлива"
"Add Date","Добавяне на дата"
"Days in Wish List","Дни в Списък с желани продукти"
"Unlock","Отключи"
"No","Не"
"Yes","Да"
"Delete File","Изтрий файла"
"Download","Смъкни"
"Delete Image","Изтрий изображението"
"View Full Size","Виж в цял размер"
"All countries","Всички държави"
"Customer Groups","Клиентски групи"
"Add New Customer Group","Добави нова група клиенти"
"Save Customer Group","Запази групата с клиенти"
"Delete Customer Group","Изтрий групата с клиенти"
"New Customer Group","Нова група с клиенти"
"Edit Customer Group ""%1""","Промени групата с клиенти ""%1"""
"Group Information","Информация за групата"
"Group Name","Име на групата"
"Maximum length must be less then %1 characters.","Максималната дължина трябва да бъде по-малко от %1 символа."
"Tax Class","Вид ДДС"
"The customer is now assigned to Customer Group %s.","Този клиент е записан към група с клиенти %s."
"Would you like to change the Customer Group for this order?","Искате ли да промените групата с клиенти за тази поръчка?"
"The VAT ID is valid.","Булстата е валиден."
"The VAT ID entered (%s) is not a valid VAT ID.","Вписания Булстат (%s) не е валиден."
"The VAT ID is valid. The current Customer Group will be used.","Булстата е валиден. Ще бъде използвана текущата група с клиенти."
"The VAT ID is valid but no Customer Group is assigned for it.","Булстата е валиден, но няма записана група с клиенти към него."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Базирано на Булстата, клиента принадлежи към група с клиенти %s."
"Something went wrong while validating the VAT ID.","Нещо се обърка докато валидирахме Булстата."
"The customer would belong to Customer Group %s.","Клиента ще принадлежи към група с клиенти %s."
"There was an error detecting Customer Group.","Възникна грешка при търсенето на група с клиенти."
"Validate VAT Number","Валидирай Булстата"
"Customer Login","Вход"
"Create New Customer Account","Регистрация"
"Date of Birth","Дата на раждане"
"Bad request.","Неправилно поискване."
"This confirmation key is invalid or has expired.","Ключът за потвърждение е невалиден или изтекъл."
"There was an error confirming the account","Възника грешка при потвърждаването на сметката"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Ако сте регистрирали ДДС клиент, моля <a href=""%1"">кликнете тук</a> за да въведете адреса за доставка за коректно изчисление на ДДС."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Ако сте регистриран по Булстат клиенти моля кликнет на k <a href=""%1"">here</a> за да въведете адрес за доставка за точно изчисляване на данъка"
"Thank you for registering with %1.","Благодаря ви, че се регистрирахте с  %1."
"Please check your email for confirmation key.","Моля проверете вашия имейл за ключа за потвърждение."
"This email does not require confirmation.","Този имейл не изисква потвърждение."
"Wrong email.","Грешен имейл."
"Your password reset link has expired.","Вашият линк за обновяване на паролата е изтекъл."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Трябва да потвърдите вашия профил. Моля проверете имейла си за линк за потвърждение или <a href=""%1"">кликнете тук</a> за да получите нов линк."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Вече съществува профил с този имейл. Ако сте сигурни, че това е Вашият имейл адрес, <a href=""%1"">кликнете тук</a> за да получите нова парола за достъп до профила си."
"We can't save the customer.","Не може да запише клиента."
"Please make sure your passwords match.","Моля уверете се, че паролите съвпадат."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Ако сте регистриран клиент ДДС, моля <a href=""%1""> Щракнете тук</a>, за да въведете вашата доставка адрес за правилното изчисляване на ДДС."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Ако сте регистриран клиент ДДС, моля <a href=""%1""> Щракнете тук</a>, за да въведете вашите Билинг адрес за правилното изчисляване на ДДС."
"Account Information","Информация за профила"
"You saved the account information.","Вие запазихте информацията за профила."
"You did not sign in correctly or your account is temporarily disabled.","Не сте влезли правилно или вашия акаунт е временно забранен."
"Password confirmation doesn't match entered password.","Потвърждението на паролата не съответсва на вписаната парола."
"The password doesn't match this account.","Паролата не съвпада с този акаунт."
"Please correct the email address.","Моля, коригирайте имейл адреса."
"We're unable to send the password reset email.","Не може да изпрати имейл за възстановяване на паролата."
