"Sign Out","સાઇન આઉટ કરો"
"Sign In","સાઇન ઇન કરો"
"You are subscribed to our newsletter.","તમે અમારા ન્યૂઝલેટર પર સબ્સ્ક્રાઇબ કર્યું છે."
"You aren't subscribed to our newsletter.","તમે અમારા ન્યૂઝલેટર પર સબ્સ્ક્રાઇબ કર્યું નથી."
"You have not set a default shipping address.","તમે ડિફોલ્ટ શિપિંગ સરનામું સેટ કર્યું નથી."
"You have not set a default billing address.","તમે ડિફૉલ્ટ બિલિંગ સરનામું સેટ કર્યું નથી."
"Address Book","સરનામા પુસ્તિકા"
"Edit Address","સરનામું સંપાદિત કરો"
"Add New Address","નવું સરનામું ઉમેરો"
"region","પ્રદેશ"
"Create Order","ઓર્ડર બનાવો"
"Save Customer","ગ્રાહક સાચવો"
"Delete Customer","ગ્રાહક કાઢી નાખો"
"Reset Password","પાસવર્ડ ફરીથી સેટ કરો"
"Are you sure you want to revoke the customer's tokens?","શું તમે ખરેખર ગ્રાહકના ટોકન્સને રદ કરવા માંગો છો?"
"Force Sign-In","ફોર્સ સાઇન ઇન કરો"
"New Customer","નવો ગ્રાહક"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Back","પાછા"
"Please select","મહેરબાની કરી, પસંદ કરો"
"Reset","ફરીથી સેટ કરો"
"ID","આઇડી"
"Product","ઉત્પાદન"
"SKU","એસકેયુ"
"Quantity","જથ્થો"
"Price","કિંમત"
"Total","કુલ"
"Action","ક્રિયા"
"Configure","રૂપરેખાંકિત કરો"
"Delete","કાઢી નાખો"
"Shopping Cart from %1","શોપિંગ કાર્ટ %1 થી"
"Newsletter","ન્યૂઝલેટર"
"Newsletter Information","ન્યૂઝલેટર માહિતી"
"Subscribed to Newsletter","ન્યૂઝલેટર સબ્સ્ક્રાઇબ કર્યું"
"Last Date Subscribed","છેલ્લી તારીખ સબ્સ્ક્રાઇબ કરેલ"
"Last Date Unsubscribed","છેલ્લી તારીખ અનસબ્સ્ક્રાઇબ કર્યું"
"No Newsletter Found","કોઈ ન્યૂઝલેટર મળ્યું નથી"
"Start date","પ્રારંભ તારીખ"
"End Date","અંતિમ તારીખ"
"Receive Date","તારીખ પ્રાપ્ત કરો"
"Subject","વિષય"
"Status","સ્થિતિ"
"Sent","મોકલેલ"
"Cancel","રદ કરો"
"Not Sent","મોકલ્યો નથી"
"Sending","મોકલી રહ્યું છે"
"Paused","થોભાવ્યું"
"View","જુઓ"
"Unknown","અજ્ઞાત"
"Order","ઓર્ડર"
"Purchased","ખરીદી"
"Bill-to Name","બિલ-ટુ નામ"
"Ship-to Name","શિપ ટુ નામ"
"Order Total","ઓર્ડર કુલ"
"Purchase Point","ખરીદી પોઇન્ટ"
"Customer View","કસ્ટમર વ્યૂ"
"There are no items in customer's shopping cart.","ગ્રાહકની શોપિંગ કાર્ટમાં કોઈ ચીજો નથી."
"Qty","જથ્થો"
"Confirmed","પુષ્ટિ"
"Confirmation Required","પુષ્ટિ જરૂરી છે"
"Confirmation Not Required","પુષ્ટિ જરૂરી નથી"
"Indeterminate","અનિશ્ચિત"
"The customer does not have default billing address.","ગ્રાહક પાસે ડિફોલ્ટ બિલિંગ સરનામું નથી."
"Offline","ઑફલાઇન"
"Online","ઑનલાઇન"
"Never","ક્યારેય"
"Unlocked","અનલોક"
"Locked","લૉક કરેલું"
"Deleted Stores","કાઢી નાખેલા સ્ટોર્સ"
"Add Locale","લોકેલ ઉમેરો"
"Add Date","તારીખ ઉમેરો"
"Days in Wish List","વિશસૂચિમાં દિવસો"
"Unlock","અનલૉક કરો"
"No","ના"
"Yes","હા"
"Delete File","ફાઇલ કાઢી નાખો"
"Download","ડાઉનલોડ કરો"
"Delete Image","છબી કાઢી નાખો"
"View Full Size","પૂર્ણ કદ જુઓ"
"All countries","બધા દેશો"
"Customer Groups","ગ્રાહક જૂથો"
"Add New Customer Group","નવું ગ્રાહક જૂથ ઉમેરો"
"Save Customer Group","ગ્રાહક જૂથ સાચવો"
"Delete Customer Group","ગ્રાહક જૂથ કાઢી નાખો"
"New Customer Group","નવું ગ્રાહક જૂથ"
"Edit Customer Group ""%1""","ગ્રાહક જૂથ ""%1"" સંપાદિત કરો"
"Group Information","ગ્રુપ માહિતી"
"Group Name","ગ્રુપ નામ"
"Maximum length must be less then %1 characters.","મહત્તમ લંબાઈ%1 અક્ષરો પછી ઓછી હોવી આવશ્યક છે."
"Tax Class","કર વર્ગ"
"The customer is now assigned to Customer Group %s.","ગ્રાહક હવે ગ્રાહક જૂથ %s ને સોંપેલ છે."
"Would you like to change the Customer Group for this order?","શું તમે આ ઑર્ડર માટે ગ્રાહક જૂથને બદલવાનું પસંદ કરશો?"
"The VAT ID is valid.","VAT ID માન્ય છે."
"The VAT ID entered (%s) is not a valid VAT ID.","દાખલ કરેલ VAT ID (%s) માન્ય VAT ID નથી."
"The VAT ID is valid. The current Customer Group will be used.","VAT ID માન્ય છે. વર્તમાન ગ્રાહક જૂથનો ઉપયોગ કરવામાં આવશે."
"The VAT ID is valid but no Customer Group is assigned for it.","VAT ID માન્ય છે પરંતુ તેના માટે કોઈ ગ્રાહક જૂથ અસાઇન કરેલ નથી."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","VAT ID પર આધારિત, ગ્રાહક ગ્રાહક જૂથ %s થી સંબંધિત છે."
"Something went wrong while validating the VAT ID.","VAT ID માન્ય કરતી વખતે કંઈક ખોટું થયું."
"The customer would belong to Customer Group %s.","કસ્ટમર ગ્રુપ %s ના ગ્રાહક રહેશે."
"There was an error detecting Customer Group.","ગ્રાહક જૂથને શોધવામાં ભૂલ આવી હતી."
"Validate VAT Number","VAT નંબર માન્ય કરો"
"Customer Login","ગ્રાહક લૉગિન"
"Create New Customer Account","નવું ગ્રાહક ખાતું બનાવો"
"Date of Birth","જન્મ તારીખ"
"Bad request.","ખરાબ વિનંતી."
"This confirmation key is invalid or has expired.","આ પુષ્ટિકરણ કી અમાન્ય છે અથવા સમાપ્ત થઈ ગઈ છે."
"There was an error confirming the account","એકાઉન્ટની પુષ્ટિ કરવામાં ભૂલ આવી હતી"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","જો તમે રજિસ્ટર્ડ વેટ ગ્રાહક છો, તો કૃપા કરીને યોગ્ય વેટ ગણતરી માટે તમારા શિપિંગ સરનામાંને દાખલ કરવા માટે <a href=""%1""> અહીં </a> ક્લિક કરો."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","જો તમે રજિસ્ટર્ડ વેટ ગ્રાહક છો, તો કૃપા કરીને યોગ્ય VAT ગણતરી માટે તમારા બિલિંગ સરનામાંને દાખલ કરવા માટે <a href=""%1""> અહીં </a> ક્લિક કરો."
"Thank you for registering with %1.","%1 સાથે રજીસ્ટર કરવા બદલ આભાર."
"Please check your email for confirmation key.","કૃપા કરીને પુષ્ટિ કી માટે તમારું ઇમેઇલ તપાસો."
"This email does not require confirmation.","આ ઇમેઇલને પુષ્ટિની જરૂર નથી."
"Wrong email.","ખોટો ઇમેઇલ."
"Your password reset link has expired.","તમારો પાસવર્ડ રીસેટ લિંક સમાપ્ત થઈ ગઈ છે."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","તમારે તમારા એકાઉન્ટની પુષ્ટિ કરવી આવશ્યક છે. કૃપા કરીને નવી લિંક માટે પુષ્ટિ લિંક અથવા <a href=""%1""> અહીં ક્લિક કરો </a> માટે તમારું ઇમેઇલ તપાસો."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","આ ઇમેઇલ સરનામાં સાથે પહેલેથી જ એક એકાઉન્ટ છે. જો તમને ખાતરી છે કે તમારું ઇમેઇલ સરનામું છે, તો તમારો પાસવર્ડ મેળવવા અને તમારા એકાઉન્ટને ઍક્સેસ કરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"We can't save the customer.","અમે ગ્રાહકને બચાવી શકતા નથી."
