"Sign Out","Kirjaudu ulos"
"Sign In","Kirjaudu sisään"
"You are subscribed to our newsletter.","Olet tilannut uutiskirjeemme."
"You aren't subscribed to our newsletter.","Et ole vielä tilannut uutiskirjettämme."
"You have not set a default shipping address.","Et ole määrittänyt oletustoimitusosoitetta."
"You have not set a default billing address.","Et ole määrittänyt oletusosoitetta."
"Address Book","Osoitekirja"
"Edit Address","Muokkaa osoitetta"
"Add New Address","Lisää uusi osoite"
"region","alue"
"Create Order","Luo tilaus"
"Save Customer","Tallenna asiakas"
"Delete Customer","Poista asiakas"
"Reset Password","Nollaa salasana"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Pakota sisäänkirjautuminen"
"New Customer","Uusi asiakas"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Back","Takaisin"
"Please select","Valitse"
"Reset","Tyhjennä"
"ID","Tunnus"
"Product","Tuote"
"SKU","Tuotenro"
"Quantity","Määrä"
"Price","Hinta"
"Total","Yhteensä"
"Action","Toiminto"
"Configure","Määritä"
"Delete","Poista"
"Shopping Cart from %1","Ostoskori %1"
"Newsletter","Uutiskirje"
"Newsletter Information","Uutiskirje info"
"Subscribed to Newsletter","Tilaa Uutiskirje"
"Last Date Subscribed","Viimeinen päivä jolloin tilattu"
"Last Date Unsubscribed","Viimeinen päivä jolloin peruttu"
"No Newsletter Found","Uutiskirjeitä ei löytynyt"
"Start date","Aloituspäivä"
"End Date","Päättymispäivä"
"Receive Date","Vastaanottopäivä"
"Subject","Aihe"
"Status","Tila"
"Sent","Lähetetty"
"Cancel","Peruuta"
"Not Sent","Ei lähetetty"
"Sending","Lähettäminen"
"Paused","Keskeytetty"
"View","Katso"
"Unknown","Tuntematon"
"Order","Order"
"Purchased","Ostettu"
"Bill-to Name","Laskutusasiakkaan nimi"
"Ship-to Name","Vastaanottajan nimi"
"Order Total","Loppusumma"
"Purchase Point","Ostopiste"
"Customer View","Asiakasnäkymä"
"There are no items in customer's shopping cart.","Asiakkaan ostoskorissa ei ole tuotteita."
"Qty","Määrä"
"Confirmed","Vahvistettu"
"Confirmation Required","Vahvistus vaaditaan"
"Confirmation Not Required","Vahvistusta ei vaadita"
"Indeterminate","Määrittelemätön"
"The customer does not have default billing address.","Asiakkaalla ei ole oletuslaskutusosoitetta."
"Offline","Offline"
"Online","Online"
"Never","Ei koskaan"
"Unlocked","Avoin"
"Locked","Lukittu"
"Deleted Stores","Poistetut kaupat"
"Add Locale","Lisää kieli"
"Add Date","Lisäyspäivämäärä"
"Days in Wish List","Päivää toivelistalla"
"Unlock","Avaa"
"No","Ei"
"Yes","Kyllä"
"Delete File","Poista tiedosto"
"Download","Lataa"
"Delete Image","Poista kuva"
"View Full Size","Näytä täysikokoisena"
"All countries","Kaikki maat"
"Customer Groups","Asiakasryhmät"
"Add New Customer Group","Lisää uusi asiakasryhmä"
"Save Customer Group","Tallenna asiakasryhmä"
"Delete Customer Group","Poista asiakasryhmä"
"New Customer Group","Uusi asiakasryhmä"
"Edit Customer Group ""%1""","Muokkaa asiakasryhmää ""%1"""
"Group Information","Ryhmän tiedot"
"Group Name","Ryhmän nimi"
"Maximum length must be less then %1 characters.","Maksimipituus ei voi ylittää %1 merkkiä."
"Tax Class","Veroluokka"
"The customer is now assigned to Customer Group %s.","Asiakas on lisätty asiakaryhmään %s."
"Would you like to change the Customer Group for this order?","Haluatko vaihtaa asiakasryhmän tälle tilaukselle?"
"The VAT ID is valid.","Y-tunnus oikein."
"The VAT ID entered (%s) is not a valid VAT ID.","Annettu ALV-tunnus (%s) ei ole kelvollinen ALV-tunnus."
"The VAT ID is valid. The current Customer Group will be used.","Y-tunnus oikein. Käytetään valittua asiakasryhmää."
"The VAT ID is valid but no Customer Group is assigned for it.","Y-tunnus on oikein, mutta sitä ei ole liitetty asiakasryhmään."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Y-tunnuksen perusteella asiakas kuuluu %s asiakasryhmään."
"Something went wrong while validating the VAT ID.","Y-tunnuksen tarkistuksessa tapahtui virhe."
"The customer would belong to Customer Group %s.","Asiakas kuuluisi asiakasryhmään %s."
"There was an error detecting Customer Group.","Asiakasryhmän tunnistamisessa tapahtui virhe."
"Validate VAT Number","Tarkista y-tunnus"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Syntymäaika"
"Bad request.","Virheellinen pyyntö."
"This confirmation key is invalid or has expired.","Vahvistusavain on virheellinen tai vanhentunut."
"There was an error confirming the account","Tilin vahvistamisessa tapahtui virhe"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi toimitusosoitteen oikeaa ALV-laskentaa varten."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi laskutusosoitteen oikeaa ALV-laskentaa varten."
"Thank you for registering with %1.","Kiitos rekisteröitymisestä verkkokauppaan %1."
"Please check your email for confirmation key.","Tarkista sähköpostistasi vahvistusavain."
"This email does not require confirmation.","Tämä sähköposti ei vaadi vahvistusta."
"Wrong email.","Väärä sähköpostiosoite."
"Your password reset link has expired.","Salasanan palautuslinkki on vanhentunut."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sinulle on lähetetty sähköpostilla linkki, jolla voit vahvista tilisi tai <a href=""%1"">klikkaa tästä</a> tilataksesi uuden linkin."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Tällä sähköpostiosoitteella on jo olemassaoleva asiakastili. Jos olet varma että se on sinun, <a href=""%1"">klikkaa tästä</a> ja nollaa salasana tilillesi."
"We can't save the customer.","Asiakasta ei voida tallentaa."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi toimitusosoitteen oikeaa ALV-laskentaa varten."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi laskutusosoitteen oikeaa ALV-laskentaa varten."
"Account Information","Tilin tiedot"
"You saved the account information.","Tilin tiedot on tallennettu."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Salasanan vahvistus ei täsmää annettuun salasanaan."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Salasanan palautussähköpostia ei voitu lähettää."
"Please enter your email.","Syötä sähköpostiosoitteesi."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jos sähköpostiosoitteella %1 on olemassa tili, saat sähköpostin jossa on ohjeet uuden salasanan asettamiseksi."
"My Account","Oma tili"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Tiliä ei ole vahvistettu, <a href=""%1"">klikkaa tästä</a> uudelleenlähettääksesi vahvistussähköpostin."
"An unspecified error occurred. Please contact us for assistance.","Tapahtui virhe, ole hyvä ja ota yhteyttä meihin."
"A login and a password are required.","Käyttäjätunnus ja salasana ovat pakolliset."
"New Password and Confirm New Password values didn't match.","Uusi salasana ja vahvista uusi salasana -arvot eivät vastaa toisiaan."
"Please enter a new password.","Kirjoita uusi salasana."
"You updated your password.","Päivitit salasanasi."
"Something went wrong while saving the new password.","Jotain meni pieleen tallentaessa uutta salasanaa."
"You deleted the address.","Poistit osoitteen."
"We can't delete the address right now.","Osoitetta ei voida poistaa juuri nyt."
"You saved the address.","Tallensit osoitteen."
"We can't save the address.","Osoitetta ei voida tallentaa."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","Asiakasryhmä poistettiin."
"The customer group no longer exists.","Asiakasryhmää ei enää ole olemassa."
"Customers","Asiakkaat"
"New Group","Uusi ryhmä"
"New Customer Groups","Uudet asiakasryhmät"
"Edit Group","Muokkaa ryhmää"
"Edit Customer Groups","Muokkaa asiakasryhmiä"
"You saved the customer group.","Asiakasryhmä on tallennettu."
"Please select customer(s).","Valitse asiakas/asiakkaat."
"Customer could not be deleted.","Asiakasta ei voi poistaa."
"You deleted the customer.","Asiakas on poistettu."
"Something went wrong while editing the customer.","Jokin meni vikaan asiakasta muokattaessa."
"Manage Customers","Hallinnoi asiakkaita"
"Please correct the data sent.","Ole hyvä ja korjaa lähetetty tieto."
"A total of %1 record(s) were updated.","Yhteensä %1 tietuetta päivitettiin."
"A total of %1 record(s) were deleted.","Yhteensä %1 tietue(tta) poistettiin."
"The customer will receive an email with a link to reset password.","Asiakkaalle lähetetään sähköpostitse salasanan palautuslinkki."
"Something went wrong while resetting customer password.","Asiakkaan salasanan palauttamisessa tapahtui virhe."
"You saved the customer.","Asiakas on tallennettu."
"Something went wrong while saving the customer.","Asiakkaan tietojen tallennuksessa tapahtui virhe."
"Page not found.","Sivua ei löydy."
"Customer has been unlocked successfully.","Asiakkaan avaus onnistui."
"Online Customers","Online-asiakkaat"
"Customers Now Online","Asiakkaat nyt Online"
"Please define Wish List item ID.","Määritä toivelistan nimekkeen tunnus."
"Please load Wish List item.","Lataa toivelistan tuote."
"Login successful.","Kirjautuminen onnistui."
"Invalid login or password.","Virheellinen sähköpostiosoite tai salasana."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Tili on lukittu."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Kirjoita salasana, jossa on enintään %1 merkkiä."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Salasanan muodostamiseen käytettävien eri merkki-luokkien määrä on vähintaään %1. Merkki-luokkia ovat: isot kirjaimet, pienet kirjaimet, erikoismerkit, numerot."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Tämä asiakas on jo olemassa tässä kaupassa."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
