"Sign Out","Deconectare"
"Sign In","Conectare"
"You are subscribed to our newsletter.","You are subscribed to our newsletter."
"You aren't subscribed to our newsletter.","You aren't subscribed to our newsletter."
"You have not set a default shipping address.","Nu ați adăugat o adresă  principală de livrare ."
"You have not set a default billing address.","Nu ați adăugat o adresă principală de facturare ."
"Address Book","Agenda cu adrese"
"Edit Address","Editati adresa"
"Add New Address","Adăugați o adresă nouă"
"region","regiune"
"Create Order","Creați comandă"
"Save Customer","Salvați client"
"Delete Customer","ștergeți client"
"Reset Password","Resetare parolă"
"Are you sure you want to revoke the customer's tokens?","Sunteți sigur că doriți să revocați simbolurile clientului?"
"Force Sign-In","Farțate conectare"
"New Customer","Client nou"
"Save and Continue Edit","Salvați și continuați editarea"
"Back","Înapoi"
"Please select","Selectați"
"Reset","Resetați"
"ID","ID"
"Product","Proodus"
"SKU","Cod"
"Quantity","Cantitate"
"Price","Preț"
"Total","Total"
"Action","Acțiune"
"Configure","Configurare"
"Delete","șterge"
"Shopping Cart from %1","Coș de cumpărături de la %1"
"Newsletter","Buletin informativ"
"Newsletter Information","Informații buletin informativ"
"Subscribed to Newsletter","Abonat la buletinul informativ"
"Last Date Subscribed","Ultima dată a abonării"
"Last Date Unsubscribed","Ultima dată a dezabonării"
"No Newsletter Found","Nici un buletin informativ găsit"
"Start date","Dată de început"
"End Date","Dată de sfârșit"
"Receive Date","Data de primire"
"Subject","Subiect"
"Status","Statut"
"Sent","Trimis"
"Cancel","anulați"
"Not Sent","Netrimis"
"Sending","Se trimite"
"Paused","Pauză"
"View","Vizualizează"
"Unknown","Necunoscut"
"Order","Order"
"Purchased","Achiziționat"
"Bill-to Name","Nume facturare"
"Ship-to Name","Nume livrare"
"Order Total","Total comandă"
"Purchase Point","Punct de achiziție"
"Customer View","Vedere client"
"There are no items in customer's shopping cart.","Nu sunt articole în coșul de cumpărături al clientului."
"Qty","Cantitate"
"Confirmed","Confirmat"
"Confirmation Required","Confirmarea este necesară"
"Confirmation Not Required","Confirmarea nu este necesară"
"Indeterminate","Nedefinit"
"The customer does not have default billing address.","Clientul nu are o adresă de facturare implicită."
"Offline","Deconectat"
"Online","Conectat"
"Never","Niciodată"
"Unlocked","Deblocat"
"Locked","Locked"
"Deleted Stores","ștergeți magazine"
"Add Locale","Adăugați locală"
"Add Date","Adăugați dată"
"Days in Wish List","Zile în Lista de dorințe"
"Unlock","Deblocare"
"No","Nu"
"Yes","Da"
"Delete File","ștergeți fișier"
"Download","Descărcați"
"Delete Image","ștergeți imagine"
"View Full Size","Vizualizare mărime normală"
"All countries","Toate țările"
"Customer Groups","Grupuri de clienți"
"Add New Customer Group","Adăugați grup de clienți nou"
"Save Customer Group","Salvați grup de clienți"
"Delete Customer Group","ștergeți grup de clienți"
"New Customer Group","Grup de clienți nou"
"Edit Customer Group ""%1""","Modificați grup de clienți ""%1"""
"Group Information","Informații grup"
"Group Name","Nume grup"
"Maximum length must be less then %1 characters.","Maximum length must be less then %1 characters."
"Tax Class","Clasa de impozitare"
"The customer is now assigned to Customer Group %s.","Clientul este acum atribuit grupului de clienți %s."
"Would you like to change the Customer Group for this order?","Doriți să schimbați grupul de clienți pentru această comandă?"
"The VAT ID is valid.","Valoare TVA nevalidă"
"The VAT ID entered (%s) is not a valid VAT ID.","Valoarea TVA introdusă (%s) nu este un ID TVA valid."
"The VAT ID is valid. The current Customer Group will be used.","Valoare TVA validă. Se va folosi grupul de clienți curent."
"The VAT ID is valid but no Customer Group is assigned for it.","ID-ul valorii TVA este valid, dar nu i-a fost atribuit nici unui grup de clienți."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Bazat pe ID-ul valorii TVA, clientul aparține grupului de clienți %s."
"Something went wrong while validating the VAT ID.","A avut loc o eroare la validarea ID-ului valorii TVA."
"The customer would belong to Customer Group %s.","Clientul aparșine grupului de clienți %s."
"There was an error detecting Customer Group.","A avut loc o eroare la detectarea grupului de clienți."
"Validate VAT Number","Validare număr TVA"
"Customer Login","Customer Login"
