"Sign Out","Одјави се"
"Sign In","Најави се"
"You are subscribed to our newsletter.","Вие сте пријавени да добивате електронски новости од нас."
"You aren't subscribed to our newsletter.","Вие не сте пријавени да добивате електронски новости од нас."
"You have not set a default shipping address.","Немате дефинирано главна адреса за испорака."
"You have not set a default billing address.","Немате дефинирано главна адреса за плаќање."
"Address Book","Адресар"
"Edit Address","Измени адреса"
"Add New Address","Додади нова адреса"
"region","регион"
"Create Order","Креирај нарачка"
"Save Customer","Зачувај купувач"
"Delete Customer","Избриши купувач"
"Reset Password","Ресетирај лозинка"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Нов купувач"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Back","Назад"
"Please select","Ве молиме изберете"
"Reset","Ресетирај"
"ID","ID"
"Product","Продукт"
"SKU","SKU"
"Quantity","Количина"
"Price","Цена"
"Total","Вкупно"
"Action","Акција"
"Configure","Конфигурирај"
"Delete","Избриши"
"Shopping Cart from %1","Кошничка од %1"
"Newsletter","Електронски новости"
"Newsletter Information","Информации за електронски новости"
"Subscribed to Newsletter","Пријавени за електронски новости"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","Нема пронајдено електронски новости"
"Start date","Start date"
"End Date","End Date"
"Receive Date","Receive Date"
"Subject","Предмет"
"Status","Статус"
"Sent","Испратено"
"Cancel","Откажи"
"Not Sent","Не е испратено"
"Sending","Се праќа"
"Paused","Паузирано"
"View","Види"
"Unknown","Непознато"
"Order","Нарачка"
"Purchased","Купено"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total","Вкупно"
"Purchase Point","Purchase Point"
"Customer View","Customer View"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Кол"
"Confirmed","Confirmed"
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","Купувачот нема предодредена адреса за плаќање."
"Offline","Offline"
"Online","Online"
"Never","Never"
"Unlocked","Unlocked"
"Locked","Locked"
"Deleted Stores","Deleted Stores"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Денови во листата"
"Unlock","Unlock"
"No","Не"
"Yes","Да"
"Delete File","Избриши датотека"
"Download","Download"
"Delete Image","Избриши слика"
"View Full Size","View Full Size"
"All countries","All countries"
"Customer Groups","Групи на купувачи"
"Add New Customer Group","Додади нова група на купувачи"
"Save Customer Group","Зачувај група на купувачи"
"Delete Customer Group","Избриши група на купувачи"
"New Customer Group","Нова група на купувачи"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 characters.","Maximum length must be less then %1 characters."
"Tax Class","Tax Class"
"The customer is now assigned to Customer Group %s.","Купувачот е доделен на групата на купувачи %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","The VAT ID is valid."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validate VAT Number"
"Customer Login","Најавете се"
"Create New Customer Account","Креирај нов профил"
"Date of Birth","Датум на раѓање"
"Bad request.","Bad request."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Благодариме што креиравте профил на %1."
"Please check your email for confirmation key.","Please check your email for confirmation key."
"This email does not require confirmation.","This email does not require confirmation."
"Wrong email.","Wrong email."
"Your password reset link has expired.","Линкот за ресетирање на лозинката помина."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Мора да го потврдите вашиот профил. Ве молиме проверете го вашиот емаил за линк за потврда или <a href=""%1"">кликнете овде</a> за да добиете нов линк."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Веќе има креирано профил со оваа Емаил адреса. Ако сте сигурни дека е ова е вашата адреса <a href=""%1"">кликнете овде</a> да добиете лозинка и да пристапите до вашиот профил."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Ве молиме проверете дали двете лозинка се совпаѓаат."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Account Information","Информации за профилот"
"You saved the account information.","You saved the account information."
"You did not sign in correctly or your account is temporarily disabled.","Не се најавивте точно или вашиот профил е привремено оневозможен."
"Password confirmation doesn't match entered password.","Лозинката за потврда не се совпаѓа со внесената лозинка."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Ве молиме корегирајте ја емаил адресата."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Please enter your email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако има профил поврзан со %1 ќе добиете Емаил со линк за ресетирање на вашата лозинка."
"My Account","Мојот профил"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Овој профил не е потврден. <a href=""%1"">Кликнете овде</a> да испратите емаил за потврда."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","A login and a password are required."
"New Password and Confirm New Password values didn't match.","Новата лозинка и потврдената нова лозинка не се совпаѓаат."
"Please enter a new password.","Ве молиме внесете нова лозинка."
"You updated your password.","Ја ажуриравте лозинката."
"Something went wrong while saving the new password.","Се случи грешка додека се зачувуваше новата лозинка."
"You deleted the address.","Ја избришавте адресата."
"We can't delete the address right now.","We can't delete the address right now."
"You saved the address.","Ја зачувавте адресата."
"We can't save the address.","Неможеме да ја зачуваме адресата."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","You deleted the customer group."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","Купувачи"
"New Group","New Group"
"New Customer Groups","New Customer Groups"
"Edit Group","Edit Group"
"Edit Customer Groups","Edit Customer Groups"
"You saved the customer group.","You saved the customer group."
"Please select customer(s).","Ве молиме изберете купувач/и."
"Customer could not be deleted.","Customer could not be deleted."
"You deleted the customer.","You deleted the customer."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
