"Sign Out","Tancar la sessió"
"Sign In","Iniciar sessió"
"You are subscribed to our newsletter.","Esteu subscrit al nostre butlletí."
"You aren't subscribed to our newsletter.","No esteu subscrit al nostre butlletí."
"You have not set a default shipping address.","No heu definit una adreça d’enviament predeterminada."
"You have not set a default billing address.","No heu definit una adreça de facturació predeterminada."
"Address Book","Llibreta d'adreces"
"Edit Address","Edita l'adreça"
"Add New Address","Afegir nova adreça"
"region","regió"
"Create Order","Crear comanda"
"Save Customer","Desar Client"
"Delete Customer","Eliminar Client"
"Reset Password","Restablir la contrasenya"
"Are you sure you want to revoke the customer's tokens?","Esteu segur que voleu revocar els tokens del client?"
"Force Sign-In","Força l’inici de sessió"
"New Customer","Nou Client"
"Save and Continue Edit","Desa i continua editant"
"Back","Torna"
"Please select","Seleccioni"
"Reset","Restablir"
"ID","ID"
"Product","Producte"
"SKU","SKU"
"Quantity","Quantitat"
"Price","Preu"
"Total","Total"
"Action","Acció"
"Configure","Configura"
"Delete","Eliminar"
"Shopping Cart from %1","Cistella de la compra des de %1"
"Newsletter","Butlletí"
"Newsletter Information","Informació del butlletí"
"Subscribed to Newsletter","Subscrit al butlletí"
"Last Date Subscribed","Última data de subscripció"
"Last Date Unsubscribed","Última data no subscrit"
"No Newsletter Found","No s’ha trobat cap butlletí"
"Start date","Data d'inici"
"End Date","Data de finalització"
"Receive Date","Data de recepció"
"Subject","Assumpte"
"Status","Estat"
"Sent","Enviat"
"Cancel","Cancel·la"
"Not Sent","No enviat"
"Sending","Enviant"
"Paused","En pausa"
"View","Vista"
"Unknown","Desconegut"
"Order","Comanda"
"Purchased","Adquirit"
"Bill-to Name","Nom de facturació"
"Ship-to Name","Nom d'enviament"
"Order Total","Total de la comanda"
"Purchase Point","Punt de compra"
"Customer View","Vista de Client"
"There are no items in customer's shopping cart.","No hi ha articles a la cistella de la compra del client."
"Qty","Quantitat"
"Confirmed","Confirmat"
"Confirmation Required","Confirmació requerida"
"Confirmation Not Required","Confirmació no requerida"
"Indeterminate","Indeterminat"
"The customer does not have default billing address.","El client no té una adreça de facturació predeterminada."
"Offline","Desconectat"
"Online","Connectat"
"Never","Mai"
"Unlocked","Desbloquejat"
"Locked","Bloquejat"
"Deleted Stores","Botigues eliminades"
"Add Locale","Afegir configuració regional"
"Add Date","Afegir data"
"Days in Wish List","Dies a la Llista de desitjos"
"Unlock","Desbloqueja"
"No","No"
"Yes","Si"
"Delete File","Eliminar fitxer"
"Download","Descarregar"
"Delete Image","Eliminar imatge"
"View Full Size","Veure a mida completa"
"All countries","Tots els països"
"Customer Groups","Grups de clients"
"Add New Customer Group","Afegir nou grup de clients"
"Save Customer Group","Desar grup de clients"
"Delete Customer Group","Eliminar grup de clients"
"New Customer Group","Nou grup de clients"
"Edit Customer Group ""%1""","Editar grup del cliente ""%1"""
"Group Information","Informació del grup"
"Group Name","Nom del grup"
"Maximum length must be less then %1 characters.","La longitud màxima ha de ser inferior a %1 caràcters."
"Tax Class","Classe impositiva"
"The customer is now assigned to Customer Group %s.","El client ara està assignat al grup de clients %s."
"Would you like to change the Customer Group for this order?","Voleu canviar el grup de clients per aquesta comanda?"
"The VAT ID is valid.","L’ID d’IVA és vàlid."
"The VAT ID entered (%s) is not a valid VAT ID.","L’identificador d’IVA introduït (%s) no és un identificador d’IVA vàlid."
"The VAT ID is valid. The current Customer Group will be used.","L’ID d’IVA és vàlid. S'utilitzarà el Grup de Clients actual."
"The VAT ID is valid but no Customer Group is assigned for it.","L'identificador d'IVA és vàlid, però no hi ha assignat cap grup de clients."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","A partir de l’identificador d’IVA, el client pertany al grup de clients %s."
"Something went wrong while validating the VAT ID.","Alguna cosa ha fallat mentre es validava la identificació de l'IVA."
"The customer would belong to Customer Group %s.","El client pertanyeria al grup de clients %s."
"There was an error detecting Customer Group.","S'ha produït un error en detectar el grup de clients."
"Validate VAT Number","Validar el número d’IVA"
"Customer Login","Inici de sessió del client"
"Create New Customer Account","Crear un compte de client nou"
"Date of Birth","Data de naixement"
"Bad request.","Sol·licitud errònia."
"This confirmation key is invalid or has expired.","Aquesta clau de confirmació no és vàlida o ha caducat."
"There was an error confirming the account","S'ha produït un error en confirmar el compte"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça de facturació per calcular l'IVA correctament."
"Thank you for registering with %1.","Gràcies per registrar-vos amb %1."
"Please check your email for confirmation key.","Comproveu la vostra adreça de correu electrònic per obtenir la clau de confirmació."
"This email does not require confirmation.","Aquest correu electrònic no requereix confirmació."
"Wrong email.","Correu electrònic incorrecte."
"Your password reset link has expired.","L’enllaç de restabliment de contrasenya ha caducat."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Heu de confirmar el compte. Reviseu la bústia de correu electrònic per l'enllaç de confirmació o cliqueu <a href=""%1"">aquí</a> per rebre un nou enllaç."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ja hi ha un compte amb aquesta adreça de correu electrònic. Si esteu segurs que es tracta de la vostra adreça de correu electrònic, feu clic <a href=""%1"">aquí</a> per obtenir la vostra contrasenya i accedir al vostre compte."
"We can't save the customer.","No podem desar el client."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si sou un client amb IVA registrat, si us plau, feu clic <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"Account Information","Informació del compte"
"You saved the account information.","Heu desat la informació del compte."
"You did not sign in correctly or your account is temporarily disabled.","No has iniciat sessió correctament o el teu compte està temporalment desactivat."
"Password confirmation doesn't match entered password.","La confirmació de la contrasenya no coincideix amb la contrasenya introduïda."
"The password doesn't match this account.","La contrasenya no coincideix amb aquest compte."
"Please correct the email address.","Si us plau, corregiu l’adreça de correu electrònic."
"We're unable to send the password reset email.","No podem enviar el correu electrònic de restabliment de la contrasenya."
"Please enter your email.","Si us plau, introduïu el vostre correu electrònic."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hi ha un compte associat a %1, rebrà un correu electrònic amb un enllaç per restablir la contrasenya."
"My Account","El meu compte"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Aquest compte no està confirmat. Feu clic <a href=""%1"">aquí</a> per reenviar el correu electrònic de confirmació."
"An unspecified error occurred. Please contact us for assistance.","S'ha produït un error no especificat. Si us plau, poseu-vos en contacte amb nosaltres per obtenir ajuda."
"A login and a password are required.","Cal un inici de sessió i una contrasenya."
"New Password and Confirm New Password values didn't match.","Els valors de Nova Contrasenya i Confirma Nova Contrasenya no coincideixen."
"Please enter a new password.","Si us plau, introduïu una nova contrasenya."
"You updated your password.","Heu actualitzat la vostra contrasenya."
"Something went wrong while saving the new password.","Alguna cosa ha anat malament desant la nova contrasenya."
"You deleted the address.","Heu eliminat l'adreça."
"We can't delete the address right now.","No podeu eliminar l'adreça en aquests moments."
"You saved the address.","Heu desat l'adreça."
"We can't save the address.","No podem desar l'adreça."
"No customer ID defined.","No s’ha definit l’identificador de client."
"Please correct the quote items and try again.","Si us plau, corregiu els articles del pressupost i proveu-ho de nou."
"You have revoked the customer's tokens.","Heu revocat els tokens del client."
"We can't find a customer to revoke.","No podem trobar el client per revocar."
"Something went wrong while saving file.","Alguna cosa ha anat malament desant el fitxer."
"You deleted the customer group.","Heu suprimit el grup de clients."
"The customer group no longer exists.","Aquest grup de clients ja no existeix."
"Customers","Clients"
"New Group","Nou grup"
"New Customer Groups","Nou grup de clients"
"Edit Group","Edita el grup"
"Edit Customer Groups","Editar grups de clients"
"You saved the customer group.","Heu desat el grup de clients."
"Please select customer(s).","Si us plau, seleccioneu client(s)."
"Customer could not be deleted.","El client no s'ha pogut suprimir."
"You deleted the customer.","Heu eliminat el client."
"Something went wrong while editing the customer.","Alguna cosa ha anat malament editant el client."
"Manage Customers","Gestionar Clients"
"Please correct the data sent.","Si us plau corregeixi les dades enviades."
"A total of %1 record(s) were updated.","S'han actualitzat un total de %1 registres."
"A total of %1 record(s) were deleted.","Un total de %1 registre(s) s'ha(n) eliminat."
"The customer will receive an email with a link to reset password.","El client rebrà un correu electrònic amb un enllaç per restablir la contrasenya."
"Something went wrong while resetting customer password.","S'ha produït un error al restablir la contrasenya del client."
"You saved the customer.","Heu desat el client."
"Something went wrong while saving the customer.","Alguna cosa ha anat malament desant el client."
"Page not found.","Pàgina no trobada."
"Customer has been unlocked successfully.","El client s’ha desbloquejat correctament."
"Online Customers","Clients connectats"
"Customers Now Online","Clients connectats ara mateix"
"Please define Wish List item ID.","Si us plau, definiu l’ID d’element de la Llista de desitjos."
"Please load Wish List item.","Si us plau, carregueu l'element de la Llista de desitjos."
"Login successful.","Sessió iniciada correctament."
"Invalid login or password.","Inici de sessió o contrasenya no vàlids."
"""%1"" section source is not supported","L'origen de la secció ""%1"" no és compatible"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no pot extendre \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No cal confirmar."
"Account already active","El compte ja està actiu"
"Invalid confirmation token","El token de confirmació no és vàlid"
"The account is locked.","El compte està bloquejat."
"This account is not confirmed.","Aquest compte no està confirmat."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName. Valors possibles: %template1 o %template2."
"Please enter a password with at most %1 characters.","Si us plau, introduïu una contrasenya amb un màxim de %1 caràcters."
"Please enter a password with at least %1 characters.","Si us plau, introduïu una contrasenya amb almenys %1 caràcters."
"The password can't begin or end with a space.","La contrasenya no pot començar ni finalitzar amb un espai."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","El mínim de classes diferents de caràcters a la contrasenya és %1. Classes de caràcters: Minúscula, Majúscula, Numèrics, Caràcters especials."
"Password cannot be the same as email address.","La contrasenya no pot ser la mateixa que l’adreça de correu electrònic."
"This customer already exists in this store.","Aquest client ja existeix en aquesta botiga."
"A customer with the same email already exists in an associated website.","Ja existeix un client amb el mateix correu electrònic en un lloc web associat."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName."
"%fieldName is a required field.","%fieldName és un camp obligatori."
"Reset password token mismatch.","Restablir token de contrasenya no coincident."
"Reset password token expired.","Restablir token de contrasenya caducat."
"Please correct the transactional account email type.","Si us plau, corregiu el tipus de correu electrònic del compte transaccional."
"""%1"" is a required value.","""%1"" és un valor obligatori."
"Global","Global"
"Per Website","Per lloc web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","No podem compartir comptes de client globalment quan els comptes comparteixen adreces de correu electrònic idèntiques en més d’un lloc web."
"Billing Address","Adreça de facturació"
"Shipping Address","Adreça d'enviament"
"-- Please Select --","-- Si us plau, seleccioneu --"
"Please enter a valid password reset token.","Si us plau, Introduïu un token de restabliment de contrasenya vàlid."
"The password can not begin or end with a space.","La contrasenya no pot començar ni finalitzar amb un espai."
"Admin","Admin"
"ALL GROUPS","TOTS ELS GRUPS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Cap entitat amb %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","El fitxer no es pot desar a la carpeta de destinació."
"Unable to create directory %1.","No es pot crear el directori %1."
"Destination folder is not writable or does not exists.","La carpeta de destinació no té permisos d'escriptura o no existeix."
"Something went wrong while saving the file.","Alguna cosa ha anat malament desant el fitxer."
"Attribute object is undefined","L’objecte d’atribut no està definit"
"""%1"" invalid type entered.","El tipus introduït ""%1"" no és vàlid."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" conté caràcters no alfabètics o no numèrics."
"""%1"" is an empty string.","""%1"" és una cadena buida."
"""%1"" contains non-numeric characters.","""%1"" conté caràcters no numèrics."
"""%1"" contains non-alphabetic characters.","""%1"" conté caràcters no alfabètics."
"""%1"" is not a valid email address.","""%1"" no és una adreça de correu electrònic vàlida."
"""%1"" is not a valid hostname.","""%1"" no és un nom de host vàlid."
"""%1"" uses too many characters.","""%1"" utilitza massa caràcters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' sembla una adreça IP, que no és un format acceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' sembla un nom de host DNS, però conté un guió en una posició no vàlida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' sembla un nom de host DNS, però no es pot combinar amb l'esquema de nom de host per a TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' sembla un nom de host DNS, però no pot extreure's la part TLD."
"'%value%' does not look like a valid local network name.","'%value%' no sembla un nom de xarxa local vàlid."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' sembla un nom de xarxa local, que no és un format acceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' sembla que és un nom de host DNS, però no es pot descodificar la notació indicada amb punycode."
"""%1"" is not a valid URL.","""%1"" no és una URL vàlida."
"""%1"" is not a valid date.","""%1"" no és una data vàlida."
"""%1"" does not fit the entered date format.","""%1"" no s'adapta al format de data introduït."
"Please enter a valid date between %1 and %2 at %3.","Si us plau, introduïu una data vàlida entre %1 i %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Si us plau, introduïu una data vàlida igual o superior a %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Si us plau, introduïu una data vàlida igual o inferior a %1 a %2."
"""%1"" is not a valid file extension.","""%1"" no és una extensió de fitxer vàlida."
"""%1"" is not a valid file.","""%1"" no és un fitxer vàlid."
"""%1"" exceeds the allowed file size.","""%1"" supera la mida de fitxer permesa."
"""%1"" is not a valid image format.","""%1"" no és un format d'imatge vàlid."
"""%1"" width exceeds allowed value of %2 px.","L'amplada ""%1"" supera el valor permès de %2 px."
"""%1"" height exceeds allowed value of %2 px.","L'alçada ""%1"" supera el valor permès de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longitud ""%1"" ha de ser igual o superior a %2 caràcters."
"""%1"" length must be equal or less than %2 characters.","La longitud ""%1"" ha de ser igual o inferior a %2 caràcters."
"label","etiqueta"
"Please enter a customer email.","Si us plau, introduïu un correu electrònic del client."
"A customer website ID must be specified when using the website scope.","Cal utilitzar un identificador de lloc web de client quan s’utilitzi l’abast del lloc web."
"Customer Group","Grup de client"
"You can't delete group ""%1"".","No podeu eliminar el grup ""%1""."
"Customer Group already exists.","El Grup de clients ja existeix."
"Cannot delete group.","No es pot eliminar el grup."
"Error during VAT Number verification.","Error durant la verificació del número d’IVA."
"PHP SOAP extension is required.","L’extensió PHP SOAP és necessària."
"VAT Number is valid.","El número d’IVA és vàlid."
"Please enter a valid VAT number.","Si us plau, introduïu un número d’IVA vàlid."
"Your VAT ID was successfully validated.","La vostra identificació d’IVA s’ha validat correctament."
"You will be charged tax.","Se us cobrarà impost."
"You will not be charged tax.","No se us cobrarà impost."
"The VAT ID entered (%1) is not a valid VAT ID.","L'identificador d'IVA introduït (%1) no és un número d'IVA vàlid."
"Your Tax ID cannot be validated.","No es pot validar el vostre identificador fiscal."
"If you believe this is an error, please contact us at %1","Si creieu que es tracta d’un error, poseu-vos en contacte amb nosaltres a %1"
"No such entity with %fieldName = %fieldValue","No hi ha entitat amb %fieldName = %fieldValue"
"Male","Home"
"Female","Dona"
"Not Specified","No especificat"
"Thank you for registering with","Gràcies per registrar-vos amb"
"enter your billing address for proper VAT calculation","introduïu la vostra adreça de facturació per calcular l'IVA correctament"
"enter your shipping address for proper VAT calculation","introduïu la vostra adreça d'enviament per calcular l'IVA correctament"
"Please enter new password.","Si us plau, introduïu una nova contrasenya."
"message","missatge"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Excepció"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Missatge d’excepció"
"Validator Exception","Excepció de validador"
"Localized Exception","Excepció localitzada"
"some error","algun error"
"frontend_label","frontend_label"
"NOT LOGGED IN","NO AUTENTICAT"
"Please enter the state/province.","Si us plau, introduïu Estat/Província."
"region is a required field.","regió és un camp obligatori."
"regionId is a required field.","regionId és un camp obligatori."
"Label","Etiqueta"
"Select...","Seleccioneu..."
"Edit","Edita"
"Visitor","Visitant"
"Customer","Client"
"No item specified.","Article no especificat."
"Are you sure you want to remove this item?","Segur que voleu eliminar aquest article?"
"Personal Information","Informació personal"
"Last Logged In:","Últim inici de sessió:"
"Last Logged In (%1):","Últim inici de sessió (%1):"
"Account Lock:","Bloqueig de compte:"
"Confirmed email:","Correu electrònic confirmat:"
"Account Created:","Compte creat:"
"Account Created on (%1):","Compte creat el (%1):"
"Account Created in:","Compte creat a:"
"Customer Group:","Grup de client:"
"Default Billing Address","Adreça de facturació predeterminada"
"Sales Statistics","Estadístiques de vendes"
"Web Site","Lloc Web"
"Store","Botiga"
"Store View","Vista de Botiga"
"Lifetime Sales","Ventes acumulades"
"Average Sale","Venda mitjana"
"All Store Views","Totes les Vistes de la Botiga"
"Change","Canvi"
"Manage Addresses","Gestionar adreces"
"Default Shipping Address","Adreça d'enviament predeterminada"
"Contact Information","Informació de contacte"
"Change Password","Canviar la contrasenya"
"Newsletters","Butlletí"
"You are subscribed to ""General Subscription"".","Esteu subscrit a ""Subscripció general""."
"or","o"
"Default Addresses","Adreces per defecte"
"Change Billing Address","Canvia adreça de facturació"
"You have no default billing address in your address book.","No teniu cap adreça de facturació predeterminada a la vostra llibreta d’adreces."
"Change Shipping Address","Canvia adreça d'enviament"
"You have no default shipping address in your address book.","No teniu cap adreça d'enviament predeterminada a la vostra llibreta d’adreces."
"Additional Address Entries","Entrades addicionals d’adreces"
"Delete Address","Eliminar adreça"
"You have no other address entries in your address book.","No teniu cap altra adreça a la vostra llibreta d'adreces."
"* Required Fields","* Camps obligatoris"
"Address","Adreça"
"Street Address","Carrer de l'adreça"
"Street Address %1","Carrer de l'adreça %1"
