"Sign Out","Abmelden"
"Sign In","Anmelden"
"You are subscribed to our newsletter.","Sie haben unseren Newsletter abonniert."
"You aren't subscribed to our newsletter.","Sie haben unseren Newsletter nicht abonniert."
"You have not set a default shipping address.","Sie haben keine Standardlieferadresse festgelegt."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsanschrift angegeben."
"Address Book","Adressbuch"
"Edit Address","Rechnungsadresse ändern"
"Add New Address","Neue Adresse hinzufügen"
"region","Gebiet"
"Create Order","Neue Bestellung"
"Save Customer","Kunde speichern"
"Delete Customer","Kunden löschen"
"Reset Password","Passwort zurücksetzen"
"Are you sure you want to revoke the customer's tokens?","Sind Sie sicher, dass der Token von dem Kunden widerrufen werden soll?"
"Force Sign-In","Anmeldung erzwingen"
"New Customer","Neuer Kunde"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Back","Zurück"
"Please select","Bitte wählen Sie"
"Reset","Zurücksetzen"
"ID","Id"
"Product","Produkt"
"SKU","Artikelnummer"
"Quantity","Menge"
"Price","Preis"
"Total","Gesamtsumme"
"Action","Aktion"
"Configure","Konfigurieren"
"Delete","Löschen"
"Shopping Cart from %1","Warenkorb von %1"
"Newsletter","Newsletter"
"Newsletter Information","Newsletter-Informationen"
"Subscribed to Newsletter","Newsletter abonniert"
"Last Date Subscribed","Letztes Abonnement am"
"Last Date Unsubscribed","Letztes Abonnement gekündigt am"
"No Newsletter Found","Kein Newsletter gefunden"
"Start date","Startdatum"
"End Date","Enddatum"
"Receive Date","Daten empfangen"
"Subject","Betreff"
"Status","Status"
"Sent","Gesendet"
"Cancel","Stornieren"
"Not Sent","Nicht gesendet"
"Sending","Wird gesendet"
"Paused","Pausiert"
"View","Anzeigen"
"Unknown","Unbekannt"
"Order","Bestellung"
"Purchased","Gekauft"
"Bill-to Name","Rechnungsname"
"Ship-to Name","Versandname"
"Order Total","Bestellsumme"
"Purchase Point","Verkaufsort"
"Customer View","Kundenansicht"
"There are no items in customer's shopping cart.","Es gibt keine Artikel im Warenkorb des Kunden."
"Qty","Menge"
"Confirmed","Bestätigt"
"Confirmation Required","Bestätigung erforderlich"
"Confirmation Not Required","Bestätigung nicht erforderlich"
"Indeterminate","Unbestimmt"
"The customer does not have default billing address.","Der Kunde verfügt über keine Standard-Rechnungsanschrift."
"Offline","Offline"
"Online","Online"
"Never","Niemals"
"Unlocked","Entsperrt"
"Locked","Gesperrt"
"Deleted Stores","Gelöschten Stores"
"Add Locale","Lokalisierung hinzufügen"
"Add Date","Datum hinzufügen"
"Days in Wish List","Tage in der Wunschliste"
"Unlock","Entsperren"
"No","Nein"
"Yes","Ja"
"Delete File","Datei löschen"
"Download","Herunterladen"
"Delete Image","Originalgröße"
"View Full Size","Originalgröße anzeigen"
"All countries","Alle Länder"
"Customer Groups","Kundengruppen"
"Add New Customer Group","Neue Kundengruppe hinzufügen"
"Save Customer Group","Kundengruppe speichern"
"Delete Customer Group","Kundengruppe löschen"
"New Customer Group","Neue Kundengruppe"
"Edit Customer Group ""%1""","Kundengruppe ""%1"" bearbeiten"
"Group Information","Informationen gruppieren"
"Group Name","Gruppenname"
"Maximum length must be less then %1 characters.","Maximale Länge muss weniger als %1 Zeichen beinhalten."
"Tax Class","Steuerklasse"
"The customer is now assigned to Customer Group %s.","Der Kunde ist jetzt der Kundengruppe %s zugewiesen."
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"The VAT ID is valid.","Die Umsatzsteuernummer ist gültig."
"The VAT ID entered (%s) is not a valid VAT ID.","Die Umsatzsteuer-Identnummer (%s) ist ungültig."
"The VAT ID is valid. The current Customer Group will be used.","Die Umsatzsteuer-ID ist gültig. Die aktuelle Kundengruppe wird verwendet."
"The VAT ID is valid but no Customer Group is assigned for it.","Die Umsatzsteuer-Identnummer ist gültig, aber keine Kundengruppe ist dieser zugewiesen."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Laut der USt-ID, gehört der Kunde zu der Kundengruppe %s."
"Something went wrong while validating the VAT ID.","Es ist ein Fehler bei der Überprüfung der Umsatzsteuer-Identnummer aufgetreten."
"The customer would belong to Customer Group %s.","Der Kunde würde zur Kundengruppe %s gehören."
"There was an error detecting Customer Group.","Beim ermitteln der Kundengruppe ist ein Fehler aufgetreten."
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer überprüfen"
"Customer Login","Kundenlogin"
"Create New Customer Account","Neues Kundenkonto erstellen"
"Date of Birth","Geburtsdatum"
"Bad request.","Fehlerhafte Anfrage."
"This confirmation key is invalid or has expired.","Der Bestätungslink ist ungültig oder bereits abgelaufen."
"There was an error confirming the account","Während der Bestätigung des Accounts ist ein Fehler aufgetreten"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, klicken Sie bitte <a href=""%1"">hier</a>, um Ihre Versandadresse für eine korrekte Mehrwehrtsteuerkalkulation einzugeben."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, klicken Sie bitte <a href=""%1"">hier</a>, um Ihre Rechnungsadresse für eine korrekte Mehrwehrtsteuerkalkulation einzugeben."
"Thank you for registering with %1.","Vielen Dank für die Registrierung bei %1."
"Please check your email for confirmation key.","Bitte Prüfen Sie Ihre E-Mail auf den Bestätigungslink."
"This email does not require confirmation.","Für diese E-Mail ist keine Bestätigung notwendig."
"Wrong email.","E-Mail-Adresse falsch."
"Your password reset link has expired.","Ihr Link zum Zurücksetzen des Passworts ist abgelaufen."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sie müssen Ihr Konto bestätigen. Bitte überprüfen Sie Ihre E-Mail-Adresse für den Bestätigungslink oder <a href=""%1"">Klicken Sie hier</a> für einen neuen Link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Es gibt bereits ein Konto mit dieser E-Mail-Adresse. Ist das Ihre E-Mail-Adresse? Dann <a href=""%1""> Klicken Sie hier </a>, um Ihr Passwort anzufordern und Zugriff auf Ihr Konto zu bekommen."
"We can't save the customer.","Der Kunde kann nicht gespeichert werden."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
