"Sign Out","Logi välja"
"Sign In","Logi Sisse"
"You are subscribed to our newsletter.","Olete liitunud meie uudiskirjaga."
"You aren't subscribed to our newsletter.","Te ei ole liitunud meie uudiskirjaga."
"You have not set a default shipping address.","Teil pole seatud vaike tarneaadressi."
"You have not set a default billing address.","Vaikimisi arveldusaadressi pole valitud."
"Address Book","Aadressiraamat"
"Edit Address","Muuda aadressi"
"Add New Address","Lisa uus aadress"
"region","piirkond"
"Create Order","Uus tellimus"
"Save Customer","Salvesta klient"
"Delete Customer","Kustuta klient"
"Reset Password","Taasta salasõna"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Uus klient"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Back","Tagasi"
"Please select","Palun valige"
"Reset","Tühista"
"ID","ID"
"Product","Toode"
"SKU","Laokood"
"Quantity","Kogus"
"Price","Hind"
"Total","Kokku"
"Action","Toiming"
"Configure","Seadista"
"Delete","Kustuta"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter","Uudiskiri"
"Newsletter Information","Uudiskirja informatioon"
"Subscribed to Newsletter","Uudiskiri tellitud"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","Uudiskirja ei leitud"
"Start date","Alguskuupäev"
"End Date","Lõppkuupäev"
"Receive Date","Vastuvõtmise kuupäev"
"Subject","Pealkiri"
"Status","Staatus"
"Sent","Saadetud"
"Cancel","Tühista"
"Not Sent","Saatmata"
"Sending","Saatmine"
"Paused","Peatatud"
"View","Kuva"
"Unknown","Tundmatu"
"Order","Order"
"Purchased","Ostetud"
"Bill-to Name","Maksja nimi"
"Ship-to Name","Saaja nimi"
"Order Total","Tellimus kokku"
"Purchase Point","Purchase Point"
"Customer View","Kliendi vaade"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Kogus"
"Confirmed","Kinnitatud"
"Confirmation Required","Kinnitamine nõutud"
"Confirmation Not Required","Kinnitamine pole nõutud"
"Indeterminate","Määramata"
"The customer does not have default billing address.","Kliendil puudub vaikimisi arveaadress."
"Offline","Võrgust väljas"
"Online","Võrgus"
"Never","Mitte kunagi"
"Unlocked","Lukustamata"
"Locked","Lukus"
"Deleted Stores","Kustutatud poed"
"Add Locale","Lisa lokaliseering"
"Add Date","Lisa kuupäev"
"Days in Wish List","Päevi soovinimekirjas"
"Unlock","Ava"
"No","Ei"
"Yes","Jah"
"Delete File","Kustuta fail"
"Download","Lae alla"
"Delete Image","Kustuta pilt"
"View Full Size","Vaata täisekraanil"
"All countries","Kõik riigid"
"Customer Groups","Kliendigrupid"
"Add New Customer Group","Lisa uus kliendigrupp"
"Save Customer Group","Salvesta kliendigrupp"
"Delete Customer Group","Kustuta kliendigrupp"
"New Customer Group","Uus kliendigrupp"
"Edit Customer Group ""%1""","Muuda kliendigruppi ""%1"""
"Group Information","Grupiteave"
"Group Name","Grupi nimi"
"Maximum length must be less then %1 characters.","Maksimaalne pikkus peab olema vähem kui %1 tähemärki."
"Tax Class","Maksuklass"
"The customer is now assigned to Customer Group %s.","Klient on nüüd määratud kliendigruppi %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid.","Õige KMKR nr."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID is valid. The current Customer Group will be used.","KMKR number on õige. Kasutatakse praegust kliendigruppi."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Kontrolli KMKR numbrit"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Sünnikuupäev"
"Bad request.","Vigane päring."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma saateaadress õige käibemaksu arvutamiseks."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma arveaadress õige käibemaksu arvutamiseks."
"Thank you for registering with %1.","Täname registreerimise eest! %1."
"Please check your email for confirmation key.","Palun kontrollige kinnitusvõtit oma e-postist."
"This email does not require confirmation.","See e-post ei vaja kinnitamist."
"Wrong email.","Vale e-post."
"Your password reset link has expired.","Salasõna vahetamise viide on aegunud."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Te peate kinnitama oma konto. Palun kontrollige oma e-posti või <a href=""%1"">vajutage siia</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Juba on konto selle meiliaadressiga. Kui olete kindel, et see on teie e-posti aadress, <a href=""%1""> Vajuta siia</a> et saada salasõna ja ligipääs kontole."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Kontrollige, et sisestatud salasõnad ühtiks."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma saateaadress õige käibemaksu arvutamiseks."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Kui olete Käibemaksukohustuslasena registreeritud klient, palun kliki <a href=""%1""> siia</a> sisestada oma arveaadress õige käibemaksu arvutamiseks."
"Account Information","Konto andmed"
"You saved the account information.","Info salvestatud."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Paroolid ei kattu."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Palun sisesta e-posti aadress."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"My Account","Minu konto"
