"My Requisition Lists","Моите списъци с заявки"
"The SKU was not found in the catalog.","Този кат. номер не бе открит в каталога."
"We couldn't find the requested requisition list.","Не можахме да намерим искания списък с заявки."
"We can't update your requisition list right now.","Не може да актуализираме вашия Списък с желани продукти точно сега."
"We can't add the item to the Requisition List right now: %1.","Не може да добавиме елемент към Списък с желани продукти точно сега: %1."
"We couldn't find the product you requested to add to your requisition list.","Не можахме да намерим продукта, който поискахте да добавите към вашия списък със заявки."
"You added %1 item(s) to your shopping cart.","Добавихте %1 продукт/и към количката си."
"Something went wrong.","Възникна грешка."
"Invalid request, missing parameter list_id","Невалидна заявка, липсва параметър list_id"
"Invalid request, please try again.","Невалидна заявка, моля, опитайте отново."
"Product with requested SKU could not be found.","Продуктът със заявен SKU не можа да бъде намерен."
"The product","Продуктът"
"%1 could not be added to the ""%2"" requisition list.","%1 не можа да бъде добавен към списъка със заявки ""%2""."
"%1 could not be added to the requisition list.","%1 не можа да бъде добавен към списъка със заявки."
"We can't configure the product right now.","Не може да конфигурирате продукта точно сега."
"%1 item(s) were copied to %2","%1 елементи са копирани на %2"
"%1 item(s) were added to the ""%2""","%1 елемент(а) бяха добавени към ""%2"""
"%1 item(s) were moved to %2","%1 елементи са преместени в %2"
"The requisition list does not exist.","Списъкът с заявките не съществува."
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","Всички артикули във вашата пазарска количка не могат да бъдат добавени към списъка със заявки ""%1""."
"One or more products in your Shopping Cart is invalid.","Един или повече продукти във вашата пазарска количка са невалидни."
"Requisition Lists","Списъци с заявки"
"Requisition List","Списък с заявки"
"Invalid item option format.","Невалиден елемент опция формат."
"An item option with code %1 already exists.","Елемент опция с код %1 вече съществува."
"Could not save Requisition List","Не може да се запази Списък с заявки"
"Cannot delete Requisition List with id %1","Не може да се изтрие Списък с заявки с id %1"
"Requested product doesn't exist","Исканият продукт не съществува"
"Cannot specify product.","Не може да определи продукт."
"%1 has been updated in your requisition list.","%1 е актуализиран във вашия Списък с заявки."
"Product %1 has been added to the requisition list %2.","Продукт %1 е добавен към списъка със заявки %2."
"Options were updated. Please review available configurations.","Опциите бяха актуализирани. Моля, прегледайте наличните конфигурации."
"The SKU is out of stock.","SKU е изчерпан."
"The requested qty is not available","Изискано количество не е налично"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Не можа да се запази списък с заявки. Максималният брой списъци с заявки е надвишен."
"Could not save requisition list. Invalid data provided","Списъкът със заявки не можа да бъде запазен. Предоставени са невалидни данни"
"Exception","Изключение"
"exception","изключение"
"Warning message.","Предупредително съобщение."
"No such requisition list could be found.","Не можа да бъде намерен такъв списък с заявки."
"Not found","Не е намерен"
"No such entity","Няма такъв обект"
"Could not save","Не може да запише"
"Exception Message","Съобщение за изключение"
"View","Преглед"
"px.","px."
"Add to Requisition List","Добавяне към списъка с заявки"
"Add Shopping Cart to Requisition List","Добавете пазарска количка към списъка със заявки"
"Update Requisition List","Актуализиране на списъка с заявки"
"Create Requisition List","Създаване Списък с заявки"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list."
"<a href=""%1"" target=""_blank""><span>%2</span></a>","<a href=""%1"" target=""_blank""><span>%2</span></a>"
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","Всички артикули във вашата пазарска количка са добавени към списъка със заявки ""%1""."
"Create New Requisition List","Създаване на нов Списък с заявки"
"Export","Експорт"
"Print","Печат"
"Rename","Преименувай"
"Rename Requisition List","Преименувай Списъка с заявки"
"items","артикули"
"item","артикул"
"in requisition list","в списък с заявки"
"Contact Us","За контакт"
"Add to Cart","Добави в количка"
"Update List","Обновяване На Списъка"
"Delete Requisition List","Изтрий Списъка с заявки"
"You have no items in this requisition list.","Нямате артикули в този списък с заявки."
"Product Name","Име на продукт"
"Item","Артикул"
"Price","Цена"
"Qty","Кол-во"
"Subtotal","Сума"
"Product","Продукт"
"SKU","Кат. номер"
"Excl. Tax","Без вкл. ДДС"
"Edit item","Редактирайте артикула"
"Remove item","Премахни"
"Select all","Избери всички"
"With Selected","С избрани"
"Copy Selected","Копирай избраното"
"Copy","Копирай"
"Move Selected","Move Selected"
"Move","Премести"
"Remove Selected","Remove Selected"
"Remove","Премахване"
"Are you sure you would like to remove selected items from the requisition list?","Are you sure you would like to remove selected items from the requisition list?"
"Delete","Изтрий"
"product(s) require your attention","продукт(и) изисква(т) вашето внимание"
"Requisition List Name","Име на Списъци с заявки"
"Description","Описание"
"The shopping cart isn't empty","Количката за пазаруване не е празна"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Имате артикули в пазарската си количка. Искате ли да обедините артикули в тази поръчка с артикули от тази пазарска количка или да ги замените?"
"Select Cancel to stay on the current page.","Изберете Отказ, за да останете на текущата страница."
"Merge","Обединяване"
"Replace","Замени"
"Cancel","Отказ"
"Add item to requisition list","Добавяне на артикул към списъка с заявки"
"The item ""%1"" is already in the ""%2"" requisition list.","Елементът ""%1"" вече е в списъка със заявки ""%2""."
"Quantities for identical items will be combined.","Количествата за еднакви артикули ще се комбинират."
"Add item","Добавяне на артикул"
"Error","Грешка"
"Add items to requisition list","Добавяне на елементи към списъка с заявки"
"Some items in your Shopping Cart are already in the %1 requisition list.","Някой артикули във вашата пазарска количка не са вече добавени към списъка със заявки ""%1""."
"Add items","Добавяне на артикули"
"Ok","OK"
"Cannot Perform the Requested Action","Не може да се изпълни Заявеното действие"
