"My Requisition Lists","Moje listy zamówień"
"The SKU was not found in the catalog.","Produkt nie został znaleziony w katalogu."
"We can't update your requisition list right now.","Nie możemy teraz zaktualizować listy zapotrzebowań."
"We can't add the item to the Requisition List right now: %1.","Nie możemy teraz dodać pozycji do listy zapotrzebowań: %1."
"We can't specify a requisition list.","Nie możemy określić listy zapotrzebowań."
"We can't specify a product.","Nie możemy określić produktu."
"You added %1 item(s) to your shopping cart.","Dodano %1 produktów do koszyka."
"Something went wrong.","Coś poszło nie tak."
"We can't configure the product right now.","Nie można teraz skonfigurować produktu."
"%1 item(s) were copied to %2","Elementy %1 zostały skopiowane do %2"
"%1 item(s) were added to the ""%2""","%1 element(y) został(y) dodany(e) do ""%2"""
"%1 item(s) were moved to %2","Elementy %1 zostały przeniesione do %2"
"Requisition Lists","Listy zapotrzebowań"
"Requisition List","Lista zapotrzebowań"
"Invalid item option format.","Nieprawidłowy format opcji elementu."
"An item option with code %1 already exists.","Opcja produktu z kodem %1 już istnieje."
"Could not save Requisition List","Nie można zapisać listy zamówień"
"Cannot delete Requisition List with id %1","Nie można usunąć listy zapotrzebowań o id %1"
"Requested product doesn't exist","Żądany produkt nie istnieje"
"Cannot specify product.","Nie można ustalić produktu."
"%1 has been updated in your requisition list.","%1 zostało zaktualizowane na liście zapotrzebowań."
"Product %1 has been added to the requisition list %2.","Produkt %1 został dodany do listy zapotrzebowań %2."
"Options were updated. Please review available configurations.","Opcje zostały zaktualizowane. Przejrzyj dostępne konfiguracje."
"The SKU is out of stock.","Jednostka SKU jest niedostępna."
"The requested qty is not available","Żądana ilość nie jest dostępna"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Nie można zapisać listy zapotrzebowań. Przekroczono maksymalną liczbę list zapotrzebowań."
"Exception","Wyjątek"
"exception","wyjątek"
"Warning message.","Komunikat ostrzegawczy."
"No such entity","Brak tego obiektu"
"Could not save","Nie można zapisać"
"Exception Message","Komunikat o wyjątku"
"View","Zobacz"
"px.","px."
"Add to Requisition List","Dodaj do listy zamówień"
"Update Requisition List","Aktualizacja listy zamówień"
"Create Requisition List","Tworzenie listy zapotrzebowań"
"Create New Requisition List","Tworzenie nowej listy zapotrzebowań"
"Print","Drukuj"
"Rename","Zmiana nazwy"
"Rename Requisition List","Zmiana nazwy listy zapotrzebowań"
"items","produkty"
"item","produkt"
"in requisition list","na liście zapotrzebowania"
"Contact Us","Skontaktuj się z nami"
"Add to Cart","Dodaj do koszyka"
"Update List","Lista aktualizacji"
"Delete Requisition List","Usuń listę zapotrzebowań"
"You have no items in this requisition list.","Na liście zapotrzebowań nie ma żadnych pozycji."
"Product Name","Nazwa produktu"
"Item","Produkt"
"Price","Cena"
"Qty","Ilość"
"Subtotal","Suma częściowa"
"Product","Produkt"
"SKU","SKU"
"Excl. Tax","Bez podatku"
"Edit item","Zmień"
"Remove item","Usuń produkt"
"Select all","Zaznacz wszystko"
"With Selected","Z wybranymi"
"Copy Selected","Kopiuj zaznaczone"
"Copy","Kopia"
"Move Selected","Przenieś wybrane"
"Move","Przenieś"
"Remove Selected","Usuń wybrane"
"Remove","Usuń"
"Delete","Usuń"
"product(s) require your attention","produkty wymagające uwagi"
"Requisition List Name","Lista zapotrzebowań Nazwa"
"Description","Opis"
"The shopping cart isn't empty","Koszyk nie jest pusty"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Masz produkty w koszyku. Czy chcesz połączyć produkty w tym zamówieniu z produktami z tego koszyka lub je zastąpić?"
"Select Cancel to stay on the current page.","Wybierz Anuluj, aby pozostać na bieżącej stronie."
"Merge","Połączenie"
"Replace","Zastąp"
"Cancel","Anuluj"
"Ok","Ok"
"Cannot Perform the Requested Action","Nie można wykonać żądanej akcji"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Nie można wykonać tej akcji, ponieważ wybrane produkty wymagają uwagi. Przed kontynuowaniem musisz rozwiązać te problemy."
"Please Select Product","Wybierz produkt"
"Please select at least one product to proceed.","Aby kontynuować, wybierz co najmniej jeden produkt."
"Save","Zapisz"
"B2B Requisition List","Lista zapotrzebowań B2B"
"Enable Requisition List","Włącz listę zapotrzebowań"
"General","Ogólne"
"Number of Requisition Lists","Liczba list zapotrzebowań"
"The number of requisition lists should be equal or more than 2.","Liczba list zapotrzebowań powinna być równa lub większa niż 2."
"Name & Description","Nazwa i opis"
"Items","Pozycje"
"Latest Activity","Najnowsza aktywność"
"You must choose options for your item.","Musisz wybrać opcje dla swojego przedmiotu."
"We don't have as many ""%1"" as you requested.","Nie mamy tylu ""%1"", o ile prosiłeś."
