"My Requisition Lists","私の請求リスト"
"The SKU was not found in the catalog.","商品番号はカタログに見つかりませんでした。"
"We couldn't find the requested requisition list.","要求された要求リストが見つかりませんでした。"
"We can't update your requisition list right now.","現在あなたの請求リストは更新できません。"
"We can't add the item to the Requisition List right now: %1.","現在このアイテムを請求リストに追加できません: %1。"
"We couldn't find the product you requested to add to your requisition list.","要求リストに追加するように要求した製品が見つかりませんでした。"
"You added %1 item(s) to your shopping cart.","あなたのショッピングカートに %1 の商品を追加しました。"
"Something went wrong.","問題が発生しました。"
"Invalid request, missing parameter list_id","無効なリクエストです。パラメーター list_id がありません"
"Invalid request, please try again.","無効なリクエストです。もう一度やり直してください。"
"Product with requested SKU could not be found.","要求されたSKUを持つ製品が見つかりませんでした。"
"The product","製品"
"%1 could not be added to the ""%2"" requisition list.","%1を""%2""要求リストに追加できませんでした。"
"%1 could not be added to the requisition list.","%1を要求リストに追加できませんでした。"
"We can't configure the product right now.","この製品の設定を現在することができません。"
"%1 item(s) were copied to %2","%1個のアイテムが %2にコピーされました"
"%1 item(s) were added to the ""%2""","%1個のアイテムが ""%2""に追加されました"
"%1 item(s) were moved to %2","%1個のアイテムが %2に移動されました"
"The requisition list does not exist.","要求リストが存在しません。"
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","買い物かご内のすべての品目を""%1""要求リストに追加できませんでした。"
"One or more products in your Shopping Cart is invalid.","買い物かごに無効な製品が1つ以上あります。"
"Requisition Lists","請求リスト"
"Requisition List","請求リスト"
"Invalid item option format.","不正な商品オプションフォーマットです。"
"An item option with code %1 already exists.","コード%1の商品オプションは既に存在します"
"Could not save Requisition List","請求リストを保存できませんでした"
"Cannot delete Requisition List with id %1","id %1 の請求リストを削除できません"
"Requested product doesn't exist","要求された商品は存在しません"
"Cannot specify product.","商品を特定できません。"
"%1 has been updated in your requisition list.","%1 はあなたの請求リストでアップデートされました。"
"Product %1 has been added to the requisition list %2.","商品 %1が 請求リスト %2に追加されました。"
"Options were updated. Please review available configurations.","オプションがアップデートされました。利用可能な設定を確認してください。"
"The SKU is out of stock.","SKUは在庫切れです。"
"The requested qty is not available","要求された個数は利用できません"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","請求リストを保存できませんでした。最大請求リスト数を超えています。"
"Could not save requisition list. Invalid data provided","要求リストを保存できませんでした。無効なデータが指定されました"
"Exception","例外"
"exception","例外"
"Warning message.","警告メッセージ."
"No such requisition list could be found.","このような要求リストは見つかりませんでした。"
"Not found","見つかりません"
"No such entity","そのようなエンティティはありません"
"Could not save","保存できません"
"Exception Message","例外メッセージ"
"View","表示"
"px.","ピクセル"
"Add to Requisition List","請求リストに追加"
"Add Shopping Cart to Requisition List","購買追加物かごから購買依頼リスト"
