"My Requisition Lists","Mi Lista de Reposición"
"The SKU was not found in the catalog.","El SKU no fue encontrado en el catálogo."
"We can't update your requisition list right now.","No podemos actualizar tu lista de requisitos en este momento."
"We can't add the item to the Requisition List right now: %1.","No podemos agregar el item a la Lista de Requisitos en estos momentos: %1."
"We can't specify a requisition list.","No podemos especificar una lista de requisitos."
"We can't specify a product.","No se puede especificar un artículo."
"You added %1 item(s) to your shopping cart.","Añadiste %1 artículo(s) a su carrito de compras."
"Something went wrong.","Algo salió mal."
"We can't configure the product right now.","No se puede configurar el artículo en este momento."
"%1 item(s) were copied to %2","%1 artículo(s) fueron copiados a %2"
"%1 item(s) were added to the ""%2""","%1 artículo(s) fueron agregados al ""%2"""
"%1 item(s) were moved to %2","%1 artículo(s) fueron trasladados a %2"
"Requisition Lists","Lista de Requisitos"
"Requisition List","Lista de Requisitos"
"Invalid item option format.","Formato de opción de artículo no válido."
"An item option with code %1 already exists.","Ya existe una opción de artículo con el código %1."
"Could not save Requisition List","No se pudo guardar la Lista de Requisitos"
"Cannot delete Requisition List with id %1","No se puede eliminar la Lista de Requisitos con id %1"
"Requested product doesn't exist","El producto solicitado no existe"
"Cannot specify product.","No se pudo especificar artículo."
"%1 has been updated in your requisition list.","%1 se ha actualizado en su Lista de Requisitos."
"Product %1 has been added to the requisition list %2.","El producto %1 se ha agregado a la Lista de Requisitos %2."
"Options were updated. Please review available configurations.","Las opciones fueron actualizadas. Por favor revise las configuraciones disponibles."
"The SKU is out of stock.","El SKU está fuera de stock."
"The requested qty is not available","Los datos pedidos no están disponibles"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","No se pueden guardar la Lista de Requisitos. Se superó el número máximo de listas."
"Exception","Excepción"
"exception","excepción"
"Warning message.","Mensaje de advertencia."
"No such entity","No existe la entidad"
"Could not save","No se pueden guardar"
"Exception Message","Mensaje de excepción"
"View","Ver"
"px.","px."
"Add to Requisition List","Añadir a la lista de Reposición"
"Update Requisition List","Actualizar Lista de Reposición"
"Create Requisition List","Crear Lista de Reposición"
"Create New Requisition List","Crear nueva lista de reposición"
"Print","Imprimir"
"Rename","Renombrar"
"Rename Requisition List","Renombrar Lista de Reposición"
"items","artículos"
"item","artículo"
"in requisition list","en la lista de reposición"
"Contact Us","Contáctenos"
"Add to Cart","Agregar al Carrito"
"Update List","Actualizar lista"
"Delete Requisition List","Eliminar Lista de Reposición"
"You have no items in this requisition list.","No tienen ningún elemento en esta lista de reposición."
"Product Name","Nombre del Producto"
"Item","Artículo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Product","Producto"
"SKU","Art"
"Excl. Tax","Impuestos no incluídos"
"Edit item","Editar artículo"
"Remove item","Eliminar artículo"
"Select all","Seleccionar todo"
"With Selected","Con selección"
"Copy Selected","Copiar selección"
"Copy","Copiar"
"Move Selected","Mover selección"
"Move","Mover"
"Remove Selected","Eliminar selección"
"Remove","Quitar"
"Delete","Eliminar"
"product(s) require your attention","producto(s) requiere(n) su atención"
"Requisition List Name","Nombre de la lista de reposición"
"Description","Descripción"
"The shopping cart isn't empty","El carrito de compra está vacío"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Tienes artículos en tu carrito de compras. ¿Le gustaría combinar artículos en este pedido con artículos de este carrito de compras o reemplazarlos?"
"Select Cancel to stay on the current page.","Seleccione Cancelar para permanecer en la página actual."
"Merge","Combinar"
"Replace","Reemplazar"
"Cancel","Cancelar"
"Ok","Aceptar"
"Cannot Perform the Requested Action","No se puede realizar la acción solicitada"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Esta acción no se puede realizar porque los productos seleccionados requieren atención. Debe resolver estos problemas antes de poder continuar."
"Please Select Product","Por favor Seleccione Producto"
"Please select at least one product to proceed.","Por favor seleccione al menos un producto para proceder."
"Save","Guardar"
"B2B Requisition List","Lista de solicitudes B2B"
"Enable Requisition List","Activar Lista de Requisitos"
"General","General"
"Number of Requisition Lists","Número de Lista de Reposicióm"
"The number of requisition lists should be equal or more than 2.","El número de Lista de Reposición debe ser igual o más de 2."
"Name & Description","Nombre y Descripción"
"Items","Artículos"
"Latest Activity","Actividad más reciente"
"You must choose options for your item.","Tiene que elegir opciones para su producto."
"We don't have as many ""%1"" as you requested.","No tenemos los ""%1"" que usted solicitó."
